SessionID,EventID,SpeakerID,SpeakerName
87994,817,87994,"Luiz Henrique Garetti Rosário"
86525,817,86525,"Fernando Andreazi"
88520,817,88520,"Leandro Domingues"
86562,817,86562,"Rodrigo Crespi"
89217,817,89217,"Renato Groffe"
86557,817,86557,"Orlando Mariano"
90249,817,90249,"Anderson Souza"
90364,817,90364,"Diego Nogare"
89414,817,89414,"Milton Camara"
88714,817,88714,"Diemerson Campos"
88371,817,88371,"Rafael Mendonça"
86485,817,86485,"Bruno Feldman"
87465,817,87465,"Walter Coan"
89274,817,89274,"Fabrício Lima"
90192,817,90192,"Caio Amante"
88198,817,88198,"Arthur Luz"
90417,817,90417,"Paulo Ricardo Santos"
87689,817,87689,"Felipe de Assis"
87990,819,87990,"Luiz Henrique Garetti Rosário"
90035,819,90035,"Aislan Honorato"
88690,819,88690,"Sulamita Dantas"
87532,819,87532,"Wiluey Sousa"
90034,819,90034,"Vitor Fava"
90047,819,90047,"Rayssa Dias"
87969,819,87969,"Kevin Boles"
88715,819,88715,"Tiago Neves"
87946,819,87946,"Fernando Garcia"
89504,819,89504,"RUY LACERDA"
86839,819,86839,"Rafael Mendonça"
90050,819,90050,"Caio Amante"
88197,819,88197,"Arthur Luz"
89512,819,89512,"Renan Queiroz"
87493,819,87493,"Leandro Domingues"
90033,819,90033,"Marcelo Adade"
89003,819,89003,"Fabiano Neves Amorim"
87592,819,87592,"Suellen Moraes"
91536,819,91536,"Luan Moreno Medeiros Maciel"
86908,820,86908,"Carl Roepe"
86640,820,86640,"Matt Gordon"
87231,820,87231,"Louis Davidson"
87475,820,87475,"Trey Johnson"
87715,820,87715,"Mike Byrd"
87229,820,87229,"Louis Davidson"
87265,820,87265,"Michael Antonovich"
87472,820,87472,"Trey Johnson"
87266,820,87266,"Michael Antonovich"
89057,820,89057,"Patrick LeBlanc"
89058,820,89058,"Patrick LeBlanc"
87156,820,87156,"Ronald Dameron"
89296,820,89296,"Jose Chinchilla"
90235,820,90235,"Adriano da Silva"
89244,820,89244,"Deji Akomolafe"
89346,820,89346,"Ahmad Drshen"
89943,820,89943,"Samir Behara"
90618,820,90618,"Susan Schneider"
86810,820,86810,"Dave Bland"
90940,820,90940,"Brandi Kiehl"
90867,820,90867,"Kellyn Pot'Vin-Gorman"
86767,820,86767,"Kevin Feasel"
90719,820,90719,"Valentin Iamandi"
89294,820,89294,"Jose Chinchilla"
90581,820,90581,"Dmitri Korotkevitch"
86642,820,86642,"Matt Gordon"
90701,820,90701,"Steven Wheeler"
86764,820,86764,"Kevin Feasel"
90712,820,90712,"John Welch"
90779,820,90779,"Shabnam Watson"
91051,820,91051,"Manuel Quintana"
90833,820,90833,"Steve Schneider"
90598,820,90598,"Mitchell Pearson"
90881,820,90881,"Kellyn Pot'Vin-Gorman"
90684,820,90684,"Travis Page"
89068,820,89068,"Eddy Djaja"
87292,820,87292,"Eric Blinn"
88517,820,88517,"Karlyn LeBlanc"
87293,820,87293,"Eric Blinn"
87979,820,87979,"Dave Bland"
89899,820,89899,"Shawn Meyers"
89613,820,89613,"Vishal Pawar [Microsoft MVP, MCT]"
89895,820,89895,"Devin Knight"
90937,820,90937,"John Blackburn"
87714,820,87714,"Mike Byrd"
89721,820,89721,"Dustin Ryan"
90883,820,90883,"Shabnam Watson"
87572,820,87572,"Troy Gallant"
89894,820,89894,"Devin Knight"
89375,820,89375,"Victor Ivantsov"
89940,820,89940,"Elizabeth Noble"
90299,820,90299,"Dale Sullenberger"
90298,820,90298,"Dale Sullenberger"
90250,820,90250,"Nicholas Lee"
86598,823,86598,"Guy Glantser"
86939,823,86939,"Itshak David"
87655,823,87655,"Johan Ludvig Brattås"
86591,823,86591,"Brent Ozar"
87030,823,87030,"Taras Kloba"
86945,823,86945,"Jose Manuel Jurado Diaz"
87767,823,87767,"Dubi Lebel"
88436,823,88436,"Ronen Chenn"
89022,823,89022,"Ronen Ariely"
90183,823,90183,"Anat Dror"
88145,823,88145,"Yuval Klein"
89218,823,89218,"Adi Cohn"
88182,823,88182,"Anat Dror"
89254,823,89254,"Yoav Dobrin"
90148,823,90148,"Arthur Gimpel"
89255,823,89255,"Yossi Elkayam"
90880,823,90880,"Ray Maor"
88012,823,88012,"Jonathan Stewart"
90165,823,90165,"Daniela Liberman"
89866,823,89866,"Danny Ravid"
88484,823,88484,"Joanna Wolthuis"
88615,823,88615,"Ronat Omer"
88331,823,88331,"Dennes Torres"
88997,823,88997,"Michael Zilberstein"
89153,823,89153,"Pini Krisher"
87630,823,87630,"Mihail Mateev"
90243,823,90243,"Lior King"
87309,827,87309,"Jim Miller"
86743,827,86743,"Drew Furgiuele"
87155,827,87155,"Andrew Loree"
87153,827,87153,"Andrew Loree"
87120,827,87120,"Kevin Feasel"
86907,827,86907,"Carl Roepe"
87300,827,87300,"Vanessa Kesten"
88279,827,88279,"Mindy Curnutt"
88841,827,88841,"Jeff Moden"
88840,827,88840,"Jeff Moden"
86842,827,86842,"Matt Gordon"
89246,827,89246,"Deji Akomolafe"
87136,827,87136,"Lucas Feiock"
89379,827,89379,"Ed Wagner"
89824,827,89824,"Chris Hyde"
89642,827,89642,"Karen Lopez"
89537,827,89537,"Andy Mallon"
87178,827,87178,"Eric Blinn"
89461,827,89461,"Michael Hewitt"
89581,827,89581,"Julie McLain-Harper"
89986,827,89986,"Kevin Hill"
87780,827,87780,"Dave Mattingly"
91525,827,91525,"Ryan Morris"
89502,827,89502,"Josh Burgin"
91562,827,91562,"Alicia Moniz"
88926,827,88926,"Anthony Mattas"
88566,827,88566,"Sam Nasr"
89368,827,89368,"Jonathan Stewart"
89712,827,89712,"Slava Trofimov"
89429,827,89429,"Jess Pomfret"
89671,827,89671,"Todd Walker"
86820,827,86820,"Dave Bland"
88003,827,88003,"Sourav Mukherjee"
88855,827,88855,"Joshua Higginbotham"
88495,827,88495,"David Mellinger"
89448,827,89448,"Lisa Bohm"
89079,827,89079,"Allen White"
90594,827,90594,"Amy Herold"
87226,827,87226,"Peter Shore"
89634,827,89634,"Clark Hahn"
86718,827,86718,"John Deardurff"
89577,827,89577,"Elizabeth Noble"
87798,827,87798,"Sean Forgatch"
89709,827,89709,"Dustin Dorsey"
86690,830,86690,"Steve Wake"
87000,830,87000,"César Oviedo"
87036,830,87036,"Michelle Haarhues"
87091,830,87091,"Leslie Andrews"
87775,830,87775,"Mitchell Bottel"
88239,830,88239,"Jeff Moden"
88369,830,88369,"Manguirish Sardessai"
88561,830,88561,"Jeff Renz"
87800,830,87800,"Mike Byrd"
89352,830,89352,"Kalen Delaney"
89735,830,89735,"Eric Peterson"
87133,830,87133,"Meagan Longoria"
88238,830,88238,"Jeff Moden"
89763,830,89763,"Scot Reagin"
89902,830,89902,"Paul Nielsen"
88037,830,88037,"Mark Moore"
89842,830,89842,"Carlos Bossy"
89326,830,89326,"Jason Horner"
86687,830,86687,"Suresh Datla"
86691,830,86691,"Pini Krisher"
86811,830,86811,"Alex Grinberg"
87289,830,87289,"Daniel Maenle"
89809,830,89809,"Isak Sky"
89807,830,89807,"Yuliya Quintela"
89839,830,89839,"Todd Kleinhans"
89801,830,89801,"TJay Belt"
89846,830,89846,"Leslie Weed"
88299,830,88299,"Greg Moore"
89591,830,89591,"Elizabeth Noble"
89837,830,89837,"Marc Beacom"
87662,832,87662,"Miloš Radivojević"
88420,832,88420,"Gianluca Sartori"
87837,832,87837,"Tomaž Kaštrun"
87666,832,87666,"Aleksandar Talev"
87683,832,87683,"Dejan Sarka"
88274,832,88274,"Hugo Kornelis"
87682,832,87682,"Uwe Ricken"
89703,832,89703,"Matija Lah"
88454,832,88454,"Kevin Boles"
89778,832,89778,"Marcelo Fernandes"
88337,832,88337,"Mladen Prajdić"
89836,832,89836,"Slaven Šola"
87275,836,87275,"Patricio Cofre"
89501,836,89501,"Adrian Fernandez"
90983,836,90983,"PABLO JAVIER FERNANDEZ"
91403,836,91403,"Matias Hofmann"
88492,836,88492,"Javier Villegas"
87375,836,87375,"Javier Villegas"
89821,836,89821,"Nicolás Calderón Díaz"
87285,836,87285,"Kamal Valero"
89344,836,89344,"Hector Meza"
