Year,Year/Month,Customer Number,Part Numer,PO Number,Qty,Stat Date,Report Date,Hours,Sales,Opportunity
2020,2020-04-01 00:00:00.000,"C19","1718-2","#12345",37,2020-04-16 00:00:00.000,2020-03-03 00:00:00.000,70.3,3663,"Base Business"
2020,2020-05-01 00:00:00.000,"C19","1718-2","#12345",30,2020-05-20 00:00:00.000,2020-03-03 00:00:00.000,57,2970,"Base Business"
2020,2020-05-01 00:00:00.000,"C19","1718-2","#12345",34,2020-06-02 00:00:00.000,2020-03-03 00:00:00.000,64.6,3366,"Base Business"
2020,2020-06-01 00:00:00.000,"C19","1718-2","#12345",38,2020-06-18 00:00:00.000,2020-03-03 00:00:00.000,72.2,3762,"Base Business"
2020,2020-07-01 00:00:00.000,"C19","1718-2","#12345",30,2020-07-09 00:00:00.000,2020-03-03 00:00:00.000,57,2970,"Base Business"
2020,2020-07-01 00:00:00.000,"C19","1718-2","#12345",30,2020-07-12 00:00:00.000,2020-03-03 00:00:00.000,57,2970,"Base Business"
2020,2020-07-01 00:00:00.000,"C19","1718-2","#12345",54,2020-07-30 00:00:00.000,2020-03-03 00:00:00.000,102.6,5346,"Base Business"
2020,2020-07-01 00:00:00.000,"C19","1718-2","#12345",54,2020-08-02 00:00:00.000,2020-03-03 00:00:00.000,102.6,5346,"Base Business"
2020,2020-08-01 00:00:00.000,"C19","1718-2","#12345",56,2020-08-20 00:00:00.000,2020-03-03 00:00:00.000,106.39999999999999,5544,"Base Business"
2020,2020-08-01 00:00:00.000,"C19","1718-2","#12345",56,2020-08-23 00:00:00.000,2020-03-03 00:00:00.000,106.39999999999999,5544,"Base Business"
2020,2020-09-01 00:00:00.000,"C19","1718-2","#12345",30,2020-09-17 00:00:00.000,2020-03-03 00:00:00.000,57,2970,"Base Business"
2020,2020-09-01 00:00:00.000,"C19","1718-2","#12345",30,2020-09-20 00:00:00.000,2020-03-03 00:00:00.000,57,2970,"Base Business"
2020,2020-10-01 00:00:00.000,"C19","1718-2","#12345",84,2020-10-31 00:00:00.000,2020-03-03 00:00:00.000,159.6,8316,"Base Business"
2020,2020-11-01 00:00:00.000,"C19","1718-2","#12345",88,2020-11-30 00:00:00.000,2020-03-03 00:00:00.000,167.2,8712,"Base Business"
2020,2020-12-01 00:00:00.000,"C19","1718-2","#12345",78,2020-12-31 00:00:00.000,2020-03-03 00:00:00.000,148.2,7722,"Base Business"
2020,2020-04-01 00:00:00.000,"C19","3528-1","#12345",19,2020-04-08 00:00:00.000,2020-03-03 00:00:00.000,36.1,1881,"Base Business"
2020,2020-04-01 00:00:00.000,"C19","3528-1","#12345",20,2020-04-22 00:00:00.000,2020-03-03 00:00:00.000,38,1980,"Base Business"
2020,2020-05-01 00:00:00.000,"C19","3528-1","#12345",12,2020-05-20 00:00:00.000,2020-03-03 00:00:00.000,22.799999999999997,1188,"Base Business"
2020,2020-05-01 00:00:00.000,"C19","3528-1","#12345",18,2020-05-21 00:00:00.000,2020-03-03 00:00:00.000,34.199999999999996,1782,"Base Business"
2020,2020-05-01 00:00:00.000,"C19","3528-1","#12345",20,2020-06-02 00:00:00.000,2020-03-03 00:00:00.000,38,1980,"Base Business"
2020,2020-05-01 00:00:00.000,"C19","3528-1","#12345",13,2020-06-09 00:00:00.000,2020-03-03 00:00:00.000,24.7,1287,"Base Business"
2020,2020-06-01 00:00:00.000,"C19","3528-1","#12345",20,2020-06-25 00:00:00.000,2020-03-03 00:00:00.000,38,1980,"Base Business"
2020,2020-07-01 00:00:00.000,"C19","3528-1","#12345",18,2020-07-26 00:00:00.000,2020-03-03 00:00:00.000,34.199999999999996,1782,"Base Business"
2020,2020-07-01 00:00:00.000,"C19","3528-1","#12345",13,2020-08-02 00:00:00.000,2020-03-03 00:00:00.000,24.7,1287,"Base Business"
2020,2020-08-01 00:00:00.000,"C19","3528-1","#12345",22,2020-08-16 00:00:00.000,2020-03-03 00:00:00.000,41.8,2178,"Base Business"
2020,2020-08-01 00:00:00.000,"C19","3528-1","#12345",21,2020-08-30 00:00:00.000,2020-03-03 00:00:00.000,39.9,2079,"Base Business"
2020,2020-09-01 00:00:00.000,"C19","3528-1","#12345",21,2020-09-13 00:00:00.000,2020-03-03 00:00:00.000,39.9,2079,"Base Business"
2020,2020-09-01 00:00:00.000,"C19","3528-1","#12345",24,2020-09-27 00:00:00.000,2020-03-03 00:00:00.000,45.599999999999994,2376,"Base Business"
2020,2020-10-01 00:00:00.000,"C19","3528-1","#12345",46,2020-10-31 00:00:00.000,2020-03-03 00:00:00.000,87.399999999999991,4554,"Opportunity"
2020,2020-11-01 00:00:00.000,"C19","3528-1","#12345",58,2020-11-30 00:00:00.000,2020-03-03 00:00:00.000,110.19999999999999,5742,"Opportunity"
2020,2020-12-01 00:00:00.000,"C19","3528-1","#12345",29,2020-12-31 00:00:00.000,2020-03-03 00:00:00.000,55.099999999999994,2871,"Opportunity"
2020,2020-04-01 00:00:00.000,"C19","1718-2","#12345",74,2020-04-26 00:00:00.000,2020-04-06 00:00:00.000,140.6,7326,"Base Business"
2020,2020-05-01 00:00:00.000,"C19","1718-2","#12345",60,2020-05-30 00:00:00.000,2020-04-06 00:00:00.000,114,5940,"Base Business"
2020,2020-05-01 00:00:00.000,"C19","1718-2","#12345",68,2020-06-12 00:00:00.000,2020-04-06 00:00:00.000,129.2,6732,"Base Business"
2020,2020-06-01 00:00:00.000,"C19","1718-2","#12345",76,2020-06-28 00:00:00.000,2020-04-06 00:00:00.000,144.4,7524,"Base Business"
2020,2020-07-01 00:00:00.000,"C19","1718-2","#12345",60,2020-07-19 00:00:00.000,2020-04-06 00:00:00.000,114,5940,"Base Business"
2020,2020-07-01 00:00:00.000,"C19","1718-2","#12345",60,2020-07-22 00:00:00.000,2020-04-06 00:00:00.000,114,5940,"Base Business"
2020,2020-07-01 00:00:00.000,"C19","1718-2","#12345",12,2020-08-09 00:00:00.000,2020-04-06 00:00:00.000,22.799999999999997,1188,"Base Business"
2020,2020-07-01 00:00:00.000,"C19","1718-2","#12345",108,2020-08-12 00:00:00.000,2020-04-06 00:00:00.000,205.2,10692,"Base Business"
2020,2020-08-01 00:00:00.000,"C19","1718-2","#12345",112,2020-08-30 00:00:00.000,2020-04-06 00:00:00.000,212.79999999999998,11088,"Base Business"
2020,2020-08-01 00:00:00.000,"C19","1718-2","#12345",112,2020-09-02 00:00:00.000,2020-04-06 00:00:00.000,212.79999999999998,11088,"Base Business"
2020,2020-09-01 00:00:00.000,"C19","1718-2","#12345",60,2020-09-27 00:00:00.000,2020-04-06 00:00:00.000,114,5940,"Base Business"
2020,2020-09-01 00:00:00.000,"C19","1718-2","#12345",10,2020-09-30 00:00:00.000,2020-04-06 00:00:00.000,19,990,"Base Business"
2020,2020-10-01 00:00:00.000,"C19","1718-2","#12345",10,2020-11-10 00:00:00.000,2020-04-06 00:00:00.000,19,990,"Base Business"
2020,2020-11-01 00:00:00.000,"C19","1718-2","#12345",5,2020-12-10 00:00:00.000,2020-04-06 00:00:00.000,9.5,495,"Base Business"
2020,2020-12-01 00:00:00.000,"C19","1718-2","#12345",156,2021-01-10 00:00:00.000,2020-04-06 00:00:00.000,296.4,15444,"Base Business"
2020,2020-04-01 00:00:00.000,"C19","3528-1","#12345",38,2020-04-18 00:00:00.000,2020-04-06 00:00:00.000,72.2,3762,"Base Business"
2020,2020-04-01 00:00:00.000,"C19","3528-1","#12345",40,2020-05-02 00:00:00.000,2020-04-06 00:00:00.000,76,3960,"Base Business"
2020,2020-05-01 00:00:00.000,"C19","3528-1","#12345",1,2020-05-30 00:00:00.000,2020-04-06 00:00:00.000,1.9,99,"Base Business"
2020,2020-05-01 00:00:00.000,"C19","3528-1","#12345",1,2020-05-31 00:00:00.000,2020-04-06 00:00:00.000,1.9,99,"Base Business"
2020,2020-05-01 00:00:00.000,"C19","3528-1","#12345",1,2020-06-12 00:00:00.000,2020-04-06 00:00:00.000,1.9,99,"Base Business"
2020,2020-05-01 00:00:00.000,"C19","3528-1","#12345",1,2020-06-19 00:00:00.000,2020-04-06 00:00:00.000,1.9,99,"Base Business"
2020,2020-06-01 00:00:00.000,"C19","3528-1","#12345",1,2020-07-05 00:00:00.000,2020-04-06 00:00:00.000,1.9,99,"Base Business"
2020,2020-07-01 00:00:00.000,"C19","3528-1","#12345",1,2020-08-05 00:00:00.000,2020-04-06 00:00:00.000,1.9,99,"Base Business"
2020,2020-07-01 00:00:00.000,"C19","3528-1","#12345",1,2020-08-12 00:00:00.000,2020-04-06 00:00:00.000,1.9,99,"Base Business"
2020,2020-08-01 00:00:00.000,"C19","3528-1","#12345",1,2020-08-26 00:00:00.000,2020-04-06 00:00:00.000,1.9,99,"Base Business"
2020,2020-08-01 00:00:00.000,"C19","3528-1","#12345",1,2020-09-09 00:00:00.000,2020-04-06 00:00:00.000,1.9,99,"Base Business"
2020,2020-09-01 00:00:00.000,"C19","3528-1","#12345",1,2020-09-23 00:00:00.000,2020-04-06 00:00:00.000,1.9,99,"Base Business"
2020,2020-09-01 00:00:00.000,"C19","3528-1","#12345",20,2020-10-07 00:00:00.000,2020-04-06 00:00:00.000,38,1980,"Base Business"
2020,2020-10-01 00:00:00.000,"C19","3528-1","#12345",92,2020-11-10 00:00:00.000,2020-04-06 00:00:00.000,174.79999999999998,9108,"Opportunity"
2020,2020-11-01 00:00:00.000,"C19","3528-1","#12345",116,2020-12-10 00:00:00.000,2020-04-06 00:00:00.000,220.39999999999998,11484,"Opportunity"
2020,2020-12-01 00:00:00.000,"C19","3528-1","#12345",58,2021-01-10 00:00:00.000,2020-04-06 00:00:00.000,110.19999999999999,5742,"Opportunity"
2020,2020-04-01 00:00:00.000,"C25","5585-01-01","#0952",1,2020-03-30 00:00:00.000,2020-03-03 00:00:00.000,55,1500,"Base Business"
2020,2020-04-01 00:00:00.000,"C25","5585-01-01","#0952",25,2020-04-15 00:00:00.000,2020-03-03 00:00:00.000,1375,37500,"Base Business"
2020,2020-05-01 00:00:00.000,"C25","5585-01-01","#0952",25,2020-05-15 00:00:00.000,2020-03-03 00:00:00.000,1375,37500,"Base Business"
2020,2020-06-01 00:00:00.000,"C25","5585-01-01","#0952",25,2020-06-15 00:00:00.000,2020-03-03 00:00:00.000,1375,37500,"Base Business"
2020,2020-07-01 00:00:00.000,"C25","5585-01-01","#0952",25,2020-07-15 00:00:00.000,2020-03-03 00:00:00.000,1375,37500,"Base Business"
2020,2020-08-01 00:00:00.000,"C25","5585-01-01","#0952",25,2020-08-15 00:00:00.000,2020-03-03 00:00:00.000,1375,37500,"Base Business"
2020,2020-10-01 00:00:00.000,"C25","5585-01-01","#0952",25,2020-10-15 00:00:00.000,2020-03-03 00:00:00.000,1375,37500,"Base Business"
2020,2020-04-01 00:00:00.000,"C25","5585-01-01","#0952",1,2020-03-30 00:00:00.000,2020-04-06 00:00:00.000,55,1500,"Base Business"
2020,2020-04-01 00:00:00.000,"C25","5585-01-01","#0952",20,2020-04-15 00:00:00.000,2020-04-06 00:00:00.000,1100,30000,"Base Business"
