HospitalID,variable,value
H001,HospitalType,Small
H003,HospitalType,Large
H004,HospitalType,Small
H005,HospitalType,Medium
H006,HospitalType,Large
H007,HospitalType,Small
H009,HospitalType,Large
H010,HospitalType,Small
H001,Zip,2128
H003,Zip,2119
H004,Zip,2111
H005,Zip,2149
H006,Zip,2123
H007,Zip,2135
H009,Zip,2120
H010,Zip,2131
H001,State,Massachusetts
H003,State,Massachusetts
H004,State,Massachusetts
H005,State,Massachusetts
H006,State,Massachusetts
H007,State,Massachusetts
H009,State,Massachusetts
H010,State,Massachusetts
H001,City,Boston
H003,City,Boston
H004,City,Boston
H005,City,Boston
H006,City,Boston
H007,City,Boston
H009,City,Boston
H010,City,Boston
H001,Street,49 Robinwood Ave
H003,Street,1 Boston Medical Center
H004,Street,800 Washington St
H005,Street,55 Fruit St
H006,Street,2100 Dorchester Ave
H007,Street,185 Pilgrim Road
H009,Street,125 Parker Hill Ave
H010,Street,170 Morton St
H001,ContactNumber,8976542345
H003,ContactNumber,7865435627
H004,ContactNumber,8764567999
H005,ContactNumber,5678987098
H006,ContactNumber,9897654536
H007,ContactNumber,5643254367
H009,ContactNumber,6767898765
H010,ContactNumber,6758987899
H001,Name,Arbour Hospital
H003,Name,Boston Medical Center
H004,Name,Tufts Medical Center
H005,Name,Massachusetts General Hospital
H006,Name,Carney Hospital
H007,Name,Beth Israel Deaconess Medical Center
H009,Name,New England Baptist Hospital
H010,Name,Lemuel Shattuck Hospital
