product_code,customer_code,market_code,order_date,sales_qty,sales_amount,currency,profit_margin_percentage,profit_margin,cost_price
Prod294,Cus017,Mark011,2017-12-21 00:00:00.000,1.0,153.0,INR,-0.02,-3.06,156.06
Prod053,Cus029,Mark011,2019-07-11 00:00:00.000,1.0,338.0,INR,0.34,114.92,223.08
Prod159,Cus031,Mark005,2018-05-11 00:00:00.000,1.0,162.0,INR,-0.05,-8.1,170.1
Prod294,Cus017,Mark011,2018-09-06 00:00:00.000,1.0,74.0,INR,0.4,29.6,44.4
Prod290,Cus020,Mark011,2018-08-31 00:00:00.000,1.0,565.0,INR,-0.32,-180.8,745.8
Prod120,Cus011,Mark002,2019-03-21 00:00:00.000,2.0,301.0,INR,0.09,27.09,273.91
Prod304,Cus020,Mark004,2017-12-08 00:00:00.000,1.0,375.0,INR,0.07,26.25,348.75
Prod270,Cus019,Mark011,2018-09-20 00:00:00.000,1.0,241.0,INR,0.05,12.05,228.95
Prod292,Cus024,Mark011,2018-06-11 00:00:00.000,1.0,79.0,INR,-0.34,-26.86,105.86
Prod270,Cus002,Mark005,2018-07-18 00:00:00.000,1.0,153.0,INR,0.03,4.59,148.41
Prod129,Cus037,Mark007,2018-03-23 00:00:00.000,2.0,1019.0,INR,0.01,10.19,1008.81
Prod114,Cus019,Mark011,2018-03-27 00:00:00.000,1.0,162.0,INR,0.11,17.82,144.18
Prod294,Cus020,Mark011,2020-05-19 00:00:00.000,1.0,111.0,INR,-0.21,-23.31,134.31
Prod318,Cus008,Mark002,2019-08-02 00:00:00.000,1.0,495.0,INR,0.12,59.4,435.6
Prod039,Cus003,Mark003,2018-01-22 00:00:00.000,1.0,806.0,INR,-0.18,-145.08,951.08
Prod263,Cus020,Mark011,2018-11-22 00:00:00.000,1.0,69.0,INR,-0.34,-23.46,92.46
Prod167,Cus003,Mark003,2018-06-04 00:00:00.000,1.0,194.0,INR,-0.13,-25.22,219.22
Prod312,Cus012,Mark003,2017-11-30 00:00:00.000,1.0,528.0,INR,-0.01,-5.28,533.28
Prod265,Cus020,Mark011,2019-09-23 00:00:00.000,1.0,222.0,INR,-0.13,-28.86,250.86
Prod290,Cus007,Mark004,2019-10-21 00:00:00.000,1.0,468.0,INR,-0.32,-149.76,617.76
Prod279,Cus020,Mark011,2018-07-02 00:00:00.000,1.0,306.0,INR,0.31,94.86,211.14
Prod117,Cus019,Mark011,2020-06-11 00:00:00.000,1.0,130.0,INR,-0.31,-40.3,170.3
Prod220,Cus016,Mark002,2019-02-22 00:00:00.000,1.0,593.0,INR,-0.15,-88.95,681.95
Prod065,Cus037,Mark007,2019-05-14 00:00:00.000,1.0,222.0,INR,-0.35,-77.7,299.7
Prod297,Cus021,Mark011,2017-10-19 00:00:00.000,2.0,1306.0,INR,0.02,26.12,1279.88
Prod312,Cus003,Mark003,2020-03-25 00:00:00.000,2.0,2181.0,INR,-0.16,-348.96,2529.96
Prod290,Cus024,Mark011,2018-03-20 00:00:00.000,1.0,250.0,INR,0.32,80.0,170.0
Prod280,Cus029,Mark011,2019-04-26 00:00:00.000,1.0,56.0,INR,0.23,12.88,43.12
Prod134,Cus024,Mark011,2020-01-13 00:00:00.000,1.0,231.0,INR,-0.34,-78.54,309.54
Prod105,Cus037,Mark007,2018-02-14 00:00:00.000,1.0,148.0,INR,0.14,20.72,127.28
Prod297,Cus005,Mark004,2017-10-18 00:00:00.000,1.0,431.0,INR,0.28,120.68,310.32
Prod260,Cus004,Mark010,2020-02-10 00:00:00.000,2.0,176.0,INR,0.27,47.52,128.48
Prod283,Cus005,Mark004,2018-09-28 00:00:00.000,1.0,181.0,INR,0.06,10.86,170.14
Prod292,Cus020,Mark011,2018-08-29 00:00:00.000,1.0,93.0,INR,0.13,12.09,80.91
Prod269,Cus020,Mark011,2019-02-12 00:00:00.000,1.0,116.0,INR,-0.22,-25.52,141.52
Prod207,Cus007,Mark004,2020-05-25 00:00:00.000,1.0,1120.0,INR,0.18,201.6,918.4
Prod018,Cus024,Mark002,2020-04-20 00:00:00.000,1.0,338.0,INR,-0.24,-81.12,419.12
Prod327,Cus011,Mark003,2020-01-02 00:00:00.000,1.0,4407.0,INR,0.05,220.35,4186.65
Prod290,Cus005,Mark004,2018-12-17 00:00:00.000,1.0,431.0,INR,-0.17,-73.27,504.27
Prod113,Cus005,Mark004,2018-11-05 00:00:00.000,1.0,93.0,INR,-0.27,-25.11,118.11
Prod270,Cus020,Mark011,2019-01-03 00:00:00.000,1.0,116.0,INR,0.25,29.0,87.0
Prod294,Cus005,Mark004,2018-01-08 00:00:00.000,1.0,190.0,INR,0.35,66.5,123.5
Prod286,Cus005,Mark004,2019-01-10 00:00:00.000,1.0,171.0,INR,0.39,66.69,104.31
Prod114,Cus005,Mark004,2018-09-25 00:00:00.000,1.0,46.0,INR,-0.26,-11.96,57.96
Prod332,Cus005,Mark004,2018-11-27 00:00:00.000,1.0,426.0,INR,0.24,102.24,323.76
Prod134,Cus017,Mark011,2018-11-28 00:00:00.000,2.0,810.0,INR,0.32,259.2,550.8
Prod116,Cus019,Mark011,2018-09-10 00:00:00.000,1.0,333.0,INR,-0.04,-13.32,346.32
Prod287,Cus001,Mark010,2018-02-16 00:00:00.000,1.0,56.0,INR,-0.14,-7.84,63.84
Prod294,Cus020,Mark004,2018-11-30 00:00:00.000,1.0,204.0,INR,0.06,12.24,191.76
Prod280,Cus024,Mark011,2018-12-04 00:00:00.000,1.0,171.0,INR,0.1,17.1,153.9
