account,day of week,date,local time (ct),favorite_count,id_str,retweet_count,source,text,followers_count,profile_image_url,link,score
qlik,Mon,2021-02-22 00:00:00.000,1899-12-31 11:37:02.000,2,1363905654101057536,0,Sprout Social,"In the third blog post from Qlik's @dlfreriks, he shares how he used #QlikSense to compare his exercise performance… https://t.co/csH96t3OQD",69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1363905654101057536,0.9312224984169006
MSPowerBI,Wed,2021-02-17 00:00:00.000,1899-12-31 17:00:01.000,0,1362174994067959810,0,Sprinklr Publishing,"@waynealytics Understood. In this case, please create a new discussion through our forum here:… https://t.co/NMGVOE5ohC",127699,http://pbs.twimg.com/profile_images/1308421398042468356/M2xJtfHx_normal.png,https://twitter.com/MSPowerBI/status/1362174994067959810,0.5
qlik,Wed,2021-02-24 00:00:00.000,1899-12-31 12:30:24.000,3,1364643858479538188,2,Sprout Social,Power BI users have switched to Qlik citing “the performance simply crushes Power BI.” See for yourself.… https://t.co/6xrRh5rRhA,69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1364643858479538188,0.1160846650600433
qlik,Wed,2021-02-17 00:00:00.000,1899-12-31 13:00:25.000,1,1362114698238394374,0,Sprout Social,The #QlikLuminary 50 celebrates the brightest beacons from across the Qlik global ecosystem. Apply now for the chan… https://t.co/D7BHb2sEVq,69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1362114698238394374,0.9793882966041564
MSPowerBI,Wed,2021-02-17 00:00:00.000,1899-12-31 07:04:46.000,0,1362025195582742529,0,Sprinklr Publishing,"@waynealytics Sorry to hear that, Wayne. Just to confirm, are you following these steps to connect to Snowflake in… https://t.co/KbDksbhfTt",127699,http://pbs.twimg.com/profile_images/1308421398042468356/M2xJtfHx_normal.png,https://twitter.com/MSPowerBI/status/1362025195582742529,0.5
qlik,Mon,2021-02-22 00:00:00.000,1899-12-31 08:30:12.000,3,1363858634162262016,3,Sprout Social,"Caytons Cyber, @JSRFarmingGroup and @AlfanarVP, they all ♥ Qlik.
 
 Why? Tune into their webinars tomorrow through… https://t.co/tp9qcr064R",69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1363858634162262016,0.9997342228889464
MSPowerBI,Wed,2021-02-17 00:00:00.000,1899-12-31 10:20:01.000,36,1362074333863149569,17,Sprinklr Publishing,"New and enhanced security capabilities for #PowerBI:

☑️ Protect data in Microsoft Cloud
☑️ Secure information whil… https://t.co/ZdyTGdbJvj",127699,http://pbs.twimg.com/profile_images/1308421398042468356/M2xJtfHx_normal.png,https://twitter.com/MSPowerBI/status/1362074333863149569,0.9756589531898499
qlik,Wed,2021-02-17 00:00:00.000,1899-12-31 16:30:17.000,1,1362167513979777041,0,Sprout Social,"A recent @ComputerWeekly article discusses how Wrightington, Wigan and Leigh NHS Foundation Trust turned its use of… https://t.co/FlcLyBJr9l",69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1362167513979777041,0.5
MSPowerBI,Wed,2021-02-17 00:00:00.000,1899-12-31 14:21:27.000,1,1362135090311094273,0,Sprinklr Publishing,@DotComCTO We've come a long way 😊 You can check all updates from previous version of Power BI Desktop here:… https://t.co/K6EeLpeyrc,127699,http://pbs.twimg.com/profile_images/1308421398042468356/M2xJtfHx_normal.png,https://twitter.com/MSPowerBI/status/1362135090311094273,0.9999934434890748
Tableau,Sun,2021-02-21 00:00:00.000,1899-12-31 11:00:31.000,14,1363534073734590471,1,Salesforce - Social Studio,The next #DataPlusDiversity event featuring Jason Forrest and Anthony Starks is just a few days away! Join host… https://t.co/aTnx1CR61M,155324,http://pbs.twimg.com/profile_images/1268207088683020288/d9agkn4h_normal.jpg,https://twitter.com/Tableau/status/1363534073734590471,0.5
qlik,Thu,2021-02-18 00:00:00.000,1899-12-31 11:31:02.000,0,1362454590038409216,0,Sprout Social,"#DYK Qlik Sense supports custom image backgrounds, georeferencing, and a whole lot more? Find more ways to up your… https://t.co/3uELP4FGCj",69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1362454590038409216,0.3069249391555786
Tableau,Wed,2021-02-24 00:00:00.000,1899-12-31 19:07:36.000,27,1364381428641714177,2,Twitter Web App,"On the blog, learn how Tableau and the Tableau Community have been using data to drive greater diversity and inclus… https://t.co/OaStgGjc9k",155324,http://pbs.twimg.com/profile_images/1268207088683020288/d9agkn4h_normal.jpg,https://twitter.com/Tableau/status/1364381428641714177,0.9017217755317688
Tableau,Thu,2021-02-18 00:00:00.000,1899-12-31 10:40:20.000,48,1362441831959601155,15,Twitter Web App,"The Gartner Magic Quadrant is here and we're thrilled to be a Leader for 9 straight years! 🥳 
 
Learn more about ou… https://t.co/a1G3pQV1iK",155324,http://pbs.twimg.com/profile_images/1268207088683020288/d9agkn4h_normal.jpg,https://twitter.com/Tableau/status/1362441831959601155,0.9780696630477904
qlik,Mon,2021-02-22 00:00:00.000,1899-12-31 15:30:15.000,4,1363964344791277569,3,Sprout Social,Qlik continues to set the standard for data analytics with our February 2021 product release. Watch this video and… https://t.co/dlouKTnV3C,69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1363964344791277569,0.5
Tableau,Mon,2021-02-22 00:00:00.000,1899-12-31 14:20:34.000,0,1363946808423174145,0,Salesforce - Social Studio,"@IanFelipeSays Thanks for getting in touch. Have you posted your question to our Community Forum yet? If not, that'… https://t.co/zdwkMm2kpX",155324,http://pbs.twimg.com/profile_images/1268207088683020288/d9agkn4h_normal.jpg,https://twitter.com/Tableau/status/1363946808423174145,0.7524321675300598
qlik,Fri,2021-02-19 00:00:00.000,1899-12-31 12:01:11.000,0,1362824567962632192,1,Sprout Social,"For @AdamRutherford no question is too big: 
The best temperature to cook a burrito in space? ✅ 
The right way to t… https://t.co/eVTlQgOQgJ",69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1362824567962632192,0.9896824359893798
MSPowerBI,Thu,2021-02-18 00:00:00.000,1899-12-31 19:08:54.000,0,1362207430126559233,0,Sprinklr Publishing,@MapEngArch Our engineers are always working to keep our users satisfied with all the features! We don't have a spe… https://t.co/EJWpRCXAHP,127699,http://pbs.twimg.com/profile_images/1308421398042468356/M2xJtfHx_normal.png,https://twitter.com/MSPowerBI/status/1362207430126559233,0.9097318649291992
qlik,Tue,2021-02-23 00:00:00.000,1899-12-31 13:09:43.000,2,1364291366583480320,0,Sprout Social,"Quick, time is running out! There are five days left to apply to become a member of the #QlikLuminary 50. Apply now… https://t.co/kUIZFWzBxc",69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1364291366583480320,0.1054936349391937
qlik,Thu,2021-02-18 00:00:00.000,1899-12-31 11:00:33.000,9,1362446922066386944,1,Sprout Social,An 11-time MQ Leader. See why Qlik was named a Gartner Leader in Analytics and BI Platforms for the 11th year in a… https://t.co/iPtkv1mSdb,69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1362446922066386944,0.5
Tableau,Tue,2021-02-23 00:00:00.000,1899-12-31 09:38:26.000,18,1364238194879856643,0,Twitter Web App,How can leaders instill and nurture a commitment to bring data into every decision? Join @Forbes panel and Tableau… https://t.co/v6bbQeOkEE,155324,http://pbs.twimg.com/profile_images/1268207088683020288/d9agkn4h_normal.jpg,https://twitter.com/Tableau/status/1364238194879856643,0.894443154335022
MSPowerBI,Tue,2021-02-23 00:00:00.000,1899-12-31 07:38:23.000,0,1364207981701783553,0,Sprinklr Publishing,"@VMuraliKRaju Hi, Murali! Have you already asked our engineers for the process through here:… https://t.co/PDaLBpzzZD",127699,http://pbs.twimg.com/profile_images/1308421398042468356/M2xJtfHx_normal.png,https://twitter.com/MSPowerBI/status/1364207981701783553,0.9704974889755248
qlik,Wed,2021-02-17 00:00:00.000,1899-12-31 09:00:33.000,0,1362054335111249925,0,Sprout Social,"From seeing cost savings to positive culture changes, our customers ♥ Qlik.
 
Want to know more? Sign up to put… https://t.co/d06pI7k4fz",69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1362054335111249925,0.9999985694885252
Tableau,Thu,2021-02-25 00:00:00.000,1899-12-31 18:30:12.000,5,1364734404111847431,0,Salesforce - Social Studio,This recent #VOTD by @menscuriosa details the contributions of Black scientists and inventors throughout history. D… https://t.co/IfwpdwgVe5,155324,http://pbs.twimg.com/profile_images/1268207088683020288/d9agkn4h_normal.jpg,https://twitter.com/Tableau/status/1364734404111847431,0.5
qlik,Wed,2021-02-17 00:00:00.000,1899-12-31 09:15:53.000,1,1362058191954141188,1,Sprout Social,"New year, new updates - like helping accelerate the move to the cloud and improving #data pipelines to achieve… https://t.co/I8g35uhmPw",69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1362058191954141188,0.867793321609497
MSPowerBI,Tue,2021-02-23 00:00:00.000,1899-12-31 07:39:26.000,0,1364208246471462912,0,Sprinklr Publishing,"@vinaypugalia Hello there, Vinay. Perhaps our forum experts can find a workaround that suits your needs. Please cre… https://t.co/sVpjv6n2al",127699,http://pbs.twimg.com/profile_images/1308421398042468356/M2xJtfHx_normal.png,https://twitter.com/MSPowerBI/status/1364208246471462912,0.9769935607910156
Tableau,Mon,2021-02-22 00:00:00.000,1899-12-31 13:43:21.000,1,1363937441200156673,0,Salesforce - Social Studio,@aavelar7 Congratulations! Well done. 🎉,155324,http://pbs.twimg.com/profile_images/1268207088683020288/d9agkn4h_normal.jpg,https://twitter.com/Tableau/status/1363937441200156673,0.9909788966178894
MSPowerBI,Tue,2021-02-23 00:00:00.000,1899-12-31 12:09:38.000,0,1364276247128383492,0,Sprinklr Publishing,"@dcuthbert Don't worry. You can use the desktop version to create these connections and show them in service, which… https://t.co/DgyGESKFbc",127699,http://pbs.twimg.com/profile_images/1308421398042468356/M2xJtfHx_normal.png,https://twitter.com/MSPowerBI/status/1364276247128383492,0.9977752566337584
Tableau,Wed,2021-02-24 00:00:00.000,1899-12-31 11:29:03.000,3,1364628419112177672,0,Twitter Web App,@_madelinegrimes https://t.co/ucoLf000pU,155324,http://pbs.twimg.com/profile_images/1268207088683020288/d9agkn4h_normal.jpg,https://twitter.com/Tableau/status/1364628419112177672,0.5
