Company,Sales,Year,Month,Category,EndofMonth
Transcourier,120000,2020,April,Documents,2020-04-30 00:00:00.000
UPX,150000,2020,February,Packages,2020-02-29 00:00:00.000
Company X,220000,2020,January,Documents,2020-01-31 00:00:00.000
Intercargo,80000,2020,November,Packages,2020-11-30 00:00:00.000
Urban Carrier,300000,2019,April,Packages,2019-04-30 00:00:00.000
Cargo Comp,40000,2020,March,Documents,2020-03-31 00:00:00.000
Urban Carrier,180000,2019,November,Documents,2019-11-30 00:00:00.000
USPZ,180000,2019,September,Documents,2019-09-30 00:00:00.000
Company Z,150000,2018,January,Documents,2018-01-31 00:00:00.000
Intercargo,100000,2018,May,Packages,2018-05-31 00:00:00.000
FDEZ,180000,2019,August,Documents,2019-08-31 00:00:00.000
USPZ,180000,2019,March,Packages,2019-03-31 00:00:00.000
USPZ,180000,2018,September,Documents,2018-09-30 00:00:00.000
FDEZ,50000,2018,February,Packages,2018-02-28 00:00:00.000
Cargo Comp,150000,2019,April,Documents,2019-04-30 00:00:00.000
Company Y,50000,2019,January,Documents,2019-01-31 00:00:00.000
Company Z,50000,2018,June,Packages,2018-06-30 00:00:00.000
Intercargo,50000,2018,December,Packages,2018-12-31 00:00:00.000
UPX,220000,2019,March,Packages,2019-03-31 00:00:00.000
Company X,200000,2020,July,Documents,2020-07-31 00:00:00.000
FDEZ,180000,2019,August,Documents,2019-08-31 00:00:00.000
Cargo Comp,300000,2019,October,Packages,2019-10-31 00:00:00.000
DKL,150000,2018,July,Packages,2018-07-31 00:00:00.000
Transcourier,220000,2019,November,Packages,2019-11-30 00:00:00.000
FDEZ,300000,2020,August,Documents,2020-08-31 00:00:00.000
Urban Carrier,300000,2018,April,Documents,2018-04-30 00:00:00.000
DKL,220000,2019,July,Packages,2019-07-31 00:00:00.000
Nationwide,50000,2018,May,Packages,2018-05-31 00:00:00.000
Urban Carrier,180000,2019,November,Documents,2019-11-30 00:00:00.000
Cargo Comp,150000,2019,April,Documents,2019-04-30 00:00:00.000
FDEZ,50000,2019,February,Packages,2019-02-28 00:00:00.000
Company Z,50000,2020,January,Documents,2020-01-31 00:00:00.000
Intercargo,50000,2019,December,Packages,2019-12-31 00:00:00.000
UPX,150000,2018,March,Packages,2018-03-31 00:00:00.000
Transcourier,220000,2019,November,Packages,2019-11-30 00:00:00.000
Company X,180000,2019,January,Packages,2019-01-31 00:00:00.000
Nationwide,50000,2019,May,Packages,2019-05-31 00:00:00.000
FDEZ,50000,2018,August,Documents,2018-08-31 00:00:00.000
Nationwide,150000,2019,December,Documents,2019-12-31 00:00:00.000
Intercargo,100000,2019,May,Documents,2019-05-31 00:00:00.000
Cargo Comp,220000,2018,April,Documents,2018-04-30 00:00:00.000
Cargo Comp,30000,2020,October,Packages,2020-10-31 00:00:00.000
DKL,150000,2019,January,Documents,2019-01-31 00:00:00.000
Cargo Comp,300000,2018,October,Packages,2018-10-31 00:00:00.000
USPZ,60000,2020,March,Packages,2020-03-31 00:00:00.000
Company X,180000,2019,January,Packages,2019-01-31 00:00:00.000
UPX,100000,2020,September,Documents,2020-09-30 00:00:00.000
Company X,220000,2018,July,Packages,2018-07-31 00:00:00.000
Company Z,150000,2019,January,Documents,2019-01-31 00:00:00.000
DKL,100000,2018,January,Packages,2018-01-31 00:00:00.000
UPX,220000,2018,September,Documents,2018-09-30 00:00:00.000
Company Y,300000,2019,July,Packages,2019-07-31 00:00:00.000
Transcourier,180000,2018,April,Documents,2018-04-30 00:00:00.000
DKL,200000,2020,February,Documents,2020-02-29 00:00:00.000
USPZ,50000,2018,March,Documents,2018-03-31 00:00:00.000
Company Y,300000,2019,July,Packages,2019-07-31 00:00:00.000
Company Z,220000,2019,June,Documents,2019-06-30 00:00:00.000
Company Z,150000,2020,June,Packages,2020-06-30 00:00:00.000
Transcourier,180000,2019,April,Packages,2019-04-30 00:00:00.000
Nationwide,20000,2020,December,Documents,2020-12-31 00:00:00.000
USPZ,180000,2019,March,Packages,2019-03-31 00:00:00.000
Cargo Comp,300000,2019,October,Packages,2019-10-31 00:00:00.000
Company Y,50000,2019,January,Documents,2019-01-31 00:00:00.000
UPX,150000,2019,September,Documents,2019-09-30 00:00:00.000
Intercargo,50000,2019,December,Packages,2019-12-31 00:00:00.000
USPZ,180000,2019,September,Documents,2019-09-30 00:00:00.000
Company X,180000,2019,July,Packages,2019-07-31 00:00:00.000
Urban Carrier,40000,2020,November,Packages,2020-11-30 00:00:00.000
FDEZ,250000,2020,February,Packages,2020-02-29 00:00:00.000
UPX,150000,2019,September,Documents,2019-09-30 00:00:00.000
Intercargo,100000,2019,May,Documents,2019-05-31 00:00:00.000
Company Z,150000,2019,January,Documents,2019-01-31 00:00:00.000
Nationwide,30000,2020,May,Packages,2020-05-31 00:00:00.000
Urban Carrier,300000,2019,April,Packages,2019-04-30 00:00:00.000
Transcourier,180000,2019,April,Packages,2019-04-30 00:00:00.000
USPZ,50000,2020,October,Documents,2020-10-31 00:00:00.000
Nationwide,50000,2019,May,Packages,2019-05-31 00:00:00.000
DKL,220000,2019,July,Packages,2019-07-31 00:00:00.000
Urban Carrier,60000,2020,April,Documents,2020-04-30 00:00:00.000
Company X,180000,2019,July,Packages,2019-07-31 00:00:00.000
UPX,220000,2019,March,Packages,2019-03-31 00:00:00.000
Company X,200000,2018,January,Packages,2018-01-31 00:00:00.000
FDEZ,50000,2019,February,Packages,2019-02-28 00:00:00.000
Urban Carrier,180000,2018,November,Documents,2018-11-30 00:00:00.000
Company Y,100000,2018,January,Documents,2018-01-31 00:00:00.000
Nationwide,150000,2018,December,Documents,2018-12-31 00:00:00.000
DKL,150000,2020,August,Documents,2020-08-31 00:00:00.000
Company Y,180000,2020,February,Documents,2020-02-29 00:00:00.000
Company Y,100000,2020,July,Documents,2020-07-31 00:00:00.000
Intercargo,80000,2020,April,Packages,2020-04-30 00:00:00.000
Transcourier,220000,2018,November,Packages,2018-11-30 00:00:00.000
Company Z,220000,2019,June,Documents,2019-06-30 00:00:00.000
Nationwide,150000,2019,December,Documents,2019-12-31 00:00:00.000
Company Y,180000,2018,July,Packages,2018-07-31 00:00:00.000
Transcourier,60000,2020,November,Packages,2020-11-30 00:00:00.000
DKL,150000,2019,January,Documents,2019-01-31 00:00:00.000
