Edu_Code,Edu_Group,Edu_Name,Edu_ID
"DH","STG_QLCB_DM_CHUYEN_MON","Đại học",3
"DTTH","STG_QLCB_DM_CHUYEN_MON","Điện tử - Tin học",12
"CKCI","STG_QLCB_DM_CHUYEN_MON","Chuyên khoa cấp I",11
"CC","STG_QLCB_DM_CHUYEN_MON","Cao cấp",10
"TA","STG_QLCB_DM_CHUYEN_MON","Tiếng Anh",9
"CKCII","STG_QLCB_DM_CHUYEN_MON","Chuyên khoa cấp II",8
"TS","STG_QLCB_DM_CHUYEN_MON","Tiến sĩ",1
"Ths","STG_QLCB_DM_CHUYEN_MON","Thạc sĩ",2
"TCN","STG_QLCB_DM_CHUYEN_MON","Trung cấp nghề",7
"CD","STG_QLCB_DM_CHUYEN_MON","Cao đẳng",4
"TRC","STG_QLCB_DM_CHUYEN_MON","Trung cấp",5
"SC","STG_QLCB_DM_CHUYEN_MON","Sơ cấp",6
