Date,Year,Month,Day
2018-12-01 00:00:00.000,2018,12,1
2018-12-02 00:00:00.000,2018,12,2
2018-12-03 00:00:00.000,2018,12,3
2018-12-04 00:00:00.000,2018,12,4
2018-12-05 00:00:00.000,2018,12,5
2018-12-06 00:00:00.000,2018,12,6
2018-12-07 00:00:00.000,2018,12,7
2018-12-08 00:00:00.000,2018,12,8
2018-12-09 00:00:00.000,2018,12,9
2018-12-10 00:00:00.000,2018,12,10
2018-12-11 00:00:00.000,2018,12,11
2018-12-12 00:00:00.000,2018,12,12
2018-12-13 00:00:00.000,2018,12,13
2018-12-14 00:00:00.000,2018,12,14
2018-12-15 00:00:00.000,2018,12,15
2018-12-16 00:00:00.000,2018,12,16
2018-12-17 00:00:00.000,2018,12,17
2018-12-18 00:00:00.000,2018,12,18
2018-12-19 00:00:00.000,2018,12,19
2018-12-20 00:00:00.000,2018,12,20
2018-12-21 00:00:00.000,2018,12,21
2018-12-22 00:00:00.000,2018,12,22
2018-12-23 00:00:00.000,2018,12,23
2018-12-24 00:00:00.000,2018,12,24
2018-12-25 00:00:00.000,2018,12,25
2018-12-26 00:00:00.000,2018,12,26
2018-12-27 00:00:00.000,2018,12,27
2018-12-28 00:00:00.000,2018,12,28
2018-12-29 00:00:00.000,2018,12,29
2018-12-30 00:00:00.000,2018,12,30
2018-12-31 00:00:00.000,2018,12,31
2019-01-01 00:00:00.000,2019,1,1
2019-01-02 00:00:00.000,2019,1,2
2019-01-03 00:00:00.000,2019,1,3
2019-01-04 00:00:00.000,2019,1,4
2019-01-05 00:00:00.000,2019,1,5
2019-01-06 00:00:00.000,2019,1,6
2019-01-07 00:00:00.000,2019,1,7
2019-01-08 00:00:00.000,2019,1,8
2019-01-09 00:00:00.000,2019,1,9
2019-01-10 00:00:00.000,2019,1,10
2019-01-11 00:00:00.000,2019,1,11
2019-01-12 00:00:00.000,2019,1,12
2019-01-13 00:00:00.000,2019,1,13
2019-01-14 00:00:00.000,2019,1,14
2019-01-15 00:00:00.000,2019,1,15
2019-01-16 00:00:00.000,2019,1,16
2019-01-17 00:00:00.000,2019,1,17
2019-01-18 00:00:00.000,2019,1,18
2019-01-19 00:00:00.000,2019,1,19
2019-01-20 00:00:00.000,2019,1,20
2019-01-21 00:00:00.000,2019,1,21
2019-01-22 00:00:00.000,2019,1,22
2019-01-23 00:00:00.000,2019,1,23
2019-01-24 00:00:00.000,2019,1,24
2019-01-25 00:00:00.000,2019,1,25
2019-01-26 00:00:00.000,2019,1,26
2019-01-27 00:00:00.000,2019,1,27
2019-01-28 00:00:00.000,2019,1,28
2019-01-29 00:00:00.000,2019,1,29
2019-01-30 00:00:00.000,2019,1,30
2019-01-31 00:00:00.000,2019,1,31
2019-02-01 00:00:00.000,2019,2,1
2019-02-02 00:00:00.000,2019,2,2
2019-02-03 00:00:00.000,2019,2,3
2019-02-04 00:00:00.000,2019,2,4
2019-02-05 00:00:00.000,2019,2,5
2019-02-06 00:00:00.000,2019,2,6
2019-02-07 00:00:00.000,2019,2,7
2019-02-08 00:00:00.000,2019,2,8
2019-02-09 00:00:00.000,2019,2,9
2019-02-10 00:00:00.000,2019,2,10
2019-02-11 00:00:00.000,2019,2,11
2019-02-12 00:00:00.000,2019,2,12
2019-02-13 00:00:00.000,2019,2,13
2019-02-14 00:00:00.000,2019,2,14
2019-02-15 00:00:00.000,2019,2,15
2019-02-16 00:00:00.000,2019,2,16
2019-02-17 00:00:00.000,2019,2,17
2019-02-18 00:00:00.000,2019,2,18
2019-02-19 00:00:00.000,2019,2,19
2019-02-20 00:00:00.000,2019,2,20
2019-02-21 00:00:00.000,2019,2,21
2019-02-22 00:00:00.000,2019,2,22
2019-02-23 00:00:00.000,2019,2,23
2019-02-24 00:00:00.000,2019,2,24
2019-02-25 00:00:00.000,2019,2,25
2019-02-26 00:00:00.000,2019,2,26
2019-02-27 00:00:00.000,2019,2,27
2019-02-28 00:00:00.000,2019,2,28
2019-03-01 00:00:00.000,2019,3,1
2019-03-02 00:00:00.000,2019,3,2
2019-03-03 00:00:00.000,2019,3,3
2019-03-04 00:00:00.000,2019,3,4
2019-03-05 00:00:00.000,2019,3,5
2019-03-06 00:00:00.000,2019,3,6
2019-03-07 00:00:00.000,2019,3,7
2019-03-08 00:00:00.000,2019,3,8
2019-03-09 00:00:00.000,2019,3,9
2019-03-10 00:00:00.000,2019,3,10
2019-03-11 00:00:00.000,2019,3,11
2019-03-12 00:00:00.000,2019,3,12
2019-03-13 00:00:00.000,2019,3,13
2019-03-14 00:00:00.000,2019,3,14
2019-03-15 00:00:00.000,2019,3,15
2019-03-16 00:00:00.000,2019,3,16
2019-03-17 00:00:00.000,2019,3,17
2019-03-18 00:00:00.000,2019,3,18
2019-03-19 00:00:00.000,2019,3,19
2019-03-20 00:00:00.000,2019,3,20
2019-03-21 00:00:00.000,2019,3,21
2019-03-22 00:00:00.000,2019,3,22
2019-03-23 00:00:00.000,2019,3,23
2019-03-24 00:00:00.000,2019,3,24
2019-03-25 00:00:00.000,2019,3,25
2019-03-26 00:00:00.000,2019,3,26
2019-03-27 00:00:00.000,2019,3,27
2019-03-28 00:00:00.000,2019,3,28
2019-03-29 00:00:00.000,2019,3,29
2019-03-30 00:00:00.000,2019,3,30
2019-03-31 00:00:00.000,2019,3,31
2019-04-01 00:00:00.000,2019,4,1
2019-04-02 00:00:00.000,2019,4,2
2019-04-03 00:00:00.000,2019,4,3
2019-04-04 00:00:00.000,2019,4,4
2019-04-05 00:00:00.000,2019,4,5
2019-04-06 00:00:00.000,2019,4,6
2019-04-07 00:00:00.000,2019,4,7
2019-04-08 00:00:00.000,2019,4,8
2019-04-09 00:00:00.000,2019,4,9
2019-04-10 00:00:00.000,2019,4,10
2019-04-11 00:00:00.000,2019,4,11
2019-04-12 00:00:00.000,2019,4,12
2019-04-13 00:00:00.000,2019,4,13
2019-04-14 00:00:00.000,2019,4,14
2019-04-15 00:00:00.000,2019,4,15
2019-04-16 00:00:00.000,2019,4,16
2019-04-17 00:00:00.000,2019,4,17
2019-04-18 00:00:00.000,2019,4,18
2019-04-19 00:00:00.000,2019,4,19
2019-04-20 00:00:00.000,2019,4,20
2019-04-21 00:00:00.000,2019,4,21
2019-04-22 00:00:00.000,2019,4,22
2019-04-23 00:00:00.000,2019,4,23
2019-04-24 00:00:00.000,2019,4,24
2019-04-25 00:00:00.000,2019,4,25
2019-04-26 00:00:00.000,2019,4,26
2019-04-27 00:00:00.000,2019,4,27
2019-04-28 00:00:00.000,2019,4,28
2019-04-29 00:00:00.000,2019,4,29
2019-04-30 00:00:00.000,2019,4,30
2019-05-01 00:00:00.000,2019,5,1
2019-05-02 00:00:00.000,2019,5,2
2019-05-03 00:00:00.000,2019,5,3
2019-05-04 00:00:00.000,2019,5,4
2019-05-05 00:00:00.000,2019,5,5
2019-05-06 00:00:00.000,2019,5,6
2019-05-07 00:00:00.000,2019,5,7
2019-05-08 00:00:00.000,2019,5,8
2019-05-09 00:00:00.000,2019,5,9
2019-05-10 00:00:00.000,2019,5,10
2019-05-11 00:00:00.000,2019,5,11
2019-05-12 00:00:00.000,2019,5,12
2019-05-13 00:00:00.000,2019,5,13
2019-05-14 00:00:00.000,2019,5,14
2019-05-15 00:00:00.000,2019,5,15
2019-05-16 00:00:00.000,2019,5,16
2019-05-17 00:00:00.000,2019,5,17
2019-05-18 00:00:00.000,2019,5,18
2019-05-19 00:00:00.000,2019,5,19
2019-05-20 00:00:00.000,2019,5,20
2019-05-21 00:00:00.000,2019,5,21
2019-05-22 00:00:00.000,2019,5,22
2019-05-23 00:00:00.000,2019,5,23
2019-05-24 00:00:00.000,2019,5,24
2019-05-25 00:00:00.000,2019,5,25
2019-05-26 00:00:00.000,2019,5,26
