%manager_id,GW,%player_id,field_position,points_multiplier,count_id
44922,7,144,6,1,144
5383714,10,245,14,0,245
272984,24,518,13,0,518
44922,17,240,9,1,240
49759,7,491,15,0,491
3598744,27,413,10,1,413
2538292,3,337,11,1,337
6097006,6,482,8,1,482
3598744,16,581,14,0,581
44922,12,196,13,0,196
661771,27,251,6,1,251
272984,3,376,12,0,376
1777548,25,491,4,1,491
2015160,18,22,8,1,22
125462,25,270,1,1,270
1174308,8,196,15,0,196
631628,15,240,10,1,240
4329760,21,389,12,0,389
3976053,7,80,12,0,80
3060005,14,21,13,0,21
3060005,10,484,7,1,484
5383714,5,275,2,1,275
2015160,3,419,5,1,419
3598744,11,359,7,1,359
272984,3,69,1,1,69
1767909,12,240,7,1,240
1818807,19,138,7,1,138
49759,25,518,11,1,518
125462,15,144,14,0,144
49759,7,69,1,1,69
2015160,21,491,14,0,491
3142961,19,127,3,1,127
3598744,5,69,1,1,69
272984,5,78,11,1,78
272984,10,233,8,1,233
4329760,27,586,13,0,586
6097006,10,233,5,2,233
4329760,20,450,11,1,450
3598744,3,208,2,1,208
2015160,1,69,1,1,69
3142961,11,233,6,1,233
2538292,11,337,13,0,337
2538292,2,411,13,0,411
3060005,12,56,5,1,56
631628,21,558,8,1,558
1777548,24,559,1,1,559
1777548,27,256,2,1,256
272984,11,376,12,0,376
2015160,23,491,15,0,491
1818807,19,142,3,1,142
5383714,5,337,11,1,337
3976053,11,146,1,1,146
125462,24,579,11,1,579
2015160,24,212,13,0,212
3364390,5,419,8,1,419
4329760,10,257,1,1,257
3976053,15,411,14,0,411
3976053,6,80,12,0,80
6097006,1,252,13,0,252
2538292,14,69,12,0,69
3598744,6,419,9,1,419
5383714,7,579,9,2,579
1818807,26,98,5,1,98
1818807,8,69,1,1,69
1767909,5,78,11,1,78
3364390,14,430,10,1,430
2538292,6,413,10,1,413
272984,3,78,13,0,78
2538292,10,69,12,0,69
631628,10,233,6,2,233
3364390,1,250,9,1,250
6097006,18,450,10,1,450
5383714,3,233,7,2,233
3598744,13,256,3,1,256
4329760,23,237,3,1,237
3364390,20,233,7,2,233
6097006,3,275,4,1,275
631628,14,413,11,1,413
3976053,27,275,4,1,275
1174308,13,237,4,1,237
4329760,9,125,8,1,125
49759,21,237,4,1,237
3364390,13,54,12,0,54
1174308,12,78,10,1,78
272984,16,78,15,0,78
661771,8,240,13,0,240
2538292,9,154,13,0,154
125462,16,56,15,0,56
3060005,7,430,10,1,430
631628,9,233,6,2,233
6097006,2,69,1,1,69
49759,15,450,14,0,450
125462,20,413,11,1,413
3060005,13,256,4,1,256
3142961,24,315,9,1,315
1777548,20,389,1,1,389
6097006,1,69,1,1,69
5383714,1,275,2,1,275
3598744,16,143,1,1,143
6097006,21,261,8,1,261
