Year,Full-time/part-time status,State/territory,School sector,Gender,School level,Indigenous status,Students
2016,Full-time equivalent,Victoria,Catholic,Male,Secondary,Indigenous,384.0
2011,Full-time equivalent,South Australia,Government,Female,Secondary,Non-Indigenous,29072.2
2012,Full-time students,Queensland,Independent,Male,Primary,Non-Indigenous,27989.0
2010,Full-time equivalent,Tasmania,Government,Female,Primary,Non-Indigenous,14343.2
2011,Full-time equivalent,Northern Territory,Independent,Female,Primary,Indigenous,177.0
2012,Part-time students,Victoria,Catholic,Female,Primary,Non-Indigenous,36.0
2015,Full-time students,Northern Territory,Independent,Male,Primary,Non-Indigenous,1197.0
2014,Full-time students,Western Australia,Catholic,Female,Secondary,Non-Indigenous,13372.0
2009,Full-time students,South Australia,Catholic,Female,Primary,Non-Indigenous,13872.0
2011,Full-time equivalent,Victoria,Independent,Male,Primary,Non-Indigenous,23673.3
2016,Full-time students,Victoria,Independent,Female,Secondary,Indigenous,306.0
2014,Full-time students,South Australia,Independent,Female,Primary,Indigenous,190.0
2016,Full-time equivalent,Victoria,Government,Male,Secondary,Indigenous,2399.6
2009,Part-time students,South Australia,Government,Female,Secondary,Indigenous,62.0
2017,Part-time students,South Australia,Catholic,Male,Primary,Indigenous,0.0
2014,Part-time students,South Australia,Government,Female,Primary,Non-Indigenous,11.0
2017,Part-time students,New South Wales,Government,Female,Secondary,Indigenous,93.0
2018,Part-time students,South Australia,Independent,Female,Secondary,Indigenous,0.0
2013,Full-time students,South Australia,Government,Female,Secondary,Non-Indigenous,27506.0
2011,Part-time students,Northern Territory,Catholic,Female,Secondary,Indigenous,0.0
2012,Full-time equivalent,Tasmania,Independent,Male,Secondary,Indigenous,51.0
2017,Part-time students,Northern Territory,Government,Male,Primary,Non-Indigenous,42.0
2014,Part-time students,Tasmania,Catholic,Female,Secondary,Indigenous,0.0
2012,Full-time equivalent,Northern Territory,Government,Male,Secondary,Non-Indigenous,3424.2
2013,Full-time equivalent,Victoria,Catholic,Male,Secondary,Indigenous,283.0
2015,Full-time students,Queensland,Government,Female,Secondary,Non-Indigenous,89197.0
2017,Part-time students,Victoria,Government,Male,Secondary,Non-Indigenous,1036.0
2009,Full-time equivalent,Victoria,Government,Female,Secondary,Non-Indigenous,108254.1
2012,Full-time students,Tasmania,Government,Male,Primary,Non-Indigenous,15187.0
2013,Part-time students,Australian Capital Territory,Catholic,Male,Primary,Indigenous,0.0
2017,Full-time students,Australian Capital Territory,Independent,Female,Primary,Indigenous,28.0
2012,Full-time students,Victoria,Government,Female,Primary,Indigenous,2875.0
2018,Full-time students,Western Australia,Catholic,Female,Primary,Indigenous,676.0
2017,Part-time students,Northern Territory,Catholic,Male,Secondary,Non-Indigenous,0.0
2015,Full-time students,Queensland,Government,Female,Primary,Indigenous,15355.0
2011,Full-time equivalent,New South Wales,Catholic,Male,Primary,Indigenous,1558.0
2011,Part-time students,Queensland,Independent,Male,Primary,Indigenous,0.0
2009,Full-time students,Northern Territory,Independent,Female,Secondary,Indigenous,506.0
2012,Full-time students,New South Wales,Independent,Male,Secondary,Non-Indigenous,37486.0
2011,Full-time equivalent,South Australia,Independent,Male,Primary,Non-Indigenous,12338.0
2015,Full-time students,South Australia,Catholic,Male,Secondary,Non-Indigenous,9587.0
2015,Part-time students,New South Wales,Independent,Male,Secondary,Indigenous,13.0
2010,Full-time equivalent,South Australia,Catholic,Female,Secondary,Non-Indigenous,9888.7
2011,Full-time students,Australian Capital Territory,Catholic,Male,Secondary,Indigenous,62.0
2018,Full-time equivalent,Victoria,Catholic,Male,Secondary,Indigenous,394.0
2009,Part-time students,Tasmania,Government,Female,Secondary,Non-Indigenous,1084.0
2014,Full-time students,New South Wales,Independent,Male,Primary,Indigenous,558.0
2013,Full-time students,Queensland,Catholic,Female,Primary,Non-Indigenous,39552.0
2009,Full-time students,New South Wales,Government,Female,Primary,Indigenous,11834.0
2012,Full-time equivalent,South Australia,Independent,Male,Secondary,Non-Indigenous,9758.2
2010,Part-time students,South Australia,Independent,Female,Primary,Non-Indigenous,24.0
2014,Full-time students,Western Australia,Government,Male,Secondary,Non-Indigenous,38016.0
2013,Full-time students,South Australia,Government,Male,Secondary,Indigenous,1575.0
2009,Part-time students,Tasmania,Catholic,Male,Secondary,Non-Indigenous,4.0
2015,Full-time equivalent,Western Australia,Independent,Male,Primary,Non-Indigenous,13889.1
2014,Part-time students,New South Wales,Independent,Male,Secondary,Indigenous,4.0
2017,Full-time equivalent,Queensland,Government,Female,Primary,Indigenous,16913.2
2013,Full-time students,Western Australia,Catholic,Female,Primary,Non-Indigenous,19763.0
2016,Full-time equivalent,Queensland,Independent,Female,Secondary,Indigenous,1196.8
