iso_code,continent,location,date,Total cases,New cases,New cases smoothed,Total deaths,New deaths,New deaths smoothed,Total cases per million,New cases per million,New cases smoothed per million,Total deaths per million,New deaths per million,New deaths smoothed per million,Reproduction rate,ICU patients,ICU patients per million,Hospital patients,Hospital patients per million,Weekly ICU admissions,Weekly ICU admissisions per million,weekly_hosp_admissions,Weekly hospital admissions per million,new_tests,total_tests,Total tests per thousand,New tests per thousands,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,Total vaccinations per hundred,People vaccinated per hundred,People fully vaccinated per hundred,New vaccinations smoothed per million,stringency_index,Population,Population density,Median age,Aged 65 and older,Aged 70 and old,GDP per capita,Extreme poverty,Cardiovascular death rate,Diabetes prevalence,Female smoking rate,Male smoking rate,Handwashing facilities availalbe,Hospital beds per thousand,Life expectancy,human_development_index
"AND","Europe","Andorra",2020-03-09 00:00:00.000,1,0,0,,,0,12.942,0,0,,,0,,,,,,,,,,,,,,,,,,"",,,,,,,,,,0,77265,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868
"AND","Europe","Andorra",2020-03-10 00:00:00.000,1,0,0,,,0,12.942,0,0,,,0,,,,,,,,,,,,,,,,,,"",,,,,,,,,,0,77265,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868
"AND","Europe","Andorra",2020-03-11 00:00:00.000,1,0,0,,,0,12.942,0,0,,,0,,,,,,,,,,,,,,,,,,"",,,,,,,,,,0,77265,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868
"AND","Europe","Andorra",2020-03-12 00:00:00.000,1,0,0,,,0,12.942,0,0,,,0,,,,,,,,,,,,,,,,,,"",,,,,,,,,,0,77265,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868
"AND","Europe","Andorra",2020-03-13 00:00:00.000,1,0,0,,,0,12.942,0,0,,,0,,,,,,,,,,,,,,,,,,"",,,,,,,,,,9.26,77265,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868
"AND","Europe","Andorra",2020-03-14 00:00:00.000,1,0,0,,,0,12.942,0,0,,,0,,,,,,,,,,,,,,,,,,"",,,,,,,,,,20.37,77265,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868
"AND","Europe","Andorra",2020-03-15 00:00:00.000,1,0,0,,,0,12.942,0,0,,,0,,,,,,,,,,,,,,,,,,"",,,,,,,,,,20.37,77265,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868
"ATG","North America","Antigua and Barbuda",2020-03-20 00:00:00.000,1,0,0,,,0,10.212,0,0,,,0,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,97928,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778
"ATG","North America","Antigua and Barbuda",2020-03-21 00:00:00.000,1,0,0,,,0,10.212,0,0,,,0,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,97928,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778
"ATG","North America","Antigua and Barbuda",2020-03-22 00:00:00.000,1,0,0,,,0,10.212,0,0,,,0,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,97928,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778
