CountryCode,School closures,Workplace closures,Cancelling public events,Restrictions on gathering,Public transport closures,Stay at home requirements,International travel controls,Face coverings required,Vaccinations available,Domestic travel restrictions
"AGO",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"ARG",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"AZE",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"BGD",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","100-200 days",">300 days"
"BHR",">300 days",">300 days",">300 days",">300 days","100-200 days",">300 days",">300 days",">300 days","100-200 days","200-300 days"
"BHS",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"BLZ",">300 days",">300 days",">300 days",">300 days","100-200 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"BRA",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"BTN",">300 days",">300 days",">300 days",">300 days","200-300 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"BWA",">300 days",">300 days",">300 days",">300 days","<100 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"CAF",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days"
"CAN",">300 days",">300 days",">300 days",">300 days","<100 days",">300 days",">300 days",">300 days","100-200 days",">300 days"
"CHL",">300 days",">300 days",">300 days",">300 days","200-300 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"CHN",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","100-200 days",">300 days"
"CIV",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days"
"COD",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days"
"COG",">300 days",">300 days",">300 days",">300 days","100-200 days",">300 days",">300 days",">300 days","<100 days","100-200 days"
"COL",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","100-200 days",">300 days"
"CPV",">300 days",">300 days",">300 days",">300 days","100-200 days",">300 days",">300 days",">300 days","<100 days","200-300 days"
"DOM",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","<100 days","200-300 days"
"DZA",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","<100 days",">300 days"
