ISO,Country,Year,GDP (bn),% change
"ABW","Aruba",2019,3.463,0.4
"AFG","Afghanistan",2019,1319.9,3.912
"AGO","Angola",2019,1545.52,-0.6
"ALB","Albania",2019,839.449,2.24
"ARE","United Arab Emirates",2019,1486.26,1.678
"ARG","Argentina",2019,692.977,-2.088
"ARM","Armenia",2019,4100.91,7.582
"ATG","Antigua and Barbuda",2019,3.619,3.351
"AUS","Australia",2019,1972.81,1.946
"AUT","Austria",2019,374.053,1.419
"AZE","Azerbaijan",2019,29.831,2.219
"BDI","Burundi",2019,1779.72,1.813
"BEL","Belgium",2019,444.149,1.744
"BEN","Benin",2019,8383.27,6.866
"BFA","Burkina Faso",2019,8883.25,5.689
"BGD","Bangladesh",2019,11057.94,8.153
"BGR","Bulgaria",2019,102.653,3.694
"BHR","Bahrain",2019,12.919,1.99
"BHS","The Bahamas",2019,11.527,1.218
"BIH","Bosnia and Herzegovina",2019,32.456,2.831
"BLR","Belarus",2019,124.089,1.446
"BLZ","Belize",2019,2.881,1.791
"BOL","Bolivia",2019,49.257,2.217
"BRA","Brazil",2019,1206.44,1.411
"BRB","Barbados",2019,9.242,-0.098
"BRN","Brunei Darussalam",2019,19.099,3.869
"BTN","Bhutan",2019,69.893,4.279
"BWA","Botswana",2019,99.454,3.026
"CAF","Central African Republic",2019,762.88,2.97
"CAN","Canada",2019,2102.3,1.861
"CHE","Switzerland",2019,729.922,1.114
"CHL","Chile",2019,154703.26,1.02
"CHN","China",2019,89280.3,5.822
"CIV","Côte d'Ivoire",2019,35393.53,6.232
"CMR","Cameroon",2019,16890.92,3.855
"COD","Democratic Republic of the Congo",2019,12659.44,4.38
"COG","Republic of Congo",2019,4206.6,-0.622
"COL","Colombia",2019,882029,3.281
"COM","Comoros",2019,420.279,1.866
"CPV","Cabo Verde",2019,168.265,5.668
"CRI","Costa Rica",2019,35809.69,2.168
"CYP","Cyprus",2019,21.632,3.076
"CZE","Czech Republic",2019,5266.51,2.314
"DEU","Germany",2019,3232.34,0.555
"DJI","Djibouti",2019,548.397,7.5
"DMA","Dominica",2019,1.196,7.566
"DNK","Denmark",2019,2153.9,2.851
"DOM","Dominican Republic",2019,2626.61,5.052
"DZA","Algeria",2019,7519.13,0.8
"ECU","Ecuador",2019,71.879,0.012
"EGY","Egypt",2019,3857.5,5.558
"ERI","Eritrea",2019,34.145,3.836
"ESP","Spain",2019,1193.92,1.953
"EST","Estonia",2019,24.789,4.996
"ETH","Ethiopia",2019,1875.89,9.037
"FIN","Finland",2019,230.099,1.272
"FJI","Fiji",2019,10.686,-0.445
"FRA","France",2019,2323.84,1.488
"FSM","Micronesia",2019,0.254,1.2
"GAB","Gabon",2019,5748.81,3.939
"GBR","United Kingdom",2019,2172.51,1.434
"GEO","Georgia",2019,40.307,5.007
"GHA","Ghana",2019,164.56,6.478
"GIN","Guinea",2019,67381.15,5.645
"GMB","The Gambia",2019,61.673,6.057
"GNB","Guinea-Bissau",2019,812.03,4.5
"GNQ","Equatorial Guinea",2019,5076.33,-5.566
"GRC","Greece",2019,183.606,1.857
"GRD","Grenada",2019,2.515,1.914
"GTM","Guatemala",2019,513.262,3.846
"GUY","Guyana",2019,1044.09,5.353
"HKG","Hong Kong SAR",2019,2799.7,-1.249
"HND","Honduras",2019,220.409,2.651
"HRV","Croatia",2019,384.532,2.859
"HTI","Haiti",2019,642.11,-1.682
"HUN","Hungary",2019,41033.93,4.578
"IDN","Indonesia",2019,10949037.8,5.018
"IND","India",2019,145692.7,4.042
"IRL","Ireland",2019,347.211,5.924
"IRN","Islamic Republic of Iran",2019,6285896.23,-6.784
"IRQ","Iraq",2019,211863.8,4.461
"ISL","Iceland",2019,2749.1,2.569
"ISR","Israel",2019,1342.97,3.446
"ITA","Italy",2019,1725.73,0.287
"JAM","Jamaica",2019,781.023,0.97
"JOR","Jordan",2019,30.05,1.955
"JPN","Japan",2019,555798.9,0.27
"KAZ","Kazakhstan",2019,14784.97,4.5
"KEN","Kenya",2019,5049.31,5.366
"KGZ","Kyrgyz Republic",2019,186.391,4.468
"KHM","Cambodia",2019,56606.71,7.045
"KIR","Kiribati",2019,0.203,3.926
"KNA","St. Kitts and Nevis",2019,2.129,2.842
"KOR","Korea",2019,1848958.4,2.039
"KWT","Kuwait",2019,39.431,0.426
"LAO","Lao P.D.R.",2019,129449.95,4.652
"LBN","Lebanon",2019,59862.89,-6.7
"LBR","Liberia",2019,3.182,-2.516
"LBY","Libya",2019,27.385,13.188
"LCA","St. Lucia",2019,5.674,1.729
"LKA","Sri Lanka",2019,9883.35,2.255
"LSO","Lesotho",2019,21.739,1.066
"LTU","Lithuania",2019,43.298,4.339
"LUX","Luxembourg",2019,51.983,2.298
"LVA","Latvia",2019,27.553,2.027
"MAC","Macao SAR",2019,434.693,-2.629
"MAR","Morocco",2019,1005.5,2.482
"MDA","Moldova",2019,13.316,3.58
"MDG","Madagascar",2019,21880.93,4.411
"MDV","Maldives",2019,77.162,6.986
"MEX","Mexico",2019,18509.95,-0.055
"MHL","Marshall Islands",2019,0.211,6.529
"MKD","North Macedonia",2019,467.057,3.174
"MLI","Mali",2019,5421.52,4.765
"MLT","Malta",2019,12.489,5.54
"MMR","Myanmar",2019,89147.34,6.75
