Market code,Order ID,Empl,Product,Product code
124444,8777,"Jack","Coca-cola","z001"
124445,77885,"July","Coca-cola","z001"
127788,55778,"Jack","Coca-cola","z001"
887456,55785,"Ali","Coca-cola","z001"
124444,8777,"Jack","Bread","z002"
124445,77885,"July","Bread","z002"
127788,55778,"Jack","Bread","z002"
887456,55785,"Ali","Bread","z002"
124444,8777,"Jack","Mashroom","z003"
124445,77885,"July","Mashroom","z003"
127788,55778,"Jack","Mashroom","z003"
887456,55785,"Ali","Mashroom","z003"
