Project ID,Name,Value
"Project ID29","Name1",34.247857489341072
"Project ID46","Name2",195.55266260850078
"Project ID43","Name3",256.88829810677373
"Project ID22","Name4",627.69580266513776
"Project ID11","Name5",451.81206213935184
"Project ID30","Name6",493.22442097354383
"Project ID18","Name7",535.64438017381929
"Project ID4","Name8",193.72372041691779
"Project ID39","Name9",220.32007387517535
"Project ID27","Name10",263.60696152256435
"Project ID34","Name11",723.88578118619807
"Project ID14","Name12",225.32676496423539
"Project ID49","Name13",661.515945778865
"Project ID25","Name14",748.21470765440245
"Project ID44","Name15",97.799951264702258
"Project ID42","Name16",916.475974758038
"Project ID45","Name17",640.68049765634021
"Project ID50","Name18",205.78645191041983
"Project ID41","Name19",517.99568174966225
"Project ID24","Name20",687.66581754708511
"Project ID40","Name21",243.10453014360814
"Project ID35","Name22",555.082347105031
"Project ID2","Name23",161.0335025014507
"Project ID48","Name24",859.03366491169277
"Project ID17","Name25",631.40578586834579
"Project ID37","Name26",156.08185697543752
"Project ID7","Name27",878.23105792919921
"Project ID19","Name28",472.6912876496242
"Project ID15","Name29",757.59322350902676
