Date,Year,QuarterOfYear,MonthOfYear,DayOfMonth,DateInt,Month Name,Month & Year,Quarter & Year,DayOfWeek,DayOfWeekName,WeekEnding,MonthEnding,ISO Weeknumber,ISO Year,ISO Day of Year,Week & Year,WeeknYear,MonthnYear,QuarternYear,Fiscal Year,Fiscal Quarter,Fiscal Period,IsAfterToday,IsWorkingDay,IsHoliday,IsBusinessDay,Day Type,WeekOffset,MonthOffset,QuarterOffset,YearOffset,FiscalYearOffset,WeekCompleted,MonthCompleted,QuarterCompleted
2019-07-01 00:00:00.000,2019,3,7,1,20190701,"July","Jul 2019","Q3 2019",1,"Monday",2019-07-07 00:00:00.000,2019-07-31 00:00:00.000,27,2019,183,"2019-27",20192700,20190700,20190300,"FY20","FQ1",1,False,True,"Unknown",True,"Weekday",-71,-16,-5,-1,-1,True,True,True
2019-07-02 00:00:00.000,2019,3,7,2,20190702,"July","Jul 2019","Q3 2019",2,"Tuesday",2019-07-07 00:00:00.000,2019-07-31 00:00:00.000,27,2019,184,"2019-27",20192700,20190700,20190300,"FY20","FQ1",1,False,True,"Unknown",True,"Weekday",-71,-16,-5,-1,-1,True,True,True
2019-07-03 00:00:00.000,2019,3,7,3,20190703,"July","Jul 2019","Q3 2019",3,"Wednesday",2019-07-07 00:00:00.000,2019-07-31 00:00:00.000,27,2019,185,"2019-27",20192700,20190700,20190300,"FY20","FQ1",1,False,True,"Unknown",True,"Weekday",-71,-16,-5,-1,-1,True,True,True
2019-07-04 00:00:00.000,2019,3,7,4,20190704,"July","Jul 2019","Q3 2019",4,"Thursday",2019-07-07 00:00:00.000,2019-07-31 00:00:00.000,27,2019,186,"2019-27",20192700,20190700,20190300,"FY20","FQ1",1,False,True,"Unknown",True,"Weekday",-71,-16,-5,-1,-1,True,True,True
2019-07-05 00:00:00.000,2019,3,7,5,20190705,"July","Jul 2019","Q3 2019",5,"Friday",2019-07-07 00:00:00.000,2019-07-31 00:00:00.000,27,2019,187,"2019-27",20192700,20190700,20190300,"FY20","FQ1",1,False,True,"Unknown",True,"Weekday",-71,-16,-5,-1,-1,True,True,True
2019-07-08 00:00:00.000,2019,3,7,8,20190708,"July","Jul 2019","Q3 2019",1,"Monday",2019-07-14 00:00:00.000,2019-07-31 00:00:00.000,28,2019,190,"2019-28",20192800,20190700,20190300,"FY20","FQ1",1,False,True,"Unknown",True,"Weekday",-70,-16,-5,-1,-1,True,True,True
2019-07-09 00:00:00.000,2019,3,7,9,20190709,"July","Jul 2019","Q3 2019",2,"Tuesday",2019-07-14 00:00:00.000,2019-07-31 00:00:00.000,28,2019,191,"2019-28",20192800,20190700,20190300,"FY20","FQ1",1,False,True,"Unknown",True,"Weekday",-70,-16,-5,-1,-1,True,True,True
2019-07-10 00:00:00.000,2019,3,7,10,20190710,"July","Jul 2019","Q3 2019",3,"Wednesday",2019-07-14 00:00:00.000,2019-07-31 00:00:00.000,28,2019,192,"2019-28",20192800,20190700,20190300,"FY20","FQ1",1,False,True,"Unknown",True,"Weekday",-70,-16,-5,-1,-1,True,True,True
2019-07-11 00:00:00.000,2019,3,7,11,20190711,"July","Jul 2019","Q3 2019",4,"Thursday",2019-07-14 00:00:00.000,2019-07-31 00:00:00.000,28,2019,193,"2019-28",20192800,20190700,20190300,"FY20","FQ1",1,False,True,"Unknown",True,"Weekday",-70,-16,-5,-1,-1,True,True,True
2019-07-12 00:00:00.000,2019,3,7,12,20190712,"July","Jul 2019","Q3 2019",5,"Friday",2019-07-14 00:00:00.000,2019-07-31 00:00:00.000,28,2019,194,"2019-28",20192800,20190700,20190300,"FY20","FQ1",1,False,True,"Unknown",True,"Weekday",-70,-16,-5,-1,-1,True,True,True
