Name,Expense,Amount (GP)
Monk,Power BI Pro License,1200.0
Bonk,Transport,720.0
Klonk,Power BI Pro License,1200.0
Monk,Business Lunch,9.5
Bonk,Transport,310.0
Chonk,Business Lunch,45.0
Breendonk,Business Breakfast,80.0
Bonk,Business Lunch,18.5
Klonk,Design Software License,3000.0
Bonk,Lodging,750.0
Klonk,Business Lunch,12.5
Bonk,Lodging,250.0
Bonk,Spell of Sending,300.0
Klonk,Spell of Sending,300.0
Breendonk,Business Lunch,12.5
Breendonk,Business Lunch,40.0
Monk,Transport,110.0
Breendonk,Business Lunch,35.0
Bonk,Spell of Sending,300.0
Breendonk,Spell of Sending,300.0
Klonk,New PC Mouse,20.0
Klonk,Third-party Software,150.0
Klonk,Business Lunch,12.5
Monk,Business Lunch,11.5
Breendonk,Lodging,250.0
