ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,PromotionKey,CurrencyKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,RevisionNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight,CarrierTrackingNumber,CustomerPONumber,OrderDate,DueDate,ShipDate
310,20110506,20110518,20110513,28792,1,100,1,SO44599,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-05-06 00:00:00.000,2011-05-18 00:00:00.000,2011-05-13 00:00:00.000
225,20131106,20131118,20131113,29104,1,19,6,SO70185,2,1,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248,,,2013-11-06 00:00:00.000,2013-11-18 00:00:00.000,2013-11-13 00:00:00.000
222,20131011,20131023,20131018,15638,1,98,10,SO68190,2,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,,2013-10-11 00:00:00.000,2013-10-23 00:00:00.000,2013-10-18 00:00:00.000
479,20130706,20130718,20130713,27866,1,6,9,SO61653,3,1,1,8.99,8.99,0,0,3.3623,3.3623,8.99,0.7192,0.2248,,,2013-07-06 00:00:00.000,2013-07-18 00:00:00.000,2013-07-13 00:00:00.000
477,20130815,20130827,20130822,15929,1,98,10,SO64252,2,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,2013-08-15 00:00:00.000,2013-08-27 00:00:00.000,2013-08-22 00:00:00.000
537,20130302,20130314,20130309,21961,1,6,9,SO53724,2,1,1,35.0,35.0,0,0,13.09,13.09,35.0,2.8,0.875,,,2013-03-02 00:00:00.000,2013-03-14 00:00:00.000,2013-03-09 00:00:00.000
378,20130202,20130214,20130209,18272,1,6,9,SO52107,1,1,1,2443.35,2443.35,0,0,1554.9479,1554.9479,2443.35,195.468,61.0838,,,2013-02-02 00:00:00.000,2013-02-14 00:00:00.000,2013-02-09 00:00:00.000
541,20130802,20130814,20130809,23977,1,100,7,SO63465,1,1,1,28.99,28.99,0,0,10.8423,10.8423,28.99,2.3192,0.7248,,,2013-08-02 00:00:00.000,2013-08-14 00:00:00.000,2013-08-09 00:00:00.000
310,20110327,20110408,20110403,13579,1,29,8,SO44258,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-03-27 00:00:00.000,2011-04-08 00:00:00.000,2011-04-03 00:00:00.000
539,20131121,20131203,20131128,11203,1,19,6,SO71235,1,1,1,24.99,24.99,0,0,9.3463,9.3463,24.99,1.9992,0.6248,,,2013-11-21 00:00:00.000,2013-12-03 00:00:00.000,2013-11-28 00:00:00.000
353,20130922,20131004,20130929,14234,1,6,9,SO66873,1,1,1,2319.99,2319.99,0,0,1265.6195,1265.6195,2319.99,185.5992,57.9998,,,2013-09-22 00:00:00.000,2013-10-04 00:00:00.000,2013-09-29 00:00:00.000
605,20130424,20130506,20130501,20993,1,6,9,SO56747,1,1,1,539.99,539.99,0,0,343.6496,343.6496,539.99,43.1992,13.4998,,,2013-04-24 00:00:00.000,2013-05-06 00:00:00.000,2013-05-01 00:00:00.000
373,20120413,20120425,20120420,22031,1,6,9,SO47833,1,1,1,2181.5625,2181.5625,0,0,1320.6838,1320.6838,2181.5625,174.525,54.5391,,,2012-04-13 00:00:00.000,2012-04-25 00:00:00.000,2012-04-20 00:00:00.000
480,20131228,20140109,20140104,17967,2,98,10,SO74120,3,1,1,2.29,2.29,0,0,0.8565,0.8565,2.29,0.1832,0.0573,,,2013-12-28 00:00:00.000,2014-01-09 00:00:00.000,2014-01-04 00:00:00.000
375,20120108,20120120,20120115,13202,1,100,4,SO46763,1,1,1,2181.5625,2181.5625,0,0,1320.6838,1320.6838,2181.5625,174.525,54.5391,,,2012-01-08 00:00:00.000,2012-01-20 00:00:00.000,2012-01-15 00:00:00.000
485,20130708,20130720,20130715,15054,1,100,8,SO61735,2,1,1,21.98,21.98,0,0,8.2205,8.2205,21.98,1.7584,0.5495,,,2013-07-08 00:00:00.000,2013-07-20 00:00:00.000,2013-07-15 00:00:00.000
477,20131205,20131217,20131212,29395,1,98,7,SO72382,1,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,2013-12-05 00:00:00.000,2013-12-17 00:00:00.000,2013-12-12 00:00:00.000
477,20130810,20130822,20130817,23458,1,19,6,SO63970,3,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,2013-08-10 00:00:00.000,2013-08-22 00:00:00.000,2013-08-17 00:00:00.000
313,20110111,20110123,20110118,11592,1,39,7,SO43751,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-11 00:00:00.000,2011-01-23 00:00:00.000,2011-01-18 00:00:00.000
535,20130924,20131006,20131001,24749,1,100,4,SO66963,1,1,1,24.99,24.99,0,0,9.3463,9.3463,24.99,1.9992,0.6248,,,2013-09-24 00:00:00.000,2013-10-06 00:00:00.000,2013-10-01 00:00:00.000
481,20140106,20140118,20140113,19953,1,100,9,SO74421,3,1,1,8.99,8.99,0,0,3.3623,3.3623,8.99,0.7192,0.2248,,,2014-01-06 00:00:00.000,2014-01-18 00:00:00.000,2014-01-13 00:00:00.000
476,20131023,20131104,20131030,29012,1,19,6,SO68976,1,1,1,69.99,69.99,0,0,26.1763,26.1763,69.99,5.5992,1.7498,,,2013-10-23 00:00:00.000,2013-11-04 00:00:00.000,2013-10-30 00:00:00.000
538,20130513,20130525,20130520,21099,1,100,7,SO57928,1,1,1,21.49,21.49,0,0,8.0373,8.0373,21.49,1.7192,0.5373,,,2013-05-13 00:00:00.000,2013-05-25 00:00:00.000,2013-05-20 00:00:00.000
478,20130305,20130317,20130312,21472,1,100,4,SO53890,1,1,1,9.99,9.99,0,0,3.7363,3.7363,9.99,0.7992,0.2498,,,2013-03-05 00:00:00.000,2013-03-17 00:00:00.000,2013-03-12 00:00:00.000
491,20130326,20130407,20130402,21298,1,100,1,SO55053,3,1,1,53.99,53.99,0,0,41.5723,41.5723,53.99,4.3192,1.3498,,,2013-03-26 00:00:00.000,2013-04-07 00:00:00.000,2013-04-02 00:00:00.000
225,20130319,20130331,20130326,17078,1,6,9,SO54667,1,1,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248,,,2013-03-19 00:00:00.000,2013-03-31 00:00:00.000,2013-03-26 00:00:00.000
384,20130301,20130313,20130308,19683,2,100,1,SO53718,1,1,1,1120.49,1120.49,0,0,713.0798,713.0798,1120.49,89.6392,28.0123,,,2013-03-01 00:00:00.000,2013-03-13 00:00:00.000,2013-03-08 00:00:00.000
478,20131017,20131029,20131024,14341,1,19,6,SO68567,2,1,1,9.99,9.99,0,0,3.7363,3.7363,9.99,0.7992,0.2498,,,2013-10-17 00:00:00.000,2013-10-29 00:00:00.000,2013-10-24 00:00:00.000
313,20110419,20110501,20110426,28362,1,100,4,SO44428,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-04-19 00:00:00.000,2011-05-01 00:00:00.000,2011-04-26 00:00:00.000
599,20130730,20130811,20130806,14997,1,100,8,SO63070,1,1,1,539.99,539.99,0,0,294.5797,294.5797,539.99,43.1992,13.4998,,,2013-07-30 00:00:00.000,2013-08-11 00:00:00.000,2013-08-06 00:00:00.000
477,20130808,20130820,20130815,17602,1,100,4,SO63847,1,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,2013-08-08 00:00:00.000,2013-08-20 00:00:00.000,2013-08-15 00:00:00.000
539,20130221,20130305,20130228,14516,1,6,9,SO53070,1,1,1,24.99,24.99,0,0,9.3463,9.3463,24.99,1.9992,0.6248,,,2013-02-21 00:00:00.000,2013-03-05 00:00:00.000,2013-02-28 00:00:00.000
479,20130609,20130621,20130616,25407,1,100,1,SO59822,3,1,1,8.99,8.99,0,0,3.3623,3.3623,8.99,0.7192,0.2248,,,2013-06-09 00:00:00.000,2013-06-21 00:00:00.000,2013-06-16 00:00:00.000
474,20130209,20130221,20130216,16005,1,19,6,SO52493,1,1,1,69.99,69.99,0,0,26.1763,26.1763,69.99,5.5992,1.7498,,,2013-02-09 00:00:00.000,2013-02-21 00:00:00.000,2013-02-16 00:00:00.000
357,20131006,20131018,20131013,14702,1,98,10,SO67850,1,1,1,2319.99,2319.99,0,0,1265.6195,1265.6195,2319.99,185.5992,57.9998,,,2013-10-06 00:00:00.000,2013-10-18 00:00:00.000,2013-10-13 00:00:00.000
563,20131001,20131013,20131008,27279,1,100,1,SO67560,1,1,1,2384.07,2384.07,0,0,1481.9379,1481.9379,2384.07,190.7256,59.6018,,,2013-10-01 00:00:00.000,2013-10-13 00:00:00.000,2013-10-08 00:00:00.000
477,20130601,20130613,20130608,20461,1,100,4,SO59240,3,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,2013-06-01 00:00:00.000,2013-06-13 00:00:00.000,2013-06-08 00:00:00.000
