PK_Product,ProductID,Name,Weight,Size,Class,TK_Date,TK_Source
1,1,"Adjustable Race",,"","",2021-07-01 00:00:00.000,"Product"
2,2,"Bearing Ball",,"","",2021-07-01 00:00:00.000,"Product"
3,3,"BB Ball Bearing",,"","",2021-07-01 00:00:00.000,"Product"
4,4,"Headset Ball Bearings",,"","",2021-07-01 00:00:00.000,"Product"
5,316,"Blade",,"","",2021-07-01 00:00:00.000,"Product"
8,319,"HL Crankarm",,"","",2021-07-01 00:00:00.000,"Product"
9,320,"Chainring Bolts",,"","",2021-07-01 00:00:00.000,"Product"
10,321,"Chainring Nut",,"","",2021-07-01 00:00:00.000,"Product"
11,322,"Chainring",,"","",2021-07-01 00:00:00.000,"Product"
12,323,"Crown Race",,"","",2021-07-01 00:00:00.000,"Product"
13,324,"Chain Stays",,"","",2021-07-01 00:00:00.000,"Product"
14,325,"Decal 1",,"","",2021-07-01 00:00:00.000,"Product"
15,326,"Decal 2",,"","",2021-07-01 00:00:00.000,"Product"
16,327,"Down Tube",,"","",2021-07-01 00:00:00.000,"Product"
17,328,"Mountain End Caps",,"","",2021-07-01 00:00:00.000,"Product"
18,329,"Road End Caps",,"","",2021-07-01 00:00:00.000,"Product"
19,330,"Touring End Caps",,"","",2021-07-01 00:00:00.000,"Product"
20,331,"Fork End",,"","",2021-07-01 00:00:00.000,"Product"
21,332,"Freewheel",,"","",2021-07-01 00:00:00.000,"Product"
22,341,"Flat Washer 1",,"","",2021-07-01 00:00:00.000,"Product"
23,110000,"Flat Washer 6",,"","",2021-07-01 00:00:00.000,"Product"
24,343,"Flat Washer 2",,"","",2021-07-01 00:00:00.000,"Product"
25,344,"Flat Washer 9",,"","",2021-07-01 00:00:00.000,"Product"
26,345,"Flat Washer 4",,"","",2021-07-01 00:00:00.000,"Product"
27,346,"Flat Washer 3",,"","",2021-07-01 00:00:00.000,"Product"
28,347,"Flat Washer 8",,"","",2021-07-01 00:00:00.000,"Product"
29,348,"Flat Washer 5",,"","",2021-07-01 00:00:00.000,"Product"
30,349,"Flat Washer 7",,"","",2021-07-01 00:00:00.000,"Product"
31,350,"Fork Crown",,"","",2021-07-01 00:00:00.000,"Product"
32,351,"Front Derailleur Cage",,"","",2021-07-01 00:00:00.000,"Product"
