TABLE_CAT,TABLE_SCHEM,TABLE_NAME,COLUMN_NAME,DATA_TYPE,TYPE_NAME,COLUMN_SIZE,BUFFER_LENGTH,DECIMAL_DIGITS,NUM_PREC_RADIX,NULLABLE,REMARKS,COLUMN_DEF,SQL_DATA_TYPE,SQL_DATETIME_SUB,CHAR_OCTET_LENGTH,ORDINAL_POSITION,IS_NULLABLE,USER_DATA_TYPE,ODBC Type Name,TableKey
"sample_mflix","","movies","_id",12,"varchar",21845,65535,,,1,"","''",12,,65535,1,"YES",,"VARCHAR","[sample_mflix].[].[movies]"
"sample_mflix","","movies","awards.nominations",-5,"bigint",19,20,0,10,1,"","",-5,,,2,"YES",,"BIGINT","[sample_mflix].[].[movies]"
"sample_mflix","","movies","awards.text",12,"varchar",21845,65535,,,1,"","''",12,,65535,3,"YES",,"VARCHAR","[sample_mflix].[].[movies]"
"sample_mflix","","movies","awards.wins",-5,"bigint",19,20,0,10,1,"","",-5,,,4,"YES",,"BIGINT","[sample_mflix].[].[movies]"
"sample_mflix","","movies","fullplot",12,"varchar",21845,65535,,,1,"","''",12,,65535,5,"YES",,"VARCHAR","[sample_mflix].[].[movies]"
"sample_mflix","","movies","imdb.id",-5,"bigint",19,20,0,10,1,"","",-5,,,6,"YES",,"BIGINT","[sample_mflix].[].[movies]"
"sample_mflix","","movies","imdb.rating",12,"varchar",21845,65535,,,1,"","''",12,,65535,7,"YES",,"VARCHAR","[sample_mflix].[].[movies]"
"sample_mflix","","movies","imdb.votes",12,"varchar",21845,65535,,,1,"","''",12,,65535,8,"YES",,"VARCHAR","[sample_mflix].[].[movies]"
"sample_mflix","","movies","lastupdated",12,"varchar",21845,65535,,,1,"","''",12,,65535,9,"YES",,"VARCHAR","[sample_mflix].[].[movies]"
"sample_mflix","","movies","metacritic",-5,"bigint",19,20,0,10,1,"","",-5,,,10,"YES",,"BIGINT","[sample_mflix].[].[movies]"
"sample_mflix","","movies","num_mflix_comments",-5,"bigint",19,20,0,10,1,"","",-5,,,11,"YES",,"BIGINT","[sample_mflix].[].[movies]"
"sample_mflix","","movies","plot",12,"varchar",21845,65535,,,1,"","''",12,,65535,12,"YES",,"VARCHAR","[sample_mflix].[].[movies]"
"sample_mflix","","movies","poster",12,"varchar",21845,65535,,,1,"","''",12,,65535,13,"YES",,"VARCHAR","[sample_mflix].[].[movies]"
"sample_mflix","","movies","rated",12,"varchar",21845,65535,,,1,"","''",12,,65535,14,"YES",,"VARCHAR","[sample_mflix].[].[movies]"
"sample_mflix","","movies","released",93,"datetime",19,16,0,10,1,"","''",9,93,,15,"YES",,"TYPE_TIMESTAMP","[sample_mflix].[].[movies]"
"sample_mflix","","movies","runtime",-5,"bigint",19,20,0,10,1,"","",-5,,,16,"YES",,"BIGINT","[sample_mflix].[].[movies]"
"sample_mflix","","movies","title",12,"varchar",21845,65535,,,1,"","''",12,,65535,17,"YES",,"VARCHAR","[sample_mflix].[].[movies]"
"sample_mflix","","movies","tomatoes.boxOffice",12,"varchar",21845,65535,,,1,"","''",12,,65535,18,"YES",,"VARCHAR","[sample_mflix].[].[movies]"
"sample_mflix","","movies","tomatoes.consensus",12,"varchar",21845,65535,,,1,"","''",12,,65535,19,"YES",,"VARCHAR","[sample_mflix].[].[movies]"
"sample_mflix","","movies","tomatoes.critic.meter",-5,"bigint",19,20,0,10,1,"","",-5,,,20,"YES",,"BIGINT","[sample_mflix].[].[movies]"
"sample_mflix","","movies","tomatoes.critic.numReviews",-5,"bigint",19,20,0,10,1,"","",-5,,,21,"YES",,"BIGINT","[sample_mflix].[].[movies]"
"sample_mflix","","movies","tomatoes.critic.rating",8,"double",15,8,,,1,"","",8,,,22,"YES",,"DOUBLE","[sample_mflix].[].[movies]"
"sample_mflix","","movies","tomatoes.dvd",93,"datetime",19,16,0,10,1,"","''",9,93,,23,"YES",,"TYPE_TIMESTAMP","[sample_mflix].[].[movies]"
"sample_mflix","","movies","tomatoes.fresh",-5,"bigint",19,20,0,10,1,"","",-5,,,24,"YES",,"BIGINT","[sample_mflix].[].[movies]"
"sample_mflix","","movies","tomatoes.lastUpdated",93,"datetime",19,16,0,10,1,"","''",9,93,,25,"YES",,"TYPE_TIMESTAMP","[sample_mflix].[].[movies]"
"sample_mflix","","movies","tomatoes.production",12,"varchar",21845,65535,,,1,"","''",12,,65535,26,"YES",,"VARCHAR","[sample_mflix].[].[movies]"
