tweetid,source,target,sourceColor,targetColor
10679,pptsearch365,#powerpoint,#01B8AA,#374649
12954,Sheena,LaSalleEd,#01B8AA,#01B8AA
3747,PPT Search,#php5php758049516PPT,#01B8AA,#374649
4107,PPT Search,#E6,#01B8AA,#374649
12253,PPT Search,#DISCIPLINES758049516PPT,#01B8AA,#374649
12099,PPT Search,#campbell758049516PPT,#01B8AA,#374649
5063,Chris Davidson,#salespresentation,#01B8AA,#374649
11799,pptsearch365,#Michigan3214601910pptsearch365en01457222545000,#01B8AA,#374649
22258,Joshua (Windos) King,SQLServer,#01B8AA,#01B8AA
4332,PPT Search,#Ppt758049516PPT,#01B8AA,#374649
4725,John Bickerton,CPTUK,#01B8AA,#01B8AA
10385,PPT Search,#pain,#01B8AA,#374649
10701,PPT Search,#powerpoint,#01B8AA,#374649
24781,AnalyticsValencia,#CloudComputing2993949569AnalyticsValenciaen11457045630000,#01B8AA,#374649
978,PPT Search,#3G,#01B8AA,#374649
23315,Lumina Software USA,SQLServerBI,#01B8AA,#01B8AA
2005,PPT Search,#based,#01B8AA,#374649
12384,PPT Search,#templates,#01B8AA,#374649
21495,Ted T,#SQLServer,#01B8AA,#374649
8788,PPT Search,#mps758049516PPT,#01B8AA,#374649
13888,PPT Search,#powerpoint,#01B8AA,#374649
6249,PPT Search,#slide,#01B8AA,#374649
11999,PPT Search,#histopathology,#01B8AA,#374649
18806,Flowfields,#PowerBI,#01B8AA,#374649
9480,PPT Search,#powerpoint,#01B8AA,#374649
25137,Particular Software,andreasohlund,#01B8AA,#01B8AA
6354,PPT Search,#public,#01B8AA,#374649
20392,Elzina Hodzic,#SQLServer,#01B8AA,#374649
18722,Flowfields,#PowerBI,#01B8AA,#374649
4315,Reed Technology Jobs,#Technology,#01B8AA,#374649
9673,pptsearch365,#powerpoint,#01B8AA,#374649
22568,Ross Mistry,#DataDriven,#01B8AA,#374649
22719,DionHut,#Linux,#01B8AA,#374649
18624,Christopher Webb,#PowerBI,#01B8AA,#374649
10302,pptsearch365,#powerpoint,#01B8AA,#374649
13657,PPT Search,#powerpoint,#01B8AA,#374649
7327,PPT Search,#of,#01B8AA,#374649
24499,NMRConsulting,#ITIL778751731NMRConsultingen01457119127000,#01B8AA,#374649
13704,PPT Search,#slide,#01B8AA,#374649
21582,Franck Borschneck,jcorioland,#01B8AA,#01B8AA
11616,PPT Search,#travel758049516PPT,#01B8AA,#374649
8781,PPT Search,#2010,#01B8AA,#374649
4521,Amanda Nugent,AndreaHonigsfel272701413Amanda,#01B8AA,#01B8AA
6003,PPT Search,#report758049516PPT,#01B8AA,#374649
21140,HR Tech Weekly,Microsoft,#01B8AA,#01B8AA
4408,Kenny Lin  MD  MPH,singingpendrjen,#01B8AA,#01B8AA
5484,PPT Search,#greentech,#01B8AA,#374649
25355,Satinder Singh,#modelling,#01B8AA,#374649
2454,pptsearch365,#c4,#01B8AA,#374649
7950,pptsearch365,#power,#01B8AA,#374649
18269,Christopher Webb,powerpivotpro,#01B8AA,#01B8AA
