ID,variable,value
266,ModelID,1
481,ModelID,1
648,ModelID,1
1195,ModelID,1
1924,ModelID,1
1995,ModelID,1
2343,ModelID,1
2651,ModelID,1
2879,ModelID,1
30043,ModelID,1
37351,ModelID,1
67530,ModelID,1
97247,ModelID,1
98698,ModelID,1
375129,ModelID,1
376427,ModelID,1
376482,ModelID,1
377265,ModelID,1
266,Table Name,Internet Sales
481,Table Name,Reseller Sales
648,Table Name,Date
1195,Table Name,Promotion
1924,Table Name,Currency
1995,Table Name,Product
2343,Table Name,Sales Territory
2651,Table Name,Reseller
2879,Table Name,Employee
30043,Table Name,BridgeBudgetDate
37351,Table Name,BridgeProductSubCat
67530,Table Name,Customer
97247,Table Name,Date Intelligence Metrics
98698,Table Name,Adventure Works Sales
375129,Table Name,CurrentDate
376427,Table Name,BridgeSalesTerritoryRegion
376482,Table Name,Sales and Margin Plan
377265,Table Name,Measure Support
266,DataCategory,
481,DataCategory,
648,DataCategory,
1195,DataCategory,
1924,DataCategory,
1995,DataCategory,
2343,DataCategory,
2651,DataCategory,
2879,DataCategory,
30043,DataCategory,
37351,DataCategory,
67530,DataCategory,
97247,DataCategory,
98698,DataCategory,
375129,DataCategory,
376427,DataCategory,
376482,DataCategory,
377265,DataCategory,
266,Table Description,Online sales transactions to Adventure Works customers (not resellers).
481,Table Description,Sales transactions to Adventure Works resellers.
648,Table Description,
1195,Table Description,
1924,Table Description,
1995,Table Description,Adventure Works product catalog including products not yet for sale.
2343,Table Description,"Adventure Works sales territory structure (Group, Country, Region)."
2651,Table Description,
2879,Table Description,Adventure Works employees including their history.
30043,Table Description,
37351,Table Description,
67530,Table Description,Customers who've made a purchase online.
97247,Table Description,A collection of measures which apply custom date filters to other measures.
98698,Table Description,A collection of measures which combine both internet and reseller sales.
375129,Table Description,
376427,Table Description,
376482,Table Description,The global Adventure Works Sales and Margin Plan.
377265,Table Description,
266,Hidden Table Flag,False
481,Hidden Table Flag,False
648,Hidden Table Flag,False
1195,Hidden Table Flag,False
1924,Hidden Table Flag,False
1995,Hidden Table Flag,False
2343,Hidden Table Flag,False
2651,Hidden Table Flag,False
2879,Hidden Table Flag,False
30043,Hidden Table Flag,True
37351,Hidden Table Flag,True
67530,Hidden Table Flag,False
97247,Hidden Table Flag,False
98698,Hidden Table Flag,False
375129,Hidden Table Flag,True
376427,Hidden Table Flag,True
376482,Hidden Table Flag,False
377265,Hidden Table Flag,False
266,TableStorageID,316
481,TableStorageID,548
648,TableStorageID,886
1195,TableStorageID,1337
1924,TableStorageID,1970
1995,TableStorageID,2142
2343,TableStorageID,2381
2651,TableStorageID,2739
2879,TableStorageID,3104
30043,TableStorageID,30051
37351,TableStorageID,37359
67530,TableStorageID,67538
97247,TableStorageID,97255
98698,TableStorageID,98706
375129,TableStorageID,375193
376427,TableStorageID,376436
376482,TableStorageID,376515
377265,TableStorageID,377274
266,ModifiedTime,2018-01-02 17:15:54.706
481,ModifiedTime,2018-01-02 17:15:31.103
648,ModifiedTime,2017-01-08 23:05:03.356
1195,ModifiedTime,2018-01-02 19:08:44.506
1924,ModifiedTime,2017-01-08 23:05:03.526
1995,ModifiedTime,2018-01-02 18:07:36.633
2343,ModifiedTime,2018-01-02 18:08:15.080
2651,ModifiedTime,2017-01-08 23:05:03.900
2879,ModifiedTime,2018-01-02 18:07:13.100
30043,ModifiedTime,2017-09-02 13:13:08.383
37351,ModifiedTime,2017-10-28 21:14:08.833
67530,ModifiedTime,2018-01-02 16:01:19.010
97247,ModifiedTime,2018-01-02 18:05:23.653
98698,ModifiedTime,2018-01-02 17:33:44.826
375129,ModifiedTime,2017-08-30 16:40:49.110
376427,ModifiedTime,2017-08-30 16:39:19.933
376482,ModifiedTime,2018-01-02 17:16:22.386
377265,ModifiedTime,2017-12-15 23:38:27.843
266,StructureModifiedTime,2017-12-15 00:06:05.463
481,StructureModifiedTime,2017-11-14 20:24:58.790
648,StructureModifiedTime,2017-12-17 17:30:51.300
1195,StructureModifiedTime,2017-10-28 21:02:35.220
1924,StructureModifiedTime,2017-10-28 20:37:05.833
1995,StructureModifiedTime,2017-12-13 17:44:43.890
2343,StructureModifiedTime,2018-01-03 21:05:56.880
2651,StructureModifiedTime,2017-11-30 15:24:11.726
2879,StructureModifiedTime,2017-10-28 20:41:16.300
30043,StructureModifiedTime,2017-04-30 15:26:55.573
37351,StructureModifiedTime,2017-04-30 15:33:19.493
67530,StructureModifiedTime,2017-12-27 19:24:34.733
97247,StructureModifiedTime,2017-12-23 01:52:53.356
98698,StructureModifiedTime,2017-11-15 14:01:45.590
375129,StructureModifiedTime,2017-11-07 17:08:50.943
376427,StructureModifiedTime,2017-08-25 16:42:29.640
376482,StructureModifiedTime,2017-12-23 01:29:05.130
377265,StructureModifiedTime,2018-01-02 20:46:24.460
266,SystemFlags,0
481,SystemFlags,0
648,SystemFlags,0
1195,SystemFlags,0
1924,SystemFlags,0
1995,SystemFlags,0
2343,SystemFlags,0
2651,SystemFlags,0
2879,SystemFlags,0
30043,SystemFlags,0
37351,SystemFlags,0
67530,SystemFlags,0
97247,SystemFlags,0
98698,SystemFlags,0
375129,SystemFlags,0
376427,SystemFlags,0
376482,SystemFlags,0
377265,SystemFlags,0
266,ShowAsVariationsOnly,False
481,ShowAsVariationsOnly,False
648,ShowAsVariationsOnly,False
1195,ShowAsVariationsOnly,False
1924,ShowAsVariationsOnly,False
1995,ShowAsVariationsOnly,False
2343,ShowAsVariationsOnly,False
2651,ShowAsVariationsOnly,False
2879,ShowAsVariationsOnly,False
30043,ShowAsVariationsOnly,False
37351,ShowAsVariationsOnly,False
67530,ShowAsVariationsOnly,False
97247,ShowAsVariationsOnly,False
98698,ShowAsVariationsOnly,False
375129,ShowAsVariationsOnly,False
376427,ShowAsVariationsOnly,False
376482,ShowAsVariationsOnly,False
377265,ShowAsVariationsOnly,False
266,IsPrivate,False
481,IsPrivate,False
648,IsPrivate,False
1195,IsPrivate,False
1924,IsPrivate,False
1995,IsPrivate,False
2343,IsPrivate,False
2651,IsPrivate,False
2879,IsPrivate,False
30043,IsPrivate,False
37351,IsPrivate,False
67530,IsPrivate,False
97247,IsPrivate,False
98698,IsPrivate,False
375129,IsPrivate,False
376427,IsPrivate,False
376482,IsPrivate,False
377265,IsPrivate,False
266,DefaultDetailRowsDefinitionID,
481,DefaultDetailRowsDefinitionID,
648,DefaultDetailRowsDefinitionID,
1195,DefaultDetailRowsDefinitionID,
1924,DefaultDetailRowsDefinitionID,
1995,DefaultDetailRowsDefinitionID,
2343,DefaultDetailRowsDefinitionID,
2651,DefaultDetailRowsDefinitionID,
2879,DefaultDetailRowsDefinitionID,
30043,DefaultDetailRowsDefinitionID,
37351,DefaultDetailRowsDefinitionID,
67530,DefaultDetailRowsDefinitionID,
97247,DefaultDetailRowsDefinitionID,
98698,DefaultDetailRowsDefinitionID,
375129,DefaultDetailRowsDefinitionID,
376427,DefaultDetailRowsDefinitionID,
376482,DefaultDetailRowsDefinitionID,
377265,DefaultDetailRowsDefinitionID,
