Date,Value
2019-01-01 00:00:00.000,1030
2019-01-02 00:00:00.000,1100
2019-01-03 00:00:00.000,1363
2019-01-04 00:00:00.000,1091
2019-01-05 00:00:00.000,1461
2019-01-06 00:00:00.000,1136
2019-01-07 00:00:00.000,1095
2019-01-08 00:00:00.000,1366
2019-01-09 00:00:00.000,1268
2019-01-10 00:00:00.000,1390
2019-01-11 00:00:00.000,1271
2019-01-12 00:00:00.000,1132
2019-01-13 00:00:00.000,1243
2019-01-14 00:00:00.000,1339
2019-01-15 00:00:00.000,1421
2019-01-16 00:00:00.000,1415
2019-01-17 00:00:00.000,1242
2019-01-18 00:00:00.000,1053
2019-01-19 00:00:00.000,1159
2019-01-20 00:00:00.000,1026
2019-01-21 00:00:00.000,1204
2019-01-22 00:00:00.000,1074
2019-01-23 00:00:00.000,1317
2019-01-24 00:00:00.000,1320
2019-01-25 00:00:00.000,1163
2019-01-26 00:00:00.000,1316
2019-01-27 00:00:00.000,1373
2019-01-28 00:00:00.000,1409
2019-01-29 00:00:00.000,1463
2019-01-30 00:00:00.000,1095
2019-01-31 00:00:00.000,1041
2019-02-01 00:00:00.000,1188
2019-02-02 00:00:00.000,1073
2019-02-03 00:00:00.000,1403
2019-02-04 00:00:00.000,1134
2019-02-05 00:00:00.000,1425
2019-02-06 00:00:00.000,1076
2019-02-07 00:00:00.000,1487
2019-02-08 00:00:00.000,1059
2019-02-09 00:00:00.000,1269
2019-02-10 00:00:00.000,1172
2019-02-11 00:00:00.000,1202
2019-02-12 00:00:00.000,1290
2019-02-13 00:00:00.000,1460
2019-02-14 00:00:00.000,1225
2019-02-15 00:00:00.000,1355
2019-02-16 00:00:00.000,1449
2019-02-17 00:00:00.000,1081
2019-02-18 00:00:00.000,1206
2019-02-19 00:00:00.000,1076
2019-02-20 00:00:00.000,1132
2019-02-21 00:00:00.000,1386
2019-02-22 00:00:00.000,1190
2019-02-23 00:00:00.000,1274
2019-02-24 00:00:00.000,1338
2019-02-25 00:00:00.000,1331
2019-02-26 00:00:00.000,1166
2019-02-27 00:00:00.000,1213
2019-02-28 00:00:00.000,1217
2019-03-01 00:00:00.000,1208
2019-03-02 00:00:00.000,1266
2019-03-03 00:00:00.000,1074
2019-03-04 00:00:00.000,1463
2019-03-05 00:00:00.000,1124
2019-03-06 00:00:00.000,1490
2019-03-07 00:00:00.000,1122
2019-03-08 00:00:00.000,1042
2019-03-09 00:00:00.000,1324
2019-03-10 00:00:00.000,1440
2019-03-11 00:00:00.000,1457
2019-03-12 00:00:00.000,1129
2019-03-13 00:00:00.000,1312
2019-03-14 00:00:00.000,1348
2019-03-15 00:00:00.000,1427
2019-03-16 00:00:00.000,1341
2019-03-17 00:00:00.000,1150
2019-03-18 00:00:00.000,1371
2019-03-19 00:00:00.000,1175
2019-03-20 00:00:00.000,1274
2019-03-21 00:00:00.000,1200
2019-03-22 00:00:00.000,1131
2019-03-23 00:00:00.000,1032
2019-03-24 00:00:00.000,1419
2019-03-25 00:00:00.000,1303
2019-03-26 00:00:00.000,1017
2019-03-27 00:00:00.000,1429
2019-03-28 00:00:00.000,1316
2019-03-29 00:00:00.000,1430
2019-03-30 00:00:00.000,1187
2019-03-31 00:00:00.000,1320
2019-04-01 00:00:00.000,1281
2019-04-02 00:00:00.000,1187
2019-04-03 00:00:00.000,1119
2019-04-04 00:00:00.000,1093
2019-04-05 00:00:00.000,1205
2019-04-06 00:00:00.000,1388
2019-04-07 00:00:00.000,1152
2019-04-08 00:00:00.000,1440
2019-04-09 00:00:00.000,1225
2019-04-10 00:00:00.000,1470
2019-04-11 00:00:00.000,1126
2019-04-12 00:00:00.000,1380
2019-04-13 00:00:00.000,1485
2019-04-14 00:00:00.000,1046
2019-04-15 00:00:00.000,1035
2019-04-16 00:00:00.000,1366
2019-04-17 00:00:00.000,1421
2019-04-18 00:00:00.000,1373
2019-04-19 00:00:00.000,1476
2019-04-20 00:00:00.000,1307
2019-04-21 00:00:00.000,1254
2019-04-22 00:00:00.000,1368
2019-04-23 00:00:00.000,1088
2019-04-24 00:00:00.000,1171
2019-04-25 00:00:00.000,1229
2019-04-26 00:00:00.000,1018
2019-04-27 00:00:00.000,1146
2019-04-28 00:00:00.000,1014
2019-04-29 00:00:00.000,1144
2019-04-30 00:00:00.000,1226
2019-05-01 00:00:00.000,1312
2019-05-02 00:00:00.000,1030
2019-05-03 00:00:00.000,1466
2019-05-04 00:00:00.000,1037
2019-05-05 00:00:00.000,1041
2019-05-06 00:00:00.000,1237
2019-05-07 00:00:00.000,1008
2019-05-08 00:00:00.000,1289
2019-05-09 00:00:00.000,1069
2019-05-10 00:00:00.000,1314
2019-05-11 00:00:00.000,1429
2019-05-12 00:00:00.000,1351
2019-05-13 00:00:00.000,1116
