Center ID,city_code,region_code,Center type,op_area,center_type (groups)
11,679,56,"TYPE_A",3.7,"TYPE_A"
13,590,56,"TYPE_B",6.7,"Other"
124,590,56,"TYPE_C",4,"Other"
66,648,34,"TYPE_A",4.1,"TYPE_A"
94,632,34,"TYPE_C",3.6,"Other"
64,553,77,"TYPE_A",4.4,"TYPE_A"
129,593,77,"TYPE_A",3.9,"TYPE_A"
139,693,34,"TYPE_C",2.8,"Other"
88,526,34,"TYPE_A",4.1,"TYPE_A"
143,562,77,"TYPE_B",3.8,"Other"
101,699,85,"TYPE_C",2.8,"Other"
86,699,85,"TYPE_C",4,"Other"
32,526,34,"TYPE_A",3.8,"TYPE_A"
149,478,77,"TYPE_A",2.4,"TYPE_A"
152,576,34,"TYPE_B",4,"Other"
92,526,34,"TYPE_C",2.9,"Other"
27,713,85,"TYPE_A",4.5,"TYPE_A"
14,654,56,"TYPE_C",2.7,"Other"
26,515,77,"TYPE_C",3,"Other"
104,647,56,"TYPE_A",4.5,"TYPE_A"
77,676,34,"TYPE_A",3.8,"TYPE_A"
23,698,23,"TYPE_A",3.4,"TYPE_A"
97,628,77,"TYPE_A",4.6,"TYPE_A"
146,526,34,"TYPE_B",5,"Other"
113,680,77,"TYPE_C",4,"Other"
145,620,77,"TYPE_A",3.9,"TYPE_A"
80,604,56,"TYPE_C",5.1,"Other"
55,647,56,"TYPE_C",2,"Other"
186,649,34,"TYPE_A",3.4,"TYPE_A"
99,596,71,"TYPE_A",4.5,"TYPE_A"
91,590,56,"TYPE_C",0.9,"Other"
20,522,56,"TYPE_A",4,"TYPE_A"
106,675,34,"TYPE_A",4,"TYPE_A"
81,526,34,"TYPE_A",4,"TYPE_A"
73,576,34,"TYPE_A",4,"TYPE_A"
29,526,34,"TYPE_C",4,"Other"
43,590,56,"TYPE_A",5.1,"TYPE_A"
102,593,77,"TYPE_A",2.8,"TYPE_A"
61,473,77,"TYPE_A",4.5,"TYPE_A"
50,556,77,"TYPE_A",4.8,"TYPE_A"
83,659,77,"TYPE_A",5.3,"TYPE_A"
57,541,77,"TYPE_C",2.8,"Other"
126,577,56,"TYPE_A",2.7,"TYPE_A"
177,683,56,"TYPE_A",3.4,"TYPE_A"
67,638,56,"TYPE_B",7,"Other"
174,700,56,"TYPE_A",7,"TYPE_A"
59,456,56,"TYPE_A",4.2,"TYPE_A"
58,695,77,"TYPE_C",3.8,"Other"
65,602,34,"TYPE_A",4.8,"TYPE_A"
39,526,34,"TYPE_C",3.8,"Other"
132,522,56,"TYPE_A",3.9,"TYPE_A"
89,703,56,"TYPE_A",4.8,"TYPE_A"
162,526,34,"TYPE_C",2,"Other"
75,651,77,"TYPE_B",4.7,"Other"
72,638,56,"TYPE_C",3.9,"Other"
41,590,56,"TYPE_C",1.9,"Other"
10,590,56,"TYPE_B",6.3,"Other"
110,485,77,"TYPE_A",3.8,"TYPE_A"
52,685,56,"TYPE_B",5.6,"Other"
93,461,34,"TYPE_A",3.9,"TYPE_A"
74,702,35,"TYPE_A",2.8,"TYPE_A"
34,615,34,"TYPE_B",4.2,"Other"
137,590,56,"TYPE_A",4.4,"TYPE_A"
153,590,56,"TYPE_A",3.9,"TYPE_A"
24,614,85,"TYPE_B",3.6,"Other"
109,599,56,"TYPE_A",3.6,"TYPE_A"
108,579,56,"TYPE_B",4.4,"Other"
36,517,56,"TYPE_B",4.4,"Other"
157,609,93,"TYPE_A",4.1,"TYPE_A"
17,517,56,"TYPE_A",3.2,"TYPE_A"
161,658,34,"TYPE_B",3.9,"Other"
42,561,77,"TYPE_B",3.9,"Other"
53,590,56,"TYPE_A",3.8,"TYPE_A"
30,604,56,"TYPE_A",3.5,"TYPE_A"
76,614,85,"TYPE_A",3,"TYPE_A"
68,676,34,"TYPE_B",4.1,"Other"
51,638,56,"TYPE_A",7,"TYPE_A"
