Date,Province,Electricity Distributed Gwh
2004-11-01 00:00:00.000,Eastern Cape,560
2012-11-01 00:00:00.000,Eastern Cape,631
2008-05-01 00:00:00.000,Eastern Cape,631
2013-06-01 00:00:00.000,Free State,1079
2016-10-01 00:00:00.000,North West,1843
2016-04-01 00:00:00.000,North West,1695
2018-07-01 00:00:00.000,Eastern Cape,792
2018-12-01 00:00:00.000,Limpopo,1760
2007-06-01 00:00:00.000,Western Cape,2030
2006-09-01 00:00:00.000,Mpumalanga,2608
2006-09-01 00:00:00.000,Western Cape,1834
2011-08-01 00:00:00.000,Limpopo,1428
2002-08-01 00:00:00.000,North West,1539
2013-07-01 00:00:00.000,Free State,1082
2012-02-01 00:00:00.000,North West,1594
2009-11-01 00:00:00.000,Eastern Cape,598
2008-07-01 00:00:00.000,Northern Cape,445
2012-09-01 00:00:00.000,Western Cape,1905
2011-02-01 00:00:00.000,Gauteng,4755
2016-12-01 00:00:00.000,Gauteng,4486
2012-04-01 00:00:00.000,Mpumalanga,2776
2004-12-01 00:00:00.000,KwaZulu-Natal,3466
2004-12-01 00:00:00.000,Free State,1068
2017-02-01 00:00:00.000,Limpopo,1491
2014-06-01 00:00:00.000,Free State,1030
2010-04-01 00:00:00.000,Western Cape,1874
2018-03-01 00:00:00.000,Eastern Cape,731
2008-03-01 00:00:00.000,KwaZulu-Natal,3540
2009-02-01 00:00:00.000,Eastern Cape,515
2004-06-01 00:00:00.000,Western Cape,1826
2014-12-01 00:00:00.000,Free State,930
2012-01-01 00:00:00.000,Mpumalanga,2760
2012-07-01 00:00:00.000,Free State,1086
2003-06-01 00:00:00.000,KwaZulu-Natal,3266
2009-09-01 00:00:00.000,Gauteng,5100
2014-05-01 00:00:00.000,North West,1645
2016-12-01 00:00:00.000,Northern Cape,565
2016-11-01 00:00:00.000,North West,1829
2013-11-01 00:00:00.000,Northern Cape,533
2002-11-01 00:00:00.000,Mpumalanga,2542
2012-05-01 00:00:00.000,Western Cape,2004
2006-04-01 00:00:00.000,Mpumalanga,2506
2008-12-01 00:00:00.000,Free State,997
2010-01-01 00:00:00.000,KwaZulu-Natal,3701
2007-12-01 00:00:00.000,Gauteng,4904
2004-06-01 00:00:00.000,Eastern Cape,578
2009-10-01 00:00:00.000,Gauteng,5271
2020-06-01 00:00:00.000,Northern Cape,504
2007-11-01 00:00:00.000,Western Cape,1935
2005-03-01 00:00:00.000,Free State,1078
2018-07-01 00:00:00.000,Gauteng,6026
2019-07-01 00:00:00.000,Gauteng,5865
2020-05-01 00:00:00.000,Northern Cape,466
2019-07-01 00:00:00.000,Western Cape,1997
2008-04-01 00:00:00.000,Free State,961
2017-04-01 00:00:00.000,Northern Cape,454
2002-05-01 00:00:00.000,Northern Cape,363
2002-12-01 00:00:00.000,Eastern Cape,450
2007-12-01 00:00:00.000,North West,1801
2019-04-01 00:00:00.000,Free State,917
2013-11-01 00:00:00.000,Limpopo,1580
2010-09-01 00:00:00.000,Mpumalanga,2469
2002-10-01 00:00:00.000,Free State,1193
2007-08-01 00:00:00.000,Eastern Cape,640
2006-04-01 00:00:00.000,Gauteng,4967
2012-08-01 00:00:00.000,Limpopo,1500
2002-04-01 00:00:00.000,Gauteng,4498
2013-04-01 00:00:00.000,Mpumalanga,2567
2011-04-01 00:00:00.000,Western Cape,1888
2015-08-01 00:00:00.000,North West,1728
2012-03-01 00:00:00.000,Eastern Cape,684
2006-06-01 00:00:00.000,Mpumalanga,2781
2007-02-01 00:00:00.000,Gauteng,4830
2015-10-01 00:00:00.000,KwaZulu-Natal,3367
2009-08-01 00:00:00.000,Northern Cape,411
2011-12-01 00:00:00.000,North West,1748
2014-06-01 00:00:00.000,Gauteng,5739
2009-05-01 00:00:00.000,North West,1695
2014-02-01 00:00:00.000,Eastern Cape,636
2011-12-01 00:00:00.000,Northern Cape,478
2007-10-01 00:00:00.000,Western Cape,2000
2019-05-01 00:00:00.000,Limpopo,1805
2011-05-01 00:00:00.000,Limpopo,1584
2018-09-01 00:00:00.000,Mpumalanga,2429
2007-08-01 00:00:00.000,North West,1916
2015-03-01 00:00:00.000,Gauteng,4986
2019-02-01 00:00:00.000,Eastern Cape,676
2013-08-01 00:00:00.000,KwaZulu-Natal,3805
2005-09-01 00:00:00.000,Northern Cape,445
2013-09-01 00:00:00.000,Free State,964
2006-02-01 00:00:00.000,Northern Cape,385
2007-11-01 00:00:00.000,Free State,1041
2015-09-01 00:00:00.000,North West,1772
2012-07-01 00:00:00.000,Northern Cape,477
2003-01-01 00:00:00.000,Gauteng,4551
2012-04-01 00:00:00.000,North West,1574
2005-05-01 00:00:00.000,Limpopo,1202
2014-03-01 00:00:00.000,Eastern Cape,672
2014-11-01 00:00:00.000,Mpumalanga,2793
2014-10-01 00:00:00.000,Limpopo,1746
