ID_Direct,Start,End,EndToEndCostPerLiter,Directo
"Direct001","Plant001","Customer001",9,"Plant001 - Customer001"
"Direct002","Plant002","Customer001",7,"Plant002 - Customer001"
"Direct003","Plant002","Customer002",9,"Plant002 - Customer002"
"Direct004","Plant003","Customer002",5,"Plant003 - Customer002"
"Direct005","Plant004","Customer002",6,"Plant004 - Customer002"
"Direct006","Plant001","Customer002",7,"Plant001 - Customer002"
"Direct007","Plant004","Customer003",3,"Plant004 - Customer003"
"Direct008","Plant001","Customer003",10,"Plant001 - Customer003"
"Direct009","Plant002","Customer003",7,"Plant002 - Customer003"
"Direct0010","Plant003","Customer003",6,"Plant003 - Customer003"
"Direct0011","Plant001","Customer004",8,"Plant001 - Customer004"
"Direct0012","Plant001","Customer005",3,"Plant001 - Customer005"
"Direct0013","Plant002","Customer006",9,"Plant002 - Customer006"
"Direct0014","Plant001","Customer006",10,"Plant001 - Customer006"
"Direct0015","Plant001","Customer007",8,"Plant001 - Customer007"
"Direct0016","Plant002","Customer007",2,"Plant002 - Customer007"
