ID_Segmento,SegmentStart,SegmentEnd,SegmentMode,SegmentCostPerUnit,Combinada2
"Segment001","Plant001","DC001","Road",4,"Plant001 - DC001 - Road"
"Segment002","Plant002","DC002","Rail",4,"Plant002 - DC002 - Rail"
"Segment003","Plant001","DC004","Road",6,"Plant001 - DC004 - Road"
"Segment004","Plant001","DC004","Rail",3,"Plant001 - DC004 - Rail"
"Segment005","Plant002","DC002","Road",5,"Plant002 - DC002 - Road"
"Segment006","Plant001","DC005","Rail",8,"Plant001 - DC005 - Rail"
"Segment007","Plant001","DC003","Road",5,"Plant001 - DC003 - Road"
"Segment008","Plant002","DC005","Rail",5,"Plant002 - DC005 - Rail"
"Segment009","Plant002","DC003","Road",1,"Plant002 - DC003 - Road"
"Segment0010","Plant001","DC001","Rail",4,"Plant001 - DC001 - Rail"
"Segment0011","Plant002","DC001","Road",9,"Plant002 - DC001 - Road"
"Segment0012","Plant002","DC004","Rail",1,"Plant002 - DC004 - Rail"
"Segment0013","Plant002","DC001","Rail",5,"Plant002 - DC001 - Rail"
"Segment0014","Plant001","DC002","Rail",1,"Plant001 - DC002 - Rail"
"Segment0015","Plant001","DC005","Road",5,"Plant001 - DC005 - Road"
"Segment0016","Plant001","DC003","Rail",4,"Plant001 - DC003 - Rail"
"Segment0017","Plant002","DC004","Road",2,"Plant002 - DC004 - Road"
"Segment0018","Plant003","DC003","Rail",2,"Plant003 - DC003 - Rail"
"Segment0019","Plant004","DC002","Road",7,"Plant004 - DC002 - Road"
"Segment0020","Plant001","DC002","Road",2,"Plant001 - DC002 - Road"
"Segment0021","Plant004","DC003","Road",10,"Plant004 - DC003 - Road"
"Segment0022","Plant004","DC003","Rail",7,"Plant004 - DC003 - Rail"
"Segment0023","Plant003","DC004","Rail",5,"Plant003 - DC004 - Rail"
"Segment0024","Plant004","DC004","Road",7,"Plant004 - DC004 - Road"
"Segment0025","Plant003","DC002","Rail",4,"Plant003 - DC002 - Rail"
"Segment0026","Plant004","DC004","Rail",2,"Plant004 - DC004 - Rail"
"Segment0027","Plant004","DC001","Rail",5,"Plant004 - DC001 - Rail"
"Segment0028","Plant004","DC002","Rail",6,"Plant004 - DC002 - Rail"
"Segment0029","Plant002","DC003","Rail",10,"Plant002 - DC003 - Rail"
"Segment0030","Plant004","DC001","Road",4,"Plant004 - DC001 - Road"
"Segment0031","Plant003","DC001","Road",8,"Plant003 - DC001 - Road"
"Segment0032","Plant003","DC001","Rail",8,"Plant003 - DC001 - Rail"
"Segment0033","Plant002","DC005","Road",1,"Plant002 - DC005 - Road"
"Segment0034","Plant003","DC002","Road",4,"Plant003 - DC002 - Road"
"Segment0035","Plant003","DC003","Road",4,"Plant003 - DC003 - Road"
"Segment0036","Plant003","DC004","Road",6,"Plant003 - DC004 - Road"
"Segment0037","DC001","Customer001","Road",6,"DC001 - Customer001 - Road"
"Segment0038","DC002","Customer001","Rail",5,"DC002 - Customer001 - Rail"
"Segment0039","DC004","Customer001","Road",7,"DC004 - Customer001 - Road"
"Segment0040","DC004","Customer001","Rail",1,"DC004 - Customer001 - Rail"
"Segment0041","DC002","Customer001","Road",9,"DC002 - Customer001 - Road"
"Segment0042","DC005","Customer001","Rail",8,"DC005 - Customer001 - Rail"
"Segment0043","DC003","Customer001","Road",3,"DC003 - Customer001 - Road"
"Segment0044","DC001","Customer001","Rail",10,"DC001 - Customer001 - Rail"
"Segment0045","DC005","Customer001","Road",3,"DC005 - Customer001 - Road"
"Segment0046","DC003","Customer001","Rail",10,"DC003 - Customer001 - Rail"
"Segment0047","DC004","Customer002","Road",1,"DC004 - Customer002 - Road"
"Segment0048","DC003","Customer002","Rail",4,"DC003 - Customer002 - Rail"
"Segment0049","DC002","Customer002","Road",10,"DC002 - Customer002 - Road"
"Segment0050","DC002","Customer002","Rail",10,"DC002 - Customer002 - Rail"
"Segment0051","DC003","Customer002","Road",2,"DC003 - Customer002 - Road"
"Segment0052","DC004","Customer002","Rail",9,"DC004 - Customer002 - Rail"
"Segment0053","DC001","Customer002","Rail",7,"DC001 - Customer002 - Rail"
"Segment0054","DC001","Customer002","Road",9,"DC001 - Customer002 - Road"
"Segment0055","DC001","Customer003","Road",10,"DC001 - Customer003 - Road"
"Segment0056","DC001","Customer003","Rail",10,"DC001 - Customer003 - Rail"
"Segment0057","DC001","Customer004","Road",5,"DC001 - Customer004 - Road"
"Segment0058","DC001","Customer004","Rail",10,"DC001 - Customer004 - Rail"
"Segment0059","DC004","Customer005","Road",6,"DC004 - Customer005 - Road"
"Segment0060","DC004","Customer005","Rail",6,"DC004 - Customer005 - Rail"
"Segment0061","DC001","Customer005","Road",10,"DC001 - Customer005 - Road"
"Segment0062","DC005","Customer005","Rail",6,"DC005 - Customer005 - Rail"
"Segment0063","DC003","Customer005","Road",3,"DC003 - Customer005 - Road"
"Segment0064","DC001","Customer005","Rail",2,"DC001 - Customer005 - Rail"
"Segment0065","DC003","Customer005","Rail",7,"DC003 - Customer005 - Rail"
"Segment0066","DC003","Customer006","Rail",10,"DC003 - Customer006 - Rail"
"Segment0067","DC002","Customer006","Road",9,"DC002 - Customer006 - Road"
"Segment0068","DC003","Customer006","Road",5,"DC003 - Customer006 - Road"
"Segment0069","DC005","Customer006","Rail",7,"DC005 - Customer006 - Rail"
"Segment0070","DC004","Customer006","Rail",7,"DC004 - Customer006 - Rail"
"Segment0071","DC005","Customer006","Road",3,"DC005 - Customer006 - Road"
"Segment0072","DC002","Customer006","Rail",6,"DC002 - Customer006 - Rail"
"Segment0073","DC001","Customer006","Road",3,"DC001 - Customer006 - Road"
"Segment0074","DC001","Customer006","Rail",7,"DC001 - Customer006 - Rail"
"Segment0075","DC001","Customer007","Road",5,"DC001 - Customer007 - Road"
"Segment0076","DC003","Customer007","Rail",9,"DC003 - Customer007 - Rail"
"Segment0077","DC003","Customer007","Road",10,"DC003 - Customer007 - Road"
"Segment0078","DC001","Customer007","Rail",8,"DC001 - Customer007 - Rail"
"Segment0079","DC005","Customer007","Road",1,"DC005 - Customer007 - Road"
