DateKey,MovementDate,ProductKey,UnitsBalance
20160225,2016-02-25 00:00:00.000,19,875
20170730,2017-07-30 00:00:00.000,503,455
20151129,2015-11-29 00:00:00.000,345,30
20170504,2017-05-04 00:00:00.000,44,875
20170123,2017-01-23 00:00:00.000,64,875
20170804,2017-08-04 00:00:00.000,63,875
20151228,2015-12-28 00:00:00.000,119,875
20150328,2015-03-28 00:00:00.000,266,438
20150328,2015-03-28 00:00:00.000,498,438
20150914,2015-09-14 00:00:00.000,588,88
20170629,2017-06-29 00:00:00.000,213,4
20160830,2016-08-30 00:00:00.000,360,84
20170306,2017-03-06 00:00:00.000,405,438
20151022,2015-10-22 00:00:00.000,439,438
20170716,2017-07-16 00:00:00.000,506,423
20150724,2015-07-24 00:00:00.000,112,875
20151222,2015-12-22 00:00:00.000,88,875
20170614,2017-06-14 00:00:00.000,221,4
20150730,2015-07-30 00:00:00.000,148,875
20170410,2017-04-10 00:00:00.000,489,2
20160906,2016-09-06 00:00:00.000,190,438
20160708,2016-07-08 00:00:00.000,74,875
20160413,2016-04-13 00:00:00.000,528,438
20160407,2016-04-07 00:00:00.000,511,438
20170112,2017-01-12 00:00:00.000,171,52
20150321,2015-03-21 00:00:00.000,436,438
20160104,2016-01-04 00:00:00.000,126,875
20160928,2016-09-28 00:00:00.000,340,87
20160421,2016-04-21 00:00:00.000,431,438
20170728,2017-07-28 00:00:00.000,592,89
20170325,2017-03-25 00:00:00.000,417,391
20150224,2015-02-24 00:00:00.000,222,4
20170504,2017-05-04 00:00:00.000,515,408
20150824,2015-08-24 00:00:00.000,262,393
20160629,2016-06-29 00:00:00.000,232,4
20160924,2016-09-24 00:00:00.000,440,438
20160507,2016-05-07 00:00:00.000,193,438
20160110,2016-01-10 00:00:00.000,151,875
20170417,2017-04-17 00:00:00.000,8,438
20151226,2015-12-26 00:00:00.000,106,875
20150112,2015-01-12 00:00:00.000,523,438
20161026,2016-10-26 00:00:00.000,91,875
20161220,2016-12-20 00:00:00.000,261,438
20160117,2016-01-17 00:00:00.000,268,438
20170903,2017-09-03 00:00:00.000,160,875
20151219,2015-12-19 00:00:00.000,334,83
20170810,2017-08-10 00:00:00.000,329,78
20170702,2017-07-02 00:00:00.000,463,4
20170725,2017-07-25 00:00:00.000,131,875
20151101,2015-11-01 00:00:00.000,27,875
20170416,2017-04-16 00:00:00.000,327,87
20151009,2015-10-09 00:00:00.000,42,875
20160503,2016-05-03 00:00:00.000,28,875
20150715,2015-07-15 00:00:00.000,94,875
20150924,2015-09-24 00:00:00.000,544,438
20160220,2016-02-20 00:00:00.000,419,451
20160620,2016-06-20 00:00:00.000,539,438
20151116,2015-11-16 00:00:00.000,118,875
20151026,2015-10-26 00:00:00.000,461,4
20170902,2017-09-02 00:00:00.000,110,875
20150517,2015-05-17 00:00:00.000,486,4
20170306,2017-03-06 00:00:00.000,419,378
20150520,2015-05-20 00:00:00.000,283,438
20170315,2017-03-15 00:00:00.000,314,88
20161225,2016-12-25 00:00:00.000,431,438
20160608,2016-06-08 00:00:00.000,222,4
20170207,2017-02-07 00:00:00.000,339,89
20150112,2015-01-12 00:00:00.000,467,4
20170609,2017-06-09 00:00:00.000,440,453
20150501,2015-05-01 00:00:00.000,263,438
20150805,2015-08-05 00:00:00.000,474,4
20160418,2016-04-18 00:00:00.000,211,438
20170110,2017-01-10 00:00:00.000,493,400
20161227,2016-12-27 00:00:00.000,309,438
20160219,2016-02-19 00:00:00.000,242,458
20170525,2017-05-25 00:00:00.000,390,79
20150531,2015-05-31 00:00:00.000,299,429
20160407,2016-04-07 00:00:00.000,431,438
20170325,2017-03-25 00:00:00.000,109,875
20160815,2016-08-15 00:00:00.000,553,438
20170602,2017-06-02 00:00:00.000,382,77
20170707,2017-07-07 00:00:00.000,432,438
20170907,2017-09-07 00:00:00.000,582,82
20160208,2016-02-08 00:00:00.000,604,88
20141229,2014-12-29 00:00:00.000,131,875
20170713,2017-07-13 00:00:00.000,324,82
20150419,2015-04-19 00:00:00.000,599,88
20150228,2015-02-28 00:00:00.000,147,875
20150607,2015-06-07 00:00:00.000,338,81
20150531,2015-05-31 00:00:00.000,164,875
20150423,2015-04-23 00:00:00.000,67,875
20170329,2017-03-29 00:00:00.000,386,95
20160910,2016-09-10 00:00:00.000,586,88
20161220,2016-12-20 00:00:00.000,192,438
20150812,2015-08-12 00:00:00.000,196,438
20150430,2015-04-30 00:00:00.000,561,88
20150423,2015-04-23 00:00:00.000,245,438
20151228,2015-12-28 00:00:00.000,177,875
20160113,2016-01-13 00:00:00.000,325,86
20151105,2015-11-05 00:00:00.000,232,4
