Product,Product Description,Vendor (Preferred)|Calendar Month.Year,6.2021,7.2021,8.2021,Overall Result
"08999801","SMEG CARBON FILTER","SMEG AUSTRALIA PTY LTD",1,1,1,1
"08999801","SMEG CHARCOAL FILTERS PK 2","SMEG AUSTRALIA PTY LTD",1,1,1,1
"08999824","SMEG CHARCOAL FILTERS SET OF 2","SMEG AUSTRALIA PTY LTD",1,1,1,1
"112.0067.944","SMEG CHARCOAL FILTER STH900X","SMEG AUSTRALIA PTY LTD",1,1,1,1
"38508/510","SMEG BAKING DISH","SMEG AUSTRALIA PTY LTD",1,1,1,1
"38508/510B","SMEG BAKING DISH","SMEG AUSTRALIA PTY LTD",1,1,1,1
"698130119","SMEG Rotesserie kit for CS9GMXHA","SMEG AUSTRALIA PTY LTD",1,1,1,1
"844092165","SMEG WIRE RACKS CS9GMXHA 90CM FRESTANDER","SMEG AUSTRALIA PTY LTD",1,1,1,1
"902979877","SMEG FILTER","SMEG AUSTRALIA PTY LTD",1,1,1,1
"A1PYID-9","SMEG 90CM INDUCTION PYRO OVEN","SMEG AUSTRALIA PTY LTD",1,1,1,1
"A2.0137","SMEG CHARCOAL FILTER","SMEG AUSTRALIA PTY LTD",1,1,1,1
"AIRKITDIAM","SMEG AIR OUTLET 2-1 HOOD","SMEG AUSTRALIA PTY LTD",1,1,1,1
"AIRKITDIAM","SMEG AIR OUTLET CONVERSION","SMEG AUSTRALIA PTY LTD",1,1,1,1
"BD0060014","SMEG CHARCOAL FILTER","SMEG AUSTRALIA PTY LTD",1,1,1,1
"C90GMXHA","SMEG 90CM FREESTANDING COOKER DNX","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CIR93AXS","SMEG GAS COOKTOP","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CIR93AXS3","SMEG GAS COOKTOP","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CIR93AXS3","SMEG GAS COOKTOP","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CMS4101N","SMEG 45CM LINEA BUILT-IN COFFEE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CMS4604NR","SMEG COF MAKER DSN B/I MILK CAR COP TRIM","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CP615NR","SMEG DSN 15CM STORAGE DRAWER COPPER","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CP615NX","SMEG STORAGE DRAWER S/S TRIM","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CP9GPWHA","SMEG 90CM PORTOFINO M/F PYRO COOKER WHT","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPF90BLA","SMEG 90CM PYRO F/STANDING OVEN","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPF9GPANA","PORTOFINO 90CM A/CITE GAS UPRIGHT COOKER","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPF9GPANA","PORTOFINO 90CM COOKER a/cite","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPF9GPANA","PORTOFINO 90CM COOKER ANTHRACITE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPF9GPANA","PORTOFINO 90CM COOKER ANTHRACITE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPF9GPANA","PORTOFINO 90CM COOKER ANTHRACITE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPF9GPANA","SMEG 90CM PORTFINO IN ANTHRACETE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPF9GPANA","SMEG PORTOFINO 90CM COOKER A/CITE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPF9GPANA","SMEG PORTOFINO 90CM GAS PYRO ANTHRACITE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPF9GPBLA","PORTOFINO 90CM COOKER BLACK","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPF9GPBLA","PORTOFINO 90CM COOKER BLACK","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPF9GPBLA","SMEG 90CM BLACK PORTAFINO COOKER","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPF9GPBLK","PORTOFINO 90CM COOKER BLACK","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPF9GPOGA","SMEG 90CM UPRIGHT COOKER PORTOFINO O/G","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPF9GPOGA","SMEG PORTOFINO 90CM U/R GAS COOKER","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPF9GPOR","PORTOFINO 90CM COOKER ORANGE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPF9GPORA","SMEG PORTIFINO U/R GAS COOKER ORANGE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPF9GPRA","SMEG 90CM PORTTFINO RED RANGE GAS","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPF9GPRA","SMEG PORTAFINO UPRIGHT3","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPF9GPSIL","PORTOFINO 90CM COOKER S/STEEL","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPF9IOR","SMEG 90CM PORTOFINO IND PYRO COOKER ORG","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPF9IPAN","SMEG PORTOFINO90CM INDUC COOKER ANTHRACI","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPF9IPBL","PORTOFINO 90CM COOKER BLACK","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPF9IPR","PORTOFINO 90CM COOKER RED","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPF9IPR","SMEG PORTOFINO INDUCTION PYRO COOKER","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPF9IPYW","PORTOFINO 90CM COOKER YELLOW","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPF9PORA","SMEG PORTOFINO 90CM U/R GAS COOKER ORANG","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPR112S","15CM WARMING DRAWER - SILVER","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPR115B","15CM WARMING DRAWER - WHITE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPR115N","15CM WARMING DRAWER - BLACK","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPR115S","SMEG LINEA 15CM WARMING DRAWER SILV","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPR615NR-","SMEG 15CM WARMING DRAWER WITH COPPER","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPRA115B","SMEG 15cm WARMING DRAW linea white","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPRA115B","SMEG 60CM Linea Warming Drawer White","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPRA115B","SMEG DSN 15CM WARMING LINEA/WHITE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPRA115B","SMEG LINEA 15CM WARMING DRAWER BLK","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPRA115B","SMEG LINEA 15CM WARMING DRAWER WHITE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPRA115B","SMEG LINEA 15CM WARMING DRAWER WHT","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPRA115B","SMEG SMALLER WARMING DRAW","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPRA115N","SMEG 15cm WARMING DRAW linea black","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPRA115N","SMEG 60CM Linea Warming Drawer","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPRA115N","SMEG SMALLER WARMING DRAW","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPRA115S","SMEG 15cm WARMING DRAW linea silver","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPRA115S","SMEG 15CM WARMING DRAWER","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPRA115S","SMEG DSN 15CM WARMING LINEA/SILVER","SMEG AUSTRALIA PTY LTD",1,1,1,1
