TXN,Sales Organisation,Distribution Channel,Valid To,Valid From,ABC Indicator,Article,Vendor Article No,Legacy Product Code(POS),Article Description,Basic Text,Merchandise Category,Mdse Catgry Desc,Product Hierarchy,Company,Department,Group,Category,Class,Vendor,Vendor Name,Holdings Brand,Brand Description,Holdings Style,Invoice Cost exclusive tax,Invoice Cost inclusive GST,Inv Curr,Internal Rebate %,Floor Cost exclusive GST,Floor Cost Inclusive,Floor Curr,Sellprice exclusive tax,Sellprice inclusive GST,Sell Curr,Gross Profit %,Manufacturer Waranty,DC Article Status,DC Art Status Description,Global Trade Item Number,Re-order Quantity,Assortment grade,Product Care Eligibility Flag,Price Band Category
"NN","Harvey Norman AU","Retail",9999-12-31 00:00:00.000,2013-11-29 00:00:00.000,"Z",10072141,"CR_12MF_061","CR_12MF_061","FINANCE COST RECOVERY DPT 061","",90010501,"FINANCE COST RECOVER","01061SRVRECFIN","01 - HARVEY NORMAN","061 - APPLIANCES","SRV - SERVICE","REC - RECOVERY","FIN - FINANCE COST RECOVER",603754,"DERNI POS MISC PRODUCTS ONLY","HARVEY","HARVEY NORMAN","INVADJ",0,0,"AUD",0,0,0,"AUD",0,0,"AUD",0,,"","",,1,1,"",2
"NN","Harvey Norman AU","Retail",9999-12-31 00:00:00.000,2013-11-29 00:00:00.000,"Z",10072142,"CR_18MF_061","CR_18MF_061","FINANCE COST RECOVERY DPT 061","",90010501,"FINANCE COST RECOVER","01061SRVRECFIN","01 - HARVEY NORMAN","061 - APPLIANCES","SRV - SERVICE","REC - RECOVERY","FIN - FINANCE COST RECOVER",603754,"DERNI POS MISC PRODUCTS ONLY","HARVEY","HARVEY NORMAN","INVADJ",0,0,"AUD",0,0,0,"AUD",0,0,"AUD",0,,"","",,1,1,"",2
"NN","Harvey Norman AU","Retail",9999-12-31 00:00:00.000,2013-11-29 00:00:00.000,"Z",10072143,"CR_24MF_061","CR_24MF_061","FINANCE COST RECOVERY DPT 061","",90010501,"FINANCE COST RECOVER","01061SRVRECFIN","01 - HARVEY NORMAN","061 - APPLIANCES","SRV - SERVICE","REC - RECOVERY","FIN - FINANCE COST RECOVER",603754,"DERNI POS MISC PRODUCTS ONLY","HARVEY","HARVEY NORMAN","INVADJ",0,0,"AUD",0,0,0,"AUD",0,0,"AUD",0,,"","",,1,1,"",2
"NN","Harvey Norman AU","Retail",9999-12-31 00:00:00.000,2013-11-29 00:00:00.000,"Z",10072144,"CR_6MF_061","CR_6MF_061","FINANCE COST RECOVERY DPT 061","",90010501,"FINANCE COST RECOVER","01061SRVRECFIN","01 - HARVEY NORMAN","061 - APPLIANCES","SRV - SERVICE","REC - RECOVERY","FIN - FINANCE COST RECOVER",603754,"DERNI POS MISC PRODUCTS ONLY","HARVEY","HARVEY NORMAN","INVADJ",0,0,"AUD",0,0,0,"AUD",0,0,"AUD",0,,"","",,1,1,"",2
"NN","Harvey Norman AU","Retail",9999-12-31 00:00:00.000,2013-11-29 00:00:00.000,"Z",10072146,"CR_AG06_061","CR_AG06_061","FINANCE COST RECOVERY DPT 061","",90010501,"FINANCE COST RECOVER","01061SRVRECFIN","01 - HARVEY NORMAN","061 - APPLIANCES","SRV - SERVICE","REC - RECOVERY","FIN - FINANCE COST RECOVER",603754,"DERNI POS MISC PRODUCTS ONLY","HARVEY","HARVEY NORMAN","INVADJ",0,0,"AUD",0,0,0,"AUD",0,0,"AUD",0,,"","",,1,1,"",2
"NN","Harvey Norman AU","Retail",9999-12-31 00:00:00.000,2013-11-29 00:00:00.000,"Z",10072147,"CR_AG18_061","CR_AG18_061","FINANCE COST RECOVERY DPT 061","",90010501,"FINANCE COST RECOVER","01061SRVRECFIN","01 - HARVEY NORMAN","061 - APPLIANCES","SRV - SERVICE","REC - RECOVERY","FIN - FINANCE COST RECOVER",603754,"DERNI POS MISC PRODUCTS ONLY","HARVEY","HARVEY NORMAN","INVADJ",0,0,"AUD",0,0,0,"AUD",0,0,"AUD",0,,"","",,1,1,"",2
"NN","Harvey Norman AU","Retail",9999-12-31 00:00:00.000,2013-11-29 00:00:00.000,"Z",10072148,"CR_AG12_061","CR_AG12_061","FINANCE COST RECOVERY DPT 061","",90010501,"FINANCE COST RECOVER","01061SRVRECFIN","01 - HARVEY NORMAN","061 - APPLIANCES","SRV - SERVICE","REC - RECOVERY","FIN - FINANCE COST RECOVER",603754,"DERNI POS MISC PRODUCTS ONLY","HARVEY","HARVEY NORMAN","INVADJ",0,0,"AUD",0,0,0,"AUD",0,0,"AUD",0,,"","",,1,1,"",2
"NN","Harvey Norman AU","Retail",9999-12-31 00:00:00.000,2013-11-29 00:00:00.000,"Z",10072149,"CR_AG24_061","CR_AG24_061","FINANCE COST RECOVERY DPT 061","",90010501,"FINANCE COST RECOVER","01061SRVRECFIN","01 - HARVEY NORMAN","061 - APPLIANCES","SRV - SERVICE","REC - RECOVERY","FIN - FINANCE COST RECOVER",603754,"DERNI POS MISC PRODUCTS ONLY","HARVEY","HARVEY NORMAN","INVADJ",0,0,"AUD",0,0,0,"AUD",0,0,"AUD",0,,"","",,1,1,"",2
"NN","Harvey Norman AU","Retail",9999-12-31 00:00:00.000,2013-11-29 00:00:00.000,"Z",10072150,"CR_AGC_061","CR_AGC_061","FINANCE COST RECOVERY DPT 061","",90010501,"FINANCE COST RECOVER","01061SRVRECFIN","01 - HARVEY NORMAN","061 - APPLIANCES","SRV - SERVICE","REC - RECOVERY","FIN - FINANCE COST RECOVER",603754,"DERNI POS MISC PRODUCTS ONLY","HARVEY","HARVEY NORMAN","INVADJ",0,0,"AUD",0,0,0,"AUD",0,0,"AUD",0,,"","",,1,1,"",2
"NN","Harvey Norman AU","Retail",9999-12-31 00:00:00.000,2013-11-29 00:00:00.000,"Z",10072263,"CR_G04D_061","CR_G04D_061","FINANCE COST RECOVERY DPT 061","",90010501,"FINANCE COST RECOVER","01061SRVRECFIN","01 - HARVEY NORMAN","061 - APPLIANCES","SRV - SERVICE","REC - RECOVERY","FIN - FINANCE COST RECOVER",603754,"DERNI POS MISC PRODUCTS ONLY","HARVEY","HARVEY NORMAN","INVADJ",0,0,"AUD",0,0,0,"AUD",0,0,"AUD",0,,"","",,1,1,"",2
