" article_number"," item_code",description,Group,Category,Class,Class Key,ABC_Indicator,Brand,Supply Chain Ind,classifiction,replenishment_cycle,location," supplier_code"," supplier",stock_on_hand,customer_orders,allocated_stock,available_stock,on_order,purchase_cost,orders_Sep 21,orders_Oct 21,orders_Nov 21,orders_Dec 21,orders_Jan 22,orders_Feb 22,orders_Mar 22,orders_Apr 22,orders_May 22,orders_Jun 22,orders_Jul 22,orders_Aug 22
"11532181","00860","BRITEX GROUT & TILE REFILL BRUSH INSERT","FLOORCARE","ACCESSORIES","FLOOR TOOLS","061VACACC050","S","BRITEX","Unknown","Non-stocked",0,"RETAIL",300601,"BRITEX CARPET CARE PTY LTD",26,0,0,26,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0
"11203586","1024257610","SODASTREAM ZERO CBERRY RBERRY 440ML","SMALL APPLIANCES","WATER & BEVERAGES","ACCESSORIES","061SMAWATACC","S","SODASTREAM","Unknown","Non-stocked",0,"RETAIL",604596,"SODASTREAM AUSTRALIA PTY LTD",46,0,0,46,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0
"11042477","20SMULTISLV","BRAUN SILVER BLS COMBI PACK","PERSONAL CARE","MENS GROOMING","MULTI GROOMING","061PERREM020","Z","BRAUN","Unknown","Non-stocked",0,"RETAIL",611539,"PROCTER & GAMBLE AUSTRALIA PTY LTD",6,0,0,6,0,15.91,0,0,0,0,0,0,0,0,0,0,0,0
"10202885","25320020","FLAVORSTONE 24 CM GLASS LID","SMALL APPLIANCES","NON ELECTRIC COOKING","FRYPAN","061SMAPOT020","Z","FLAVORSTON","Unknown","Non-stocked",0,"RETAIL",624522,"DANOZ DIRECT PTY LTD",3,0,0,3,0,12.7,0,0,0,0,0,0,0,0,0,0,0,0
"10132253","309FTN","RINNAI E/SAVER 309FT NG HEA","HEATERS","GAS HEATERS","FLUED CONVECTOR GAS","061HEAGAS020","Z","RINNAI","Unknown","Non-stocked",0,"RETAIL",505507,"RINNAI AUSTRALIA PTY LTD",1,0,0,1,0,1675.1,0,0,0,0,0,0,0,0,0,0,0,0
"11703118","559FTSL","RINNAI E/SAVER 559FT 23MJ LP W","HEATERS","GAS HEATERS","FLUED CONVECTOR GAS","061HEAGAS020","Z","RINNAI","Unknown","Non-stocked",0,"RETAIL",505507,"RINNAI AUSTRALIA PTY LTD",1,0,0,1,0,2269.83,0,0,0,0,0,0,0,0,0,0,0,0
"11292760","5KFE35T","KITCHENAID ARTISAN MINI FLEX EDGE BEATER","SMALL APPLIANCES","FOOD PREPARATION","ACCESSORIES","061SMAMIX030","Z","KITCHENAID","Unknown","Non-stocked",0,"RETAIL",300257,"KITCHENAID AUSTRALIA PTY LTD",1,0,0,1,0,52.97,0,0,0,0,0,0,0,0,0,0,0,0
"11276990","5KZFP11A","KITCHENAID COOK PRO FOOD PROCESSOR ATT","SMALL APPLIANCES","FOOD PREPARATION","ACCESSORIES","061SMAMIX030","Z","KITCHENAID","Unknown","Non-stocked",0,"RETAIL",300257,"KITCHENAID AUSTRALIA PTY LTD",4,0,0,4,0,377.85,0,0,0,0,0,0,0,0,0,0,0,0
"11132825","605.57","FC95 REPLACEMENT BRUSH X 2 - SENSITIVE","PERSONAL CARE","WELL BEING","BEAUTY","061PERWELBEA","Z","BEURER","Unknown","Non-stocked",0,"RETAIL",611742,"FITZONE SOLUTIONS",27,0,0,27,0,29.05,0,0,0,0,0,0,0,0,0,0,0,0
"11602620","70045","RUG DOCTOR ALL-IN 1 CLEANER 1LT CHEMICAL","FLOORCARE","ACCESSORIES","CHEMICALS","061VACACC040","S","RUG DOCTOR","Unknown","Non-stocked",0,"RETAIL",300595,"CARPET MACHINE HIRE PTY LTD",16,0,0,16,0,18.48,0,0,0,0,0,0,0,0,0,0,0,0
"11203561","7029SKFF","SEBO 7029SKFF FELIX FUN SERVICE KIT","FLOORCARE","ACCESSORIES","FILTERS","061VACACC020","Z","SEBO","Unknown","Non-stocked",0,"RETAIL",300233,"SEBO AUSTRALIA PTY LIMITED",6,0,0,6,0,76.5,0,0,0,0,0,0,0,0,0,0,0,0
"11203562","7029SKFR","SEBO 7029SKFR FELIX ROSSO SERVICE KIT","FLOORCARE","ACCESSORIES","FILTERS","061VACACC020","Z","SEBO","Unknown","Non-stocked",0,"RETAIL",300233,"SEBO AUSTRALIA PTY LIMITED",9,0,0,9,0,76.5,0,0,0,0,0,0,0,0,0,0,0,0
"11309136","A6369444","TEFAL HARD ANODISED 32CM WOK + LID","SMALL APPLIANCES","NON ELECTRIC COOKING","WOK","061SMAPOT030","Z","TEFAL","Unknown","Non-stocked",0,"RETAIL",502976,"GROUPE SEB AUSTRALIA PTY LTD",4,0,0,4,0,36.34,0,0,0,0,0,0,0,0,0,0,0,0
"11684201","AC2311","SWISSCARE HAND SANITISER 1.5LT 75%","PERSONAL CARE","HEALTHCARE","HEALTHCARE","061PERHEA010","Z","SWISSCARE","Unknown","Non-stocked",0,"RETAIL",621279,"MNB VARIETY IMPORTS PTY LTD",16,0,0,16,0,24,0,0,0,0,0,0,0,0,0,0,0,0
"11684196","AC2496","SWISSCARE HAND SANITISER TUBE 100G","PERSONAL CARE","HEALTHCARE","HEALTHCARE","061PERHEA010","Z","SWISSCARE","Unknown","Non-stocked",0,"RETAIL",621279,"MNB VARIETY IMPORTS PTY LTD",186,0,0,186,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0
"11417530","AFV617BG","AIRFLO DREAM CLEAN 22.5V HANDSTICK","FLOORCARE","STICK VAC & HANDHELD","STICK VACUUM","061VACSTV010","Z","AIRFLO","Unknown","Non-stocked",0,"RETAIL",500343,"AIRFLO DISTRIBUTORS PTY LTD",7,0,0,7,0,110,0,0,0,0,0,0,0,0,0,0,0,0
"11434112","AQP-FCR-DAO","BREVILLE PREM REPL FILTER CARTRIDGE 1200","SMALL APPLIANCES","WATER & BEVERAGES","WATER PURIFIERS","061SMAWATWAT","Z","BREVILLE","Unknown","Non-stocked",0,"RETAIL",610873,"BREVILLE PTY LTD (OLD HWI A/C)",3,0,0,3,0,78.31,0,0,0,0,0,0,0,0,0,0,0,0
"11434109","AQP-PRVB-DC","BREVILLE 350KPA PRESSURE REDUCING VALVE","SMALL APPLIANCES","WATER & BEVERAGES","WATER PURIFIERS","061SMAWATWAT","Z","BREVILLE","Unknown","Non-stocked",0,"RETAIL",610873,"BREVILLE PTY LTD (OLD HWI A/C)",1,0,0,1,0,87.36,0,0,0,0,0,0,0,0,0,0,0,0
