well_id,well_legal_name,api_no,propertynumber,spud_date,welltype,padname,Basin,statecounty,event_code,DRLEVENT,DRLEVENT_START,DRLEVENT_END,rig_name,MOVEIN,RIGRELEASE,PICKUPBHA,SPUDEVENT,target_formation,WELL_DRLEVENT_STATUS,PADSTATUS,PADRELEASEDATE,EVENTCUMCOST
"1cuvQK6WHA","SARAH 27-3","4246139506","503303",2014-07-15 00:00:00.000,"VERTICAL","SARAH 27-3","MIDLAND","TEXAS - UPTON","DRL","",2014-07-15 00:00:00.000,2014-08-01 00:00:00.000,"LARIAT 15",2014-07-14 06:00:00.000,2014-08-01 06:00:00.000,,2014-07-14 06:00:00.000,"UNASSIGNED","","",,1160901
"452vi9MUFv","WELCH TRUST 13-2","4246139725","551302",2014-09-23 00:00:00.000,"VERTICAL","WELCH TRUST 13-2","MIDLAND","TEXAS - UPTON","DRL","",2014-09-24 00:00:00.000,2014-10-05 00:00:00.000,"LARIAT 16",2014-09-23 06:00:00.000,2014-10-05 06:00:00.000,,2014-09-23 06:00:00.000,"UNASSIGNED","","",,757217
"7PHum4H4r2","MILDRED 34-1","4246139230","509101",2014-02-11 00:00:00.000,"VERTICAL","MILDRED 34-1","MIDLAND","TEXAS - UPTON","DRL","",2014-02-09 00:00:00.000,2014-02-28 00:00:00.000,"PRECISION 305",2014-02-08 06:00:00.000,2014-02-28 06:00:00.000,,2014-02-08 06:00:00.000,"UNASSIGNED","","",,712741
"7XJv8uF1nY","QUAIL HOLLOW 174-1","4246139318","504701",2014-05-28 00:00:00.000,"VERTICAL","QUAIL HOLLOW 174-1","MIDLAND","TEXAS - UPTON","DRL","",2014-05-29 00:00:00.000,2014-06-24 00:00:00.000,"LARIAT 15",2014-05-28 06:00:00.000,2014-06-24 06:00:00.000,,2014-05-28 06:00:00.000,"UNASSIGNED","","",,1195956
"9PIguIfFT3","FRANKLIN 22B-2","4246139204","503102",2014-02-07 00:00:00.000,"VERTICAL","FRANKLIN 22B-2","MIDLAND","TEXAS - UPTON","DRL","",2014-02-08 00:00:00.000,2014-04-10 00:00:00.000,"LARIAT 15",2014-02-07 06:00:00.000,2014-04-10 06:00:00.000,,2014-02-07 06:00:00.000,"UNASSIGNED","","",,999776
"8qUn35olVT","DAVIDSON 12A-4","4246139545","504804",2014-12-10 00:00:00.000,"VERTICAL","DAVIDSON 12A-4","MIDLAND","TEXAS - UPTON","DRL","",2014-12-11 00:00:00.000,2014-12-21 00:00:00.000,"MATTLOCK 6",2014-12-10 06:00:00.000,2014-12-21 06:00:00.000,,2014-12-10 06:00:00.000,"UNASSIGNED","","",,888558
"CojdI8ui0e","JRS FARMS 30A-7","4246138706","557007",2013-10-10 00:00:00.000,"VERTICAL","JRS FARMS 30A-7","MIDLAND","TEXAS - UPTON","DRL","",2013-10-10 00:00:00.000,2013-10-23 00:00:00.000,"LARIAT 16",2013-10-09 06:00:00.000,2013-10-23 06:00:00.000,,2013-10-09 06:00:00.000,"UNASSIGNED","","",,739760
"AQGN5PJLTc","LOUIS-3124","4246139386","519324",2014-10-31 00:00:00.000,"VERTICAL","LOUIS-3124","MIDLAND","TEXAS - UPTON","DRL","",2014-10-31 00:00:00.000,2014-11-10 00:00:00.000,"MATTLOCK 4",2014-10-30 06:00:00.000,2014-11-10 06:00:00.000,,2014-10-30 06:00:00.000,"UNASSIGNED","","",,711863
"gMMZ1JNjTh","DAVIDSON 12A-3","4246139508","504803",2014-07-19 00:00:00.000,"VERTICAL","DAVIDSON 12A-3","MIDLAND","TEXAS - UPTON","DRL","",2014-07-20 00:00:00.000,2014-08-08 00:00:00.000,"PRECISION 305",2014-07-19 06:00:00.000,2014-08-08 06:00:00.000,,2014-07-19 06:00:00.000,"UNASSIGNED","","",,892258
"ImSk5JBhn4","RATLIFF 28-7","4246139146","584007",2014-06-28 00:00:00.000,"VERTICAL","RATLIFF 28-7","MIDLAND","TEXAS - UPTON","DRL","",2014-06-29 00:00:00.000,2014-07-10 00:00:00.000,"MATTLOCK 3",2014-06-28 06:00:00.000,2014-07-10 06:00:00.000,,2014-06-28 06:00:00.000,"UNASSIGNED","","",,868748
"LojCCKa5BJ","HALFF 2A-2","4246139317","507100-2",2014-03-20 00:00:00.000,"VERTICAL","HALFF 2A-2","MIDLAND","TEXAS - UPTON","DRL","",2014-03-21 00:00:00.000,2014-04-04 00:00:00.000,"UNKNOWN",2014-03-20 06:00:00.000,2014-03-22 06:00:00.000,,2014-03-20 06:00:00.000,"UNASSIGNED","","",,1142420
"OWIjt7u1tW","ELAINE 48-2","4246139435","501102",2014-05-06 00:00:00.000,"VERTICAL","ELAINE 48-2","MIDLAND","TEXAS - UPTON","DRL","",2014-05-07 00:00:00.000,2014-05-20 00:00:00.000,"MATTLOCK 4",2014-05-06 06:00:00.000,2014-05-20 06:00:00.000,,2014-05-06 06:00:00.000,"UNASSIGNED","","",,814617
"qmFDmZVMjM","MARY 18-7","4246139334","511007",2014-04-29 00:00:00.000,"VERTICAL","MARY 18-7","MIDLAND","TEXAS - UPTON","DRL","",2014-04-30 00:00:00.000,2014-05-13 00:00:00.000,"MATTLOCK 3",2014-04-29 06:00:00.000,2014-05-13 06:00:00.000,,2014-04-29 06:00:00.000,"UNASSIGNED","","",,927289
"v1E2S7D6F5","JRS FARMS 18A-11","4246138929","559011",2013-08-31 00:00:00.000,"VERTICAL","JRS FARMS 18A-11","MIDLAND","TEXAS - UPTON","DRL","",2013-08-31 00:00:00.000,2013-09-13 00:00:00.000,"MATTLOCK",2013-09-04 06:00:00.000,2013-09-10 06:00:00.000,,2013-09-04 06:00:00.000,"UNASSIGNED","","",,748021
"1ktkMdkBdI","HALL 11-6","4246139426","503506",2014-07-15 00:00:00.000,"VERTICAL","HALL 11-6","MIDLAND","TEXAS - UPTON","DRL","",2014-07-15 00:00:00.000,2014-07-26 00:00:00.000,"MATTLOCK 5",2014-07-14 06:00:00.000,2014-07-26 06:00:00.000,,2014-07-14 06:00:00.000,"UNASSIGNED","","",,764205
"19VyeoZGX8","MARY 18-4","4246139192","511004",2014-03-28 00:00:00.000,"VERTICAL","MARY 18-4","MIDLAND","TEXAS - UPTON","DRL","",2014-03-29 00:00:00.000,2014-04-11 00:00:00.000,"MATTLOCK 3",2014-03-28 06:00:00.000,2014-04-11 06:00:00.000,,2014-03-28 06:00:00.000,"UNASSIGNED","","",,906804
"1cuvQK6WHA","SARAH 27-3","4246139506","503303",2014-07-15 00:00:00.000,"VERTICAL","SARAH 27-3","MIDLAND","TEXAS - UPTON","DRL","",2014-07-15 00:00:00.000,2014-08-01 00:00:00.000,"UNKNOWN",2014-07-28 06:00:00.000,2014-07-31 06:00:00.000,,2014-07-28 06:00:00.000,"UNASSIGNED","","",,1160901
"4AUImPI8pb","MILDRED 34-2","4246139238","509102",2014-04-05 00:00:00.000,"VERTICAL","MILDRED 34-2","MIDLAND","TEXAS - UPTON","DRL","",2014-04-05 00:00:00.000,2014-04-18 00:00:00.000,"PRECISION 305",2014-04-04 06:00:00.000,2014-04-18 06:00:00.000,,2014-04-04 06:00:00.000,"UNASSIGNED","","",,809791
"4SX1rxJEOS","JRS FARMS 22-7","4246137746","206007",2013-10-19 00:00:00.000,"VERTICAL","JRS FARMS 22-7","MIDLAND","TEXAS - UPTON","DRL","",2013-10-20 00:00:00.000,2013-11-03 00:00:00.000,"MATTLOCK 5",2013-10-19 06:00:00.000,2013-11-03 06:00:00.000,,2013-10-19 06:00:00.000,"UNASSIGNED","","",,799613
"5BNT3V9vkM","RATLIFF 28-4","4246139144","584004",2014-01-13 00:00:00.000,"VERTICAL","RATLIFF 28-4","MIDLAND","TEXAS - UPTON","DRL","",2014-01-14 00:00:00.000,2014-01-28 00:00:00.000,"UNKNOWN",2014-01-18 06:00:00.000,2014-01-28 06:00:00.000,,2014-01-18 06:00:00.000,"UNASSIGNED","","",,947368
"5cQhEepwXn","ATKINS 10A-3","4246139293","4211500003",2014-03-11 00:00:00.000,"VERTICAL","ATKINS 10A-3","MIDLAND","TEXAS - UPTON","DRL","",2014-03-12 00:00:00.000,2014-03-24 00:00:00.000,"UNKNOWN",2014-03-12 06:00:00.000,2014-03-13 06:00:00.000,,2014-03-12 06:00:00.000,"UNASSIGNED","","",,664909
"AJlECbUV84","ELAINE 6-2","4246139469","501702",2014-07-08 00:00:00.000,"VERTICAL","ELAINE 6-2","MIDLAND","TEXAS - UPTON","DRL","",2014-07-09 00:00:00.000,2014-07-21 00:00:00.000,"MATTLOCK 4",2014-07-08 06:00:00.000,2014-07-21 06:00:00.000,,2014-07-08 06:00:00.000,"UNASSIGNED","","",,812701
"Bgtwad9Cz6","DAVIDSON 12A-1","4246139291","504801",2014-06-01 00:00:00.000,"VERTICAL","DAVIDSON 12A-1","MIDLAND","TEXAS - UPTON","DRL","",2014-06-02 00:00:00.000,2014-06-16 00:00:00.000,"UNKNOWN",2014-06-13 06:00:00.000,2014-06-14 06:00:00.000,,2014-06-13 06:00:00.000,"UNASSIGNED","","",,679229
"bTPW3rSdnf","JRS FARMS 24A-7","4246138913","558007",2013-08-14 00:00:00.000,"VERTICAL","JRS FARMS 24A-7","MIDLAND","TEXAS - UPTON","DRL","",2013-08-15 00:00:00.000,2013-08-30 00:00:00.000,"MATTLOCK 5",2013-08-14 06:00:00.000,2013-08-30 06:00:00.000,,2013-08-14 06:00:00.000,"UNASSIGNED","","",,849723
"Bgtwad9Cz6","DAVIDSON 12A-1","4246139291","504801",2014-06-01 00:00:00.000,"VERTICAL","DAVIDSON 12A-1","MIDLAND","TEXAS - UPTON","DRL","",2014-06-02 00:00:00.000,2014-06-16 00:00:00.000,"PRECISION 305",2014-06-01 06:00:00.000,2014-06-16 06:00:00.000,,2014-06-01 06:00:00.000,"UNASSIGNED","","",,679229
"bkCMZZeBH7","ZAIN 26-4","4246138826","585004",2013-12-03 00:00:00.000,"VERTICAL","ZAIN 26-4","MIDLAND","TEXAS - UPTON","DRL","",2013-12-03 00:00:00.000,2014-01-13 00:00:00.000,"LARIAT 16",2013-12-02 06:00:00.000,2014-01-13 06:00:00.000,,2013-12-02 06:00:00.000,"UNASSIGNED","","",,1756226
"c0y4M8aJ3Q","ELAINE 37-1","4246139108","502401",2014-02-15 00:00:00.000,"VERTICAL","ELAINE 37-1","MIDLAND","TEXAS - UPTON","DRL","",2014-02-15 00:00:00.000,2014-03-02 00:00:00.000,"MATTLOCK",2014-02-25 06:00:00.000,2014-03-02 06:00:00.000,,2014-02-25 06:00:00.000,"UNASSIGNED","","",,851220
"Duo6nJm5A7","WELCH TRUST 8-1","4246139352","550801",2014-09-04 00:00:00.000,"VERTICAL","WELCH TRUST 8-1","MIDLAND","TEXAS - UPTON","DRL","",2014-09-05 00:00:00.000,2014-09-16 00:00:00.000,"MATTLOCK 5",2014-09-04 06:00:00.000,2014-09-16 06:00:00.000,,2014-09-04 06:00:00.000,"UNASSIGNED","","",,908223
"ED93WxS1Vg","RATLIFF 28-8","4246139147","584008",2014-09-28 00:00:00.000,"VERTICAL","RATLIFF 28-8","MIDLAND","TEXAS - UPTON","DRL","",2014-09-29 00:00:00.000,2014-10-17 00:00:00.000,"LARIAT 15",2014-09-28 06:00:00.000,2014-10-17 06:00:00.000,,2014-09-28 06:00:00.000,"UNASSIGNED","","",,608170
"GUgMgI0hFu","ATKINS 14-3","4246139698","4211210003",2014-11-08 00:00:00.000,"VERTICAL","ATKINS 14-3","MIDLAND","TEXAS - UPTON","DRL","",2014-11-09 00:00:00.000,2014-12-20 00:00:00.000,"UNKNOWN",2014-11-24 06:00:00.000,2014-11-27 06:00:00.000,,2014-11-24 06:00:00.000,"UNASSIGNED","","",,2342178
"HE5RV8lEvg","ELAINE 10-2","4246139254","523002",2014-03-04 00:00:00.000,"VERTICAL","ELAINE 10-2","MIDLAND","TEXAS - UPTON","DRL","",2014-03-04 00:00:00.000,2014-03-19 00:00:00.000,"MATTLOCK 4",2014-03-03 06:00:00.000,2014-03-19 06:00:00.000,,2014-03-03 06:00:00.000,"UNASSIGNED","","",,762276
"hob9bp0AST","JRS FARMS 18A-13","4246138930","559013",2013-10-02 00:00:00.000,"VERTICAL","JRS FARMS 18A-13","MIDLAND","TEXAS - UPTON","DRL","",2013-10-02 00:00:00.000,2013-10-17 00:00:00.000,"MATTLOCK 5",2013-10-08 06:00:00.000,2013-10-17 06:00:00.000,,2013-10-08 06:00:00.000,"UNASSIGNED","","",,812261
"Hvb0aVqxtc","ZAIN 26-8","4246139129","585008",2014-09-03 00:00:00.000,"VERTICAL","ZAIN 26-8","MIDLAND","TEXAS - UPTON","DRL","",2014-09-03 00:00:00.000,2014-09-19 00:00:00.000,"MATTLOCK 3",2014-09-02 06:00:00.000,2014-09-19 06:00:00.000,,2014-09-02 06:00:00.000,"UNASSIGNED","","",,1103607
"I8l1219UGf","ATKINS 10A-6","4246139696","4211500006",2014-11-01 00:00:00.000,"VERTICAL","ATKINS 10A-6","MIDLAND","TEXAS - UPTON","DRL","",2014-11-02 00:00:00.000,2014-11-17 00:00:00.000,"LARIAT 15",2014-11-01 06:00:00.000,2014-11-17 06:00:00.000,,2014-11-01 06:00:00.000,"UNASSIGNED","","",,693492
"l8qXQuqvnz","SKAGGS 8-9","4246139633","4211480009",2014-08-15 00:00:00.000,"VERTICAL","SKAGGS 8-9","MIDLAND","TEXAS - UPTON","DRL","",2014-08-15 00:00:00.000,2014-09-25 00:00:00.000,"LARIAT 15",2014-08-14 06:00:00.000,2014-09-25 06:00:00.000,,2014-08-14 06:00:00.000,"UNASSIGNED","","",,1557473
"lABCc21ixz","SARAH 27-1","4246139207","503301",2014-03-17 00:00:00.000,"VERTICAL","SARAH 27-1","MIDLAND","TEXAS - UPTON","DRL","",2014-03-18 00:00:00.000,2014-03-29 00:00:00.000,"LARIAT 16",2014-03-17 06:00:00.000,2014-03-29 06:00:00.000,,2014-03-17 06:00:00.000,"UNASSIGNED","","",,796980
"mVzE1JG7PZ","MARY 18-5","4246139215","511005",2014-02-06 00:00:00.000,"VERTICAL","MARY 18-5","MIDLAND","TEXAS - UPTON","DRL","",2014-02-06 00:00:00.000,2014-02-21 00:00:00.000,"MATTLOCK 3",2014-02-05 06:00:00.000,2014-02-21 06:00:00.000,,2014-02-05 06:00:00.000,"UNASSIGNED","","",,930354
