PPI name,Date,Target PPI values,Fact PPI values
"PS/FN3/KL/11/PPR01",2020-08-31 00:00:00.000,1,0.75
"PS/FN3/KL/9/PPR01",2020-08-31 00:00:00.000,1,0.57
"PS/FN3/KL/8/PPR01",2020-08-31 00:00:00.000,1,0.97
"PS/FN3/KL/11/PPR01",2020-07-31 00:00:00.000,1,0.75
"PS/FN3/KL/9/PPR01",2020-07-31 00:00:00.000,1,0.43
"PS/FN3/KL/8/PPR01",2020-07-31 00:00:00.000,1,1
"PS/FN1/KL/11/PPR01",2020-07-31 00:00:00.000,0.85,0.9
"PS/FN2/DL/5/PPR01",2020-07-31 00:00:00.000,0,0
"PS/FN1/KL/8/PPR01",2020-07-31 00:00:00.000,,183
"PS/FN3/KL/7/PPR03",2020-06-30 00:00:00.000,1,1
"PS/FN3/KL/7/PPR02",2020-06-30 00:00:00.000,0.99,0.98
"PS/FN3/KL/7/PPR01",2020-06-30 00:00:00.000,0.6,0.5
"PS/FN3/KL/11/PPR01",2020-06-30 00:00:00.000,1,0.3846
"PS/FN3/KL/9/PPR01",2020-06-30 00:00:00.000,1,0.44
"PS/FN3/KL/8/PPR01",2020-06-30 00:00:00.000,1,1
"PS/FN1/KL/11/PPR01",2020-06-30 00:00:00.000,0.85,0.92
"PS/FN4/KL/1/PPR01",2020-06-30 00:00:00.000,1,1
"PS/FN2/DL/5/PPR01",2020-06-30 00:00:00.000,0,0
"PS/FN1/KL/8/PPR01",2020-06-30 00:00:00.000,,139
"PS/FN3/KL/11/PPR01",2020-05-31 00:00:00.000,1,0.6
"PS/FN3/KL/9/PPR01",2020-05-31 00:00:00.000,1,0.34
