SalesOrderNumber,OrderDate,ProductKey,variable,value
SO51729,2019-08-07 00:00:00.000,482,ResellerKey,391.0
SO69532,2020-05-27 00:00:00.000,515,ResellerKey,312.0
SO55259,2019-10-08 00:00:00.000,561,ResellerKey,691.0
SO51751,2019-08-13 00:00:00.000,225,ResellerKey,687.0
SO69521,2020-05-23 00:00:00.000,497,ResellerKey,693.0
SO63164,2020-02-09 00:00:00.000,576,ResellerKey,159.0
SO69479,2020-05-15 00:00:00.000,488,ResellerKey,552.0
SO61210,2020-01-14 00:00:00.000,484,ResellerKey,523.0
SO63279,2020-02-26 00:00:00.000,583,ResellerKey,666.0
SO46101,2018-05-30 00:00:00.000,264,ResellerKey,403.0
SO51818,2019-08-22 00:00:00.000,597,ResellerKey,100.0
SO58932,2019-12-04 00:00:00.000,471,ResellerKey,408.0
SO46626,2018-07-09 00:00:00.000,221,ResellerKey,355.0
SO43912,2017-08-29 00:00:00.000,324,ResellerKey,403.0
SO48359,2018-12-22 00:00:00.000,464,ResellerKey,90.0
SO65247,2020-03-19 00:00:00.000,576,ResellerKey,640.0
SO59073,2019-12-31 00:00:00.000,547,ResellerKey,171.0
SO53524,2019-09-14 00:00:00.000,576,ResellerKey,611.0
SO53527,2019-09-14 00:00:00.000,359,ResellerKey,10.0
SO53488,2019-09-08 00:00:00.000,473,ResellerKey,30.0
SO48034,2018-11-16 00:00:00.000,422,ResellerKey,540.0
SO46344,2018-06-10 00:00:00.000,314,ResellerKey,418.0
SO51751,2019-08-13 00:00:00.000,552,ResellerKey,687.0
SO65268,2020-03-22 00:00:00.000,560,ResellerKey,55.0
SO69450,2020-05-11 00:00:00.000,584,ResellerKey,684.0
SO44549,2017-11-22 00:00:00.000,347,ResellerKey,422.0
SO51164,2019-07-29 00:00:00.000,544,ResellerKey,325.0
SO48347,2018-12-19 00:00:00.000,354,ResellerKey,254.0
SO51126,2019-07-15 00:00:00.000,572,ResellerKey,205.0
SO63170,2020-02-10 00:00:00.000,592,ResellerKey,376.0
SO49893,2019-04-30 00:00:00.000,373,ResellerKey,523.0
SO49844,2019-04-11 00:00:00.000,466,ResellerKey,290.0
SO47001,2018-08-18 00:00:00.000,257,ResellerKey,684.0
SO48056,2018-11-20 00:00:00.000,439,ResellerKey,257.0
SO53460,2019-09-02 00:00:00.000,408,ResellerKey,24.0
SO47395,2018-09-13 00:00:00.000,263,ResellerKey,72.0
SO44514,2017-11-09 00:00:00.000,300,ResellerKey,650.0
SO61175,2020-01-01 00:00:00.000,570,ResellerKey,34.0
SO57035,2019-11-05 00:00:00.000,482,ResellerKey,77.0
SO46992,2018-08-16 00:00:00.000,321,ResellerKey,97.0
SO55253,2019-10-06 00:00:00.000,597,ResellerKey,530.0
SO65310,2020-03-28 00:00:00.000,583,ResellerKey,3.0
