SalesOrderNumber,OrderDate,ProductKey,ResellerKey,EmployeeKey,SalesTerritoryKey,Quantity,Unit Price,Sales,Cost
"SO43897",2017-08-25 00:00:00.000,235,312,282,4,2,28.84,57.68,63.45
"SO43897",2017-08-25 00:00:00.000,351,312,282,4,2,2024.99,4049.98,3796.19
"SO43897",2017-08-25 00:00:00.000,348,312,282,4,2,2024.99,4049.98,3796.19
"SO43897",2017-08-25 00:00:00.000,232,312,282,4,2,28.84,57.68,63.45
"SO44544",2017-11-18 00:00:00.000,292,312,282,4,2,818.7,1637.4,1413.62
"SO44544",2017-11-18 00:00:00.000,220,312,282,4,2,20.19,40.38,24.06
"SO44544",2017-11-18 00:00:00.000,351,312,282,4,2,2024.99,4049.98,3796.19
"SO44544",2017-11-18 00:00:00.000,349,312,282,4,2,2024.99,4049.98,3796.19
"SO44544",2017-11-18 00:00:00.000,344,312,282,4,2,2039.99,4079.98,3824.31
"SO45321",2018-02-18 00:00:00.000,346,312,282,4,2,2039.99,4079.98,3824.31
"SO45321",2018-02-18 00:00:00.000,347,312,282,4,2,2039.99,4079.98,3824.31
"SO46082",2018-05-23 00:00:00.000,220,312,282,4,2,20.19,40.38,24.06
"SO46082",2018-05-23 00:00:00.000,346,312,282,4,2,2039.99,4079.98,3824.31
"SO46082",2018-05-23 00:00:00.000,345,312,282,4,2,2039.99,4079.98,3824.31
"SO46082",2018-05-23 00:00:00.000,232,312,282,4,2,28.84,57.68,63.45
"SO46082",2018-05-23 00:00:00.000,344,312,282,4,2,2039.99,4079.98,3824.31
"SO46082",2018-05-23 00:00:00.000,348,312,282,4,2,2024.99,4049.98,3796.19
"SO46082",2018-05-23 00:00:00.000,212,312,282,4,2,20.19,40.38,24.06
"SO47028",2018-08-24 00:00:00.000,410,312,282,4,2,36.45,72.9,53.94
"SO47028",2018-08-24 00:00:00.000,464,312,282,4,2,14.13,28.26,19.43
"SO47028",2018-08-24 00:00:00.000,412,312,282,4,2,180.13,360.26,266.59
"SO47028",2018-08-24 00:00:00.000,420,312,282,4,2,141.62,283.24,209.59
"SO47028",2018-08-24 00:00:00.000,468,312,282,4,2,22.79,45.58,31.34
"SO47028",2018-08-24 00:00:00.000,360,312,282,4,2,1229.46,2458.92,2211.62
"SO47028",2018-08-24 00:00:00.000,409,312,282,4,2,209.26,418.52,371.64
"SO47028",2018-08-24 00:00:00.000,308,312,282,4,2,744.27,1488.54,1321.83
"SO47028",2018-08-24 00:00:00.000,428,312,282,4,2,209.26,418.52,371.64
"SO48049",2018-11-19 00:00:00.000,401,312,282,4,2,65.6,131.2,97.09
"SO48049",2018-11-19 00:00:00.000,224,312,282,4,2,5.19,10.38,10.46
"SO48049",2018-11-19 00:00:00.000,412,312,282,4,2,180.13,360.26,266.59
"SO48049",2018-11-19 00:00:00.000,458,312,282,4,2,44.99,89.98,61.87
"SO48049",2018-11-19 00:00:00.000,411,312,282,4,2,125.42,250.84,185.61
"SO48049",2018-11-19 00:00:00.000,297,312,282,4,2,736.15,1472.3,1307.39
"SO48049",2018-11-19 00:00:00.000,409,312,282,4,2,209.26,418.52,371.64
"SO48049",2018-11-19 00:00:00.000,221,312,282,4,2,20.19,40.38,27.76
"SO48049",2018-11-19 00:00:00.000,427,312,282,4,2,209.26,418.52,371.64
"SO49132",2019-02-20 00:00:00.000,399,312,282,4,2,33.77,67.54,49.99
"SO49132",2019-02-20 00:00:00.000,358,312,282,4,2,1229.46,2458.92,2211.62
"SO49132",2019-02-20 00:00:00.000,354,312,282,4,2,1242.85,2485.7,2235.71
"SO49132",2019-02-20 00:00:00.000,420,312,282,4,2,141.62,283.24,209.59
"SO49132",2019-02-20 00:00:00.000,362,312,282,4,2,1229.46,2458.92,2211.62
"SO49132",2019-02-20 00:00:00.000,421,312,282,4,2,196.33,392.66,290.57
"SO50294",2019-05-25 00:00:00.000,356,312,282,4,2,1242.85,2485.7,2235.71
"SO50294",2019-05-25 00:00:00.000,411,312,282,4,2,125.42,250.84,185.61
"SO50294",2019-05-25 00:00:00.000,224,312,282,4,2,5.19,10.38,10.46
"SO50294",2019-05-25 00:00:00.000,213,312,282,4,2,20.19,40.38,27.76
"SO50294",2019-05-25 00:00:00.000,297,312,282,4,2,736.15,1472.3,1307.39
"SO50294",2019-05-25 00:00:00.000,419,312,282,4,2,52.65,105.3,77.92
