verific,contagem
"00010242fe8c5a6d1ba2dd792cb162144244733e06e7ecb4970a6e2683c13e6148436dade18ac8b2bce089ec2a04120219/09/2017 09:45:3558901329",1
"00018f77f2f0320c557190d7a144bdd3e5f2d52b802189ee658865ca93d83a8fdd7ddc04e1b6c2c614352b383efe2d3603/05/2017 11:05:13239901993",1
"000229ec398224ef6ca0657da4fc703ec777355d18b72b67abbeef9df44fd0fd5b51032eddd242adc84c38acab88f23d18/01/2018 14:48:30199001787",1
"00024acbcdf0a6daa1e931b038114c757634da152a4610f1595efa32f14722fc9d7a1d34a5052409006425275ba1c2b415/08/2018 10:10:1812991279",1
"00042b26cf59d7ce69dfabb4e55b4fd9ac6c3623068f30de03045865e4e10089df560393f3a51e74553ab94004ba5c8713/02/2017 13:57:51199901814",1
"00048cc3ae777c65dbb7d2a0634bc1eaef92defde845ab8450f9d70c526ef70f6426d21aca402a131fc0a5d0960a3c9023/05/2017 03:55:2721901269",1
"00054e8431b9d7675808bcb819fb4a328d4f2bb7e93e6710a28f34fa83ee7d287040e82f899a04d1b434b795a43b461714/12/2017 12:10:3119901185",1
"000576fe39319847cbb9d288c5617fa6557d850972a7d6f792fd18ae1400d9b65996cddab893a4652a15592fb58ab8db10/07/2018 12:30:45810007075",1
"0005a1a1728c9d785b8e2b08b904576c310ae3c140ff94b03219ad0adc3c778fa416b6a846a11724393025641d4edd5e26/03/2018 18:31:29145951165",1
"0005f50442cb953dcd1d21e1fb9234954535b0e1091c278dfd193e5a1d63b39fba143b05f0110f0dc71ad71b4466ce9206/07/2018 14:10:5653991140",1
"00061f2a7bc09da83e415a52dc8a4af1d63c1011f49d98b976c352955b1c4beacc419e0650a3c5ba77189a1882b7556a29/03/2018 22:28:095999888",1
"00063b381e2406b52ad429470734ebd5f177554ea93259a5b282f24e33f65ab68602a61d680a10a82cceeeda0d99ea3d31/07/2018 17:30:3945001298",1
"0006ec9db01a64e59a68b2c340bf65a799a4788cb24856965c36a24e339b60584a3ca9315b744ce9f8e937436149388426/07/2018 17:24:2074002332",1
"0009792311464db532ff765bf7b182ae8cab8abac59158715e0d70a36c807415530ec6109d11eaaf87999465c6afee0117/08/2018 12:15:1099902765",1
"0009c9a17f916a706d71784483a5d6433f27ac8e699df3d300ec4a5d8c5cf0b2fcb5ace8bcc92f75707dc0f01a27d26902/05/2018 09:31:53639001134",1
"000aed2e25dbad2f9ddb70584c5a2ded4fa33915031a8cde03dd0d3e8fb27f01fe2032dab1a61af8794248c8196565c916/05/2018 20:57:0314400877",1
"000c3e6612759851cc3cbb4b83257986b50c950aba0dcead2c48032a690ce817218d46b86c1881d022bce9c68a7d4b1521/08/2017 03:33:1399001371",1
"000e562887b1f2006d75e0be9558292e5ed9eaf534f6936b51d0b6c5e4d5c2e98cbac7e12637ed9cffa18c787520747828/02/2018 12:08:3725001611",1
"000e63d38ae8c00bbcb5a30573b99628553e0e7590d3116a072507a3635d28771c129092bf23f28a5930387c980c0dfc29/03/2018 20:07:494790888",1
"000e906b789b55f64edcb1f84030f90d57d79905de06d8897872c551bfd09358ea8482cd71df3c1969d7b9473ff13abc27/11/2017 19:09:0221991185",1
"000f25f4d72195062c040b12dce9a18a1c05e0964302b6cf68ca0d15f326c6ba7c67e1448b00f6e969d365cea6b010ab21/03/2018 11:10:11119994440",1
"001021efaa8636c29475e7734483457d5d7c23067ed3fc8c6e699b9373d5890b6560211a19b47992c3666cc44a7e94c005/03/2018 09:35:4149001510",1
"0010b2e5201cc5f1ae7e9c6cc8f5bd005a419dbf24a8c9718fe522b81c69f61a3504c0cb71d7fa48d967e0e4c94d59d915/09/2017 18:04:3748901660",1
"00119ff934e539cf26f92b9ef0cdfed821b1c2f67a9aafb5af0eb06c13b9dbdac864036feaab8c1659f65ea4faebe1da11/08/2017 00:35:12219901698",1
"0011d82c4b53e22e84023405fb467e57c389f712c4b4510bc997cee93e8b1a28bfd27a966d91cfaafdb25d076585f0da29/01/2018 21:51:25289002633",1
"00125cb692d04887809806618a2a145f1c0c0093a48f13ba70d0c6b0a9157cb741b39e28db005d9731d9d485a83b4c3829/03/2017 13:05:42109902551",1
"00130c0eee84a3d909e75bc08c5c3ca189321f94e35fc6d7903d36f74e351d4016090f2ca825584b5a147ab24aa30c8614/06/2018 05:16:242790794",1
"0013503b13da1eac686219390b7d641b38afdf723b95d455b418a0f57d623c6b1554a68530182680ad5c8b042c3ab56313/12/2017 03:16:36119901732",1
"00137e170939bba5a3134e2386413108672e757f331900b9deea127a2a7b79fde59aa562b9f8076dd550fcddf0e7349130/11/2017 06:30:55397002465",1
"001427c0ec99cf8af737bd88e92fd44428b4eced95a52d9c437a4caf9d311b9577530e9772f57a62c906e1c21538ab8212/04/2018 19:08:2859902335",1
"0014ae671de39511f7575066200733b723365beed316535b4105bd800c46670e92eb0f42c21942b6552362b9b114707d29/05/2017 03:15:2416501410",1
"0015ebb40fb17286bea51d4607c4733c50fd2b788dc166edd20512370dac54df8b321bb669392f5163d04c59e235e06618/01/2018 09:11:2421901510",1
"00169e31ef4b29deaae414f9a5e95929b10eba910a974df70b8a12d0665cdb9ea3e9a2c700480d9bb01fba070ba80a0e23/01/2018 03:35:4739001611",1
"0016dfedd97fc2950e388d2971d718c74089861a1bd4685da70bddd6b4f974f1a35124e2d763d7ca3fbe3b97d143200f05/05/2017 10:05:1249752080",1
"0017afd5076e074a48f1f1a4c7bac9c5fe59a1e006df3ac42bf0ceb876d7096925c5c91f63607446a97b143d2d535d3124/04/2017 22:25:19809104429",1
"001862358bf858722e1e2ae000cfed8bc6dd917a0be2a704582055949915ab327a67c85e85bb2ce8582c35f2203ad73613/02/2018 19:10:3799991372",1
"0019c29108428acffd089c36103c944028b4eced95a52d9c437a4caf9d311b9577530e9772f57a62c906e1c21538ab8212/03/2018 06:50:2659901995",1
"001ac194d4a326a6fa99b581e9a3d963dbaee28f4ee64465838a229582d77520ffc470761de7d0232558ba5e786e57b710/07/2018 02:51:105400854",1
"001b76dd48a5b1eee3e87778daa40df8dbb67791e405873b259e4656bf9712469c0e69c7bf2619675bbadf47b43f655a02/04/2018 17:50:1781991301",1
"001c85b5f68d2be0cb0797afc9e8ce9a84f456958365164420cfc80fbe4c7fab4a3ca9315b744ce9f8e937436149388429/11/2017 22:38:4799001371",1
"001daeb0eddc45b999bad0801ad9d27330c01cc81c9eb80469371743813789ccf45122a9ab94eb4f3f8953578bc0c56025/05/2017 02:15:2038331679",1
"001dbc16dc51075e987543d23a0507c7777d2e438a1b645f3aec9bd57e92672c4a3ca9315b744ce9f8e937436149388401/02/2017 13:17:5769901800",1
"001e7ba991be1b19605ca0316e7130f9884fa3cd42986ba480ea2f8ae4e25ff73340ef1913fb70d28420f6ceb685c33923/03/2017 11:47:37195001821",1
"001e7cf2ad6bef3ade12ebc56ceaf0f3bdcf6a834e8faa30dac3886c7a58e92e2a84855fd20af891be03bc5924d2b45322/05/2018 10:59:5035901520",1
"0020262c8a370bd5a174ea6a2a267321a5341e3f8155dbb3e62323d3ea289729ff063b022a9a0aab91bad2c9088760b704/12/2017 09:58:0779502105",1
"0020a222f55eb79a372d0efee3cca688e19ddcc85537b41f22116c8d5425ef468a32e327fe2c1b3511609d81aaf9f04221/08/2017 03:03:4429991510",1
"002175704e8b209f61b9ad5cfd92b60ee6b6e13cf71449a457269f425b89dc74b2ba3715d723d245138f291a6fe4259426/04/2018 12:30:57109901321",1
"00229e4e43f7a7e0b9dd819ad43268d313fcfc313dfb2217e5ee3000a702f9efc3cfdc648177fdbbbb35635a37472c5310/04/2018 16:50:1174901649",1
"0025081dcf9330f9a5052ae82c6ce3964e3f399366b0047a572b6682f9bb166e5f3ae9136c875522250f8184f253413a02/04/2018 16:35:2014951823",1
"00254baeb6c932b0a8aeead91fbd02b518901878788fec7ddc55e64d1ace8187e8b4225284fbb02d16f200513f1f395d14/05/2018 22:14:46149904311",1
"00259a44fcad3fc0474329e925d14fc30c4d0a08f95c7b7dc5dc7402bfdafd4c9f505651f4a6abe901a56cdc2150802503/01/2018 17:59:3519991410",1
"0025c5d1a8ca53a240ec2634bb4492ea35537536ed2b4c561b4018bf3abf54e0955fee9216a65b617aa5c0531780ce6010/07/2018 09:30:09390002939",1
"002611a77fe03d076285fd4ca95db77cfe077ec80df6b4ee60bb4498d5ab196287142160b41353c4e5fca2360caf6f9207/03/2018 02:49:09135002175",1
"002691433f09002ac9ca0c4e8dbb8ead430d215740da7fdda91cc938f8fd92f60887a9f087bcd5d9f6642b52f897fc6c06/02/2017 21:18:03104001643",1
"0026a368634b6e6f34f33b1499773a30892832da5b05b0f54578e1f14f193c2212b9676b00f60f3b700e83af21824c0e10/11/2017 21:26:45149001580",1
"00275bce676303c3bfd7292aefdfa2236490b9f63b0b595e1c1402b46b0f50ad99eaacc9e6046db1c82b163c5f84869f04/12/2017 03:32:47279901346",1
"00276d5c3491fbf55305e26891040df971c89e9d8fa274b017279aa322cd0e198f78f0903005064036736c7173a5c2ed27/02/2018 11:55:5744902322",1
"002834535f7a609a5c68266f173fa59edf3655ac9aa8c6cbfa63bdd8d3b09c50ea8482cd71df3c1969d7b9473ff13abc26/07/2018 17:44:3637991918",1
"0028de0ca693a1bb26448916a81105cc059344baebbeaa42fa9f2bbe11b1583e955fee9216a65b617aa5c0531780ce6021/08/2018 03:35:1729991531",1
"002955b0acc63d04f6724a31967e82bdd9bdf643d95cb89844c0da1a0df1d16e058fd0aa2bfdb2274e05e1ae971dabb622/12/2017 15:51:31120001559",1
"0029c5db35ef291ce99d1262012e7daa7614c62b86a81021243e438cfde78ccc900ba814c251a692506d7834c121844103/09/2018 03:50:23492752162",1
"0029f17cf0e7640c5cb6825af681303f01c666c82f414c762ad21bffa56e8b49d3dcf0604eabf0224fbd5948b5e02f6908/05/2018 12:14:5294901854",1
"002af7fa9eb99d1456bceb6a13d6fc0bc2ece64199af7a53793ed9612a89a8cd6c7d50c24b3ccd2fd83b44d8bb34e07322/02/2018 19:46:5088342111",1
"002b430ff89b3a24c31a1170acbbedeacc47c0863559499f01b4cad750929d107a67c85e85bb2ce8582c35f2203ad73626/06/2017 22:10:14199996556",1
"002b4e6fa42cd4a22cc86abc18fe9c05a6f449f6257f26e556013151cee46b4bb1a81260566c1bac3114a6d124413f2715/03/2018 10:35:3799901967",1
"002d040018d12a3853c059f7f23ab5b197c58626cc3e15d514d2095f69650220fe2032dab1a61af8794248c8196565c927/11/2017 03:47:23155001484",1
"002f16b7bc4530031b7d90f791b12d8ad54c5b81fc2b38707588dd4eddc7c5940241d4d5d36f10f80c644447315af0bd04/07/2018 17:11:12249903423",1
"002f19a65a2ddd70a090297872e6d64e9eae06d51aaa383b2bed5547a19d581c1835b56ce799e6a4dc4eddc053f0406627/03/2018 13:15:2753982331",1
"002f98c0f7efd42638ed6100ca699b42d41dc2f2979f52d75d78714b378d40687299e27ed73d2ad986de7f7c77d919fa10/08/2017 09:30:158993257",1
"002f98c0f7efd42638ed6100ca699b42880be32f4db1d9f6e2bec38fb6ac23abfa40cc5b934574b62717c68f3d678b6d10/08/2017 09:30:154490716",1
"0030d783f979fbc5981e75613b057344ae27a5524edb2c8dc4656c670f458fb78e6cc767478edae941d9bd9eb778d77a29/11/2017 23:13:3860601767",1
"0030ff924c38549807645976adeef2c0bd7cab8de4d7943286634023cc06f8ff855668e0971d4dfd7bef1b6a4133b41b06/04/2018 17:10:21225006724",1
"00310b0c75bb13015ec4d82d341865a4c8e7c2ef329fcda4a233e7e2f8bb8b7da2deecd5398f5df4987110c80a1972a317/08/2018 15:04:2539901538",1
"00324b3eda39ba5ecce3945823e3594c54e5063e43f27f747d592eb24e9131500dd184061fb0eaa7ca37932c68ab91c517/04/2018 09:12:1176003407",1
"0032d07457ae9c806c79368d7d9ce96b08279c494018541f71443c07d77560f8e333046ce6517bd8bb510291d44f013015/03/2018 19:28:51159002719",1
"00335b686d693c7d72deeb12f8e8922787b08e712cc4c9fe70984c5a24b29e2ff00e21b1e91a79653163b7fd8f293ff128/07/2017 03:45:2663901689",1
"00335f75ea6a4455b524a8dd177067f5e1bf2f209fd2b08e1af3ed71732d900870c27847eca8195c983ed7e798c5674302/05/2018 22:10:2916880821",1
"00337fe25a3780b3424d9ad7c5a4b35e1f9799a175f50c9fa725984775cac5c5cfb1a033743668a192316f3c6d1d267129/09/2017 17:50:165990994",1
"00337fe25a3780b3424d9ad7c5a4b35e13944d17b257432717fd260e69853140cfb1a033743668a192316f3c6d1d267129/09/2017 17:50:165990994",1
"003423b755b562962a6225a8de40d12e84904413b82eee333a3f79137e8d197e23c38debaffe4a25a30fdbd9b586a13f18/07/2018 04:25:09232752858",1
"00345f338696283410b7977d2e3efc890f2fd0a589cb7849c1dbedbd4109c2f8516e7738bd8f735ac19a010ee5450d8d23/08/2018 15:11:4048901844",1
"0035246a40f520710769010f752e75078a6187b2665118d5095f99a25fd7ba7a4a3ca9315b744ce9f8e937436149388423/08/2017 01:25:3987001211",1
"0035c0b07126fe9c24a325216fb96064ec02a5d380128f7a188e9ce8f3ddd8328444e55c1f13cd5c179851e5ca5ebd0012/12/2017 01:29:45131901854",1
"0035e6b7ade84b3f5b86bd49814793df71a5f1c2a5fd9889ef26b5ac22aec9c6537eb890efff034a88679788b647c56427/02/2018 03:31:0819901410",1
"0036757472ece3dde52fd4bfd929c90e4c1bbc12438daec98a77243c2bf7a3ba7c67e1448b00f6e969d365cea6b010ab08/08/2018 15:10:11136996604",1
"0036887767dea4bd43b1a88cd0d9477a3a264b078bf20e98f315ff65c23fa26346dc3b2cc0980fb8ec44634e21d2718e19/10/2017 01:07:30399992364",1
"00378c6c981f234634c0b9d6128df6dd38fa750a3a3b3204f169c86a3284d387218d46b86c1881d022bce9c68a7d4b1508/02/2018 19:50:2741001185",1
"0039500db36d50d7d0bfaf23723550f362984ea1bba7fcea1f5b57084d3bf885c3cfdc648177fdbbbb35635a37472c5310/07/2018 10:51:09169903333",1
"003a7f59d7e08a9c61d9e2881fe6459ca4d286543a67e29c930c99cbd7a55a8fb410bdd36d5db7a65dcd42b7ead933b822/08/2018 11:49:46119001528",1
"003a94f778ef8cfd50247c8c1b582257452f66a0f164cac57802e2cea93188acf80edd2c5aaa505cc4b0a3b219abf4b807/08/2018 15:05:1439901808",1
"003cc6161d7a2593f2525cce0c330d32fadc89c2a60ff96b18827644074dfd7053e4c6e0f4312d4d2107a8c9cddf45cd07/08/2018 20:04:1485001290",1
"003d0634280ff3d1d3a54459349a6899db886bd83f6a076a2caeb7fd02722c358e6d7754bc7e0f22c96d255ebda59eba22/03/2018 18:08:4322000889",1
"003d804eef0e1b856881cd18e0cc0d4c41402af2a88247152583bb812ba235dd4869f7a5dfa277a7dca6462dcf3b52b227/11/2017 12:15:18277003574",1
"003d9fc84ad902adf2265248b5ffe1a43fbc0ef745950c7932d5f2a44618972506a2c3af7b3aee5d69171b0e14f0ee8722/08/2018 19:35:2266992775",1
"003edccf16bc5ec447f592913b3df2b4500870614ddcf5bd84f7d26861026c8aef506c96320abeedfb894c34db06f47812/07/2018 10:15:2114005085",1
"003f9bcc09427647c4b9d361a523545b4bc3ab2ff016887e619e587a993af3bf7e93a43ef30c4f03f38b393420bc753a12/02/2018 13:15:3722900980",1
"00404fa7a687c8c44ca69d42695aae7353b36df67ebb7c41585e8d54d6772e087d13fca15225358621be4086e1eb096415/05/2018 04:31:2699900",1
"0040a56893444cb56cba7cfe2225e34e3f14d740544f37ece8a9e7bc8349797ef457c46070d02cadd8a68551231220dd29/01/2018 00:15:1084903439",1
"004157daafa0bc8672e01f00e4f0c04f8b5632d7a4f86bd2f1331355305427e6624f4ece8da4aafb77699233d480f8ef25/05/2017 13:25:15189003391",1
"00418a49a685c6bb60633291c3fab17a5e21d5cab5d33e770d8150a4ee6117db6560211a19b47992c3666cc44a7e94c009/10/2017 20:50:454900778",1
"004345d16a1ab2c21962992c721c8643d0fb1e667e989933a80444f93da833c00be8ff43f22e456b4e0371b2245e4d0110/07/2018 07:31:3337901537",1
"0044c6f6d22dd280534344177c81b98901cf56cd6138b926a4802d16fc30414906e5eefc71ec47ae763c5c6f8db7064f23/05/2018 17:15:37179931614",1
"0045e3085f083f0f38d24bb3f22e65939545d45c37449ccbc376de3a04c66e71431af27f296bc6519d890aa5a05fdb1117/08/2017 07:15:16116901384",1
"0045f5225a96ef46630701167528fdcb86a11a09edde2267675505fc4d56d9b03db66a856d18a9cba7c9241fc5221c5019/06/2018 04:17:4894901551",1
"0046176ff0dbc2a178b7885355dfbb7119f0917ba5781b978298ffcd9ae225c143f8c9950d11ecd03a0304a49e010da606/06/2018 19:35:18121991573",1
"0046e1d57f4c07c8c92ab26be8c3dfc0ff6caf9340512b8bf6d2a2a6df032cfa38e6dada03429a47197d5d584d793b4102/10/2017 15:49:17779778",1
"00471463a6106056c1a2a809f70de6409df0e8a7eef2a38b74e6d5c0e224b11f7c67e1448b00f6e969d365cea6b010ab03/10/2017 22:46:14179998597",1
"00482f2670787292280e0a8153d82467a9c404971d1a5b1cbc2e4070e02731fd702835e4b785b67a084280efca35575617/02/2017 16:18:077601096",1
"0049edf42837aa808e03552a62bd2158389d119b48cf3043d311335e499d9c6b1f50f920176fa81dab994f902352310005/01/2018 12:48:1049901760",1
"004b62108b876867938746ad3154167fc589625c8ccc7bfd2e8f1fb041e24c4ac70c1b0d8ca86052f45a432a38b7395810/07/2018 05:31:0311032803",1
"004ba47bb589cdbc485e6025bd6d3c818c5876b1c7768217964f353bc7e643930db783cfcd3b73998abc6e10e59a102f29/12/2017 20:48:1049001185",1
"004ca5ae248069d68e8594df8abf6ce0cd71c76f5ab15f51f24fb214fc42d8ab620c87c171fb2a6dd6e8bb4dec959fc614/06/2018 18:52:39159906118",1
