Store ID,Store Name,City,Latitude,Longitude,Area,Number of sales people,Price per square meter,StoreSize,NumberOfCheckOuts,DateOpened
1,"Walmart","Almaty",43.256667,76.928611,2800,55,50,"Small",4,2016-11-06 00:00:00.000
2,"K-Mart","Shymkent",42.3,69.6,2200,34,53.571428571428577,"Medium",4,2015-04-06 00:00:00.000
3,"Costco","Taraz",42.9,71.366667,3000,43,57.142857142857146,"Medium",4,2012-08-30 00:00:00.000
4,"Staples","Astana",51.166666,71.45,1800,14,53.571428571428577,"Medium",6,2011-09-15 00:00:00.000
5,"Best Buy","Pavlodar",52.283333,76.966666,2100,19,52.142857142857146,"Medium",6,2010-12-03 00:00:00.000
6,"Office Depot","Öskemen",49.966666,82.6,1500,12,42.857142857142861,"Large",8,2014-04-03 00:00:00.000
7,"Walgreens","Semey",50.426749,80.266694,1100,8,42.142857142857146,"Large",8,2015-04-08 00:00:00.000
8,"Home Depot","Qyzylorda",44.85,65.5,3250,29,45.714285714285715,"Large",8,2014-10-12 00:00:00.000
9,"Office Max","Aqtöbe",50.3,57.183333,1450,10,34.285714285714285,"Large",8,2016-11-30 00:00:00.000
10,"Trader Joe","Petropavl",54.866666,69.15,990,16,46.428571428571431,"Small",2,2011-02-05 00:00:00.000
11,"CVS","Atyraū",47.116667,51.883333,575,5,35.714285714285715,"Medium",2,2016-12-03 00:00:00.000
12,"Macys","Taldyqorghan",45.016666,78.383333,2485,37,32.142857142857146,"Large",6,2015-04-30 00:00:00.000
