match_key,innings,team,batsman,player_key,batting_position,Season
20140428KXP,2,Kings XI Punjab,R Dhawan,1298,7,2014
20080427KXP,1,Delhi Daredevils,V Sehwag,1049,2,2008
20170507KKR,2,Kolkata Knight Riders,C de Grandhomme,1394,3,2017
20110416CSK,1,Chennai Super Kings,SK Raina,1012,3,2011
20130508CSK,2,Sunrisers Hyderabad,KC Sangakkara,1043,3,2013
20100414RCB,1,Rajasthan Royals,AA Jhunjhunwala,1217,5,2010
20140428KXP,2,Kings XI Punjab,CA Pujara,1178,1,2014
20110502KTK,2,Kochi Tuskers Kerala,PA Patel,1010,3,2011
20110428KKR,2,Delhi Daredevils,Y Nagar,1150,8,2011
20100401KKR,1,Kolkata Knight Riders,WP Saha,1102,7,2010
20120428KXP,1,Kings XI Punjab,SE Marsh,1170,2,2012
20150411CSK,1,Chennai Super Kings,DR Smith,1088,1,2015
20120502KXP,1,Royal Challengers Bangalore,CH Gayle,1051,3,2012
20140527KKR,2,Kings XI Punjab,MG Johnson,1299,9,2014
20100316RCB,1,Kings XI Punjab,MS Bisla,1155,2,2010
20160424KKR,2,Kolkata Knight Riders,G Gambhir,1048,3,2016
20150506RCB,2,Kings XI Punjab,DA Miller,1259,5,2015
20150504KKR,2,Sunrisers Hyderabad,B Kumar,1232,10,2015
20150411RCB,2,Royal Challengers Bangalore,HV Patel,1248,8,2015
20110502KTK,1,Delhi Daredevils,Y Venugopal Rao,1070,5,2011
20160507RCB,1,Rising Pune Supergiants,MS Dhoni,1014,4,2016
20130512KKR,1,Royal Challengers Bangalore,MC Henriques,1056,5,2013
20130430CSK,2,Pune Warriors,RV Uthappa,1020,1,2013
20130413CSK,2,Chennai Super Kings,M Vijay,1118,2,2013
20160524RCB,2,Royal Challengers Bangalore,Sachin Baby,1314,6,2016
20120415KXP,1,Kings XI Punjab,DJ Hussey,1137,4,2012
20120527KKR,2,Kolkata Knight Riders,MS Bisla,1155,1,2012
20100318RCB,2,Royal Challengers Bangalore,JH Kallis,1066,2,2010
20140422KXP,2,Sunrisers Hyderabad,DA Warner,1121,3,2014
20080517KXP,1,Delhi Daredevils,MF Maharoof,1144,5,2008
20140522KKR,2,Royal Challengers Bangalore,V Kohli,1024,3,2014
