Number,Age,College,Team,Player,Height,Position,Category,Side,Division,Conference,City,RosterUrl,LogoUrl,Html Layout,Weight,Experience
17,26,USC,Rams,Robert Woods,72,Wide Receiver,Backs and Receivers,Offense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >17: Robert Woods</div><div><a href='https://google.com'>Google</a></div></div>,195,6
52,26,Georgia,Rams,Ramik Wilson,74,Linebacker,Linebackers,Defense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >52: Ramik Wilson</div><div><a href='https://google.com'>Google</a></div></div>,238,4
23,27,USC,Rams,Nickell Robey-Coleman,68,Cornerback,Defensive Backs,Defense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >23: Nickell Robey-Coleman</div><div><a href='https://google.com'>Google</a></div></div>,180,6
20,28,Florida State,Rams,Lamarcus Joyner,68,Safety,Defensive Backs,Defense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >20: Lamarcus Joyner</div><div><a href='https://google.com'>Google</a></div></div>,191,5
77,37,LSU,Rams,Andrew Whitworth,79,Offensive Tackle,Offensive Line,Offense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >77: Andrew Whitworth</div><div><a href='https://google.com'>Google</a></div></div>,330,13
30,24,Georgia,Rams,Todd Gurley,73,Running Back,Backs and Receivers,Offense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >30: Todd Gurley</div><div><a href='https://google.com'>Google</a></div></div>,224,4
19,25,Akron,Rams,JoJo Natson,67,Wide Receiver,Backs and Receivers,Offense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >19: JoJo Natson</div><div><a href='https://google.com'>Google</a></div></div>,153,2
70,23,TCU,Rams,Joseph Noteboom,77,Offensive Tackle,Offensive Line,Offense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >70: Joseph Noteboom</div><div><a href='https://google.com'>Google</a></div></div>,321,0
35,27,California,Rams,C.J. Anderson,68,Running Back,Backs and Receivers,Offense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >35: C.J. Anderson</div><div><a href='https://google.com'>Google</a></div></div>,225,6
56,24,Florida,Rams,Dante Fowler Jr.,75,Outside Linebacker,Linebackers,Defense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >56: Dante Fowler Jr.</div><div><a href='https://google.com'>Google</a></div></div>,255,4
16,24,California,Rams,Jared Goff,76,Quarterback,Backs and Receivers,Offense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >16: Jared Goff</div><div><a href='https://google.com'>Google</a></div></div>,222,3
58,25,Washington,Rams,Cory Littleton,75,Inside Lineback,Linebackers,Defense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >58: Cory Littleton</div><div><a href='https://google.com'>Google</a></div></div>,228,3
82,24,Oregon,Rams,Johnny Mundt,76,Tight End,Backs and Receivers,Offense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >82: Johnny Mundt</div><div><a href='https://google.com'>Google</a></div></div>,233,1
42,22,Tennessee,Rams,John Kelly,70,Running Back,Backs and Receivers,Offense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >42: John Kelly</div><div><a href='https://google.com'>Google</a></div></div>,205,0
96,27,Northwest Missouri State,Rams,Matt Longacre,75,Outside Linebacker,Linebackers,Defense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >96: Matt Longacre</div><div><a href='https://google.com'>Google</a></div></div>,265,4
33,23,USC,Rams,Justin Davis,73,Running Back,Backs and Receivers,Offense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >33: Justin Davis</div><div><a href='https://google.com'>Google</a></div></div>,199,2
95,28,West Texas A&M,Rams,Ethan Westbrooks,76,Defensive End,Defensive Line,Defense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >95: Ethan Westbrooks</div><div><a href='https://google.com'>Google</a></div></div>,287,5
81,24,South Alabama,Rams,Gerald Everett,75,Tight End,Backs and Receivers,Offense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >81: Gerald Everett</div><div><a href='https://google.com'>Google</a></div></div>,240,2
6,28,Oregon State,Rams,Johnny Hekker,77,Punter,Special Teams,Offense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >6: Johnny Hekker</div><div><a href='https://google.com'>Google</a></div></div>,241,7
53,24,Southern Methodist,Rams,Justin Lawler,76,Outside Linebacker,Linebackers,Defense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >53: Justin Lawler</div><div><a href='https://google.com'>Google</a></div></div>,265,0
21,32,Kansas,Rams,Aqib Talib,73,Cornerback,Defensive Backs,Defense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >21: Aqib Talib</div><div><a href='https://google.com'>Google</a></div></div>,209,11
12,25,Oregon State,Rams,Brandin Cooks,70,Wide Receiver,Backs and Receivers,Offense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >12: Brandin Cooks</div><div><a href='https://google.com'>Google</a></div></div>,183,5
90,28,LSU,Rams,Michael Brockers,77,Defensive Lineman,Defensive Line,Defense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >90: Michael Brockers</div><div><a href='https://google.com'>Google</a></div></div>,305,7
11,24,Prairie View A&M,Rams,KhaDarel Hodge,74,Wide Receiver,Backs and Receivers,Offense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >11: KhaDarel Hodge</div><div><a href='https://google.com'>Google</a></div></div>,205,0
93,32,Nebraska,Rams,Ndamukong Suh,76,Defensive Tackle,Defensive Line,Defense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >93: Ndamukong Suh</div><div><a href='https://google.com'>Google</a></div></div>,313,9
94,22,Stephen F. Austin St.,Rams,John Franklin-Myers,76,Defensive End,Defensive Line,Defense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >94: John Franklin-Myers</div><div><a href='https://google.com'>Google</a></div></div>,288,0
89,26,Western Kentucky,Rams,Tyler Higbee,78,Tight End,Backs and Receivers,Offense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >89: Tyler Higbee</div><div><a href='https://google.com'>Google</a></div></div>,255,3
43,23,Boston College,Rams,John Johnson III,72,Safety,Defensive Backs,Defense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >43: John Johnson III</div><div><a href='https://google.com'>Google</a></div></div>,209,2
55,23,Michigan State,Rams,Brian Allen,74,Center,Offensive Line,Offense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >55: Brian Allen</div><div><a href='https://google.com'>Google</a></div></div>,303,0
22,26,Washington,Rams,Marcus Peters,72,Cornerback,Defensive Backs,Defense,NFC-West,NFC,"Los Angeles, CA",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,<div style='float:left;margin:12px;width:200px;height:60px;border:1ps solid black' ><div style='background-color:black;color:white;font-size:14px;padding:4px;' >22: Marcus Peters</div><div><a href='https://google.com'>Google</a></div></div>,195,4
