Year,Energy Type,Price Per Unit,Key
2016,"Water",0.05,"2016Water"
2017,"Water",0.055000000000000007,"2017Water"
2018,"Water",0.060500000000000012,"2018Water"
2019,"Water",0.066550000000000012,"2019Water"
2020,"Water",0.07320500000000002,"2020Water"
2016,"Gas",1,"2016Gas"
2017,"Gas",1.1,"2017Gas"
2018,"Gas",1.2100000000000002,"2018Gas"
2019,"Gas",1.3310000000000004,"2019Gas"
2020,"Gas",1.4641000000000006,"2020Gas"
2016,"Electricity",0.08,"2016Electricity"
2017,"Electricity",0.088000000000000009,"2017Electricity"
2018,"Electricity",0.096800000000000011,"2018Electricity"
2019,"Electricity",0.10648000000000002,"2019Electricity"
2020,"Electricity",0.11712800000000002,"2020Electricity"
