id,data_inversa,dia_semana,horario,uf,br,km,municipio,elemento_transito,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude
2004,2017-01-08 00:00:00.000,"domingo",1899-12-30 08:05:00.000,"MG","135",379,"MONTES CLAROS","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-16.85138666,-43.85215524
2891,2017-01-11 00:00:00.000,"quarta-feira",1899-12-30 15:10:00.000,"MG","40",516,"RIBEIRAO DAS NEVES","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano",1,0,1,0,0,0,1,1,-19.81852038,-44.08731669
3031,2017-01-12 00:00:00.000,"quinta-feira",1899-12-30 06:20:00.000,"MG","40",491,"ESMERALDAS","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Amanhecer","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-19.6328,-44.2049
7775,2017-01-29 00:00:00.000,"domingo",1899-12-30 23:30:00.000,"MG","153",228,"FRUTAL","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Plena Noite","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-20.17594046,-49.11390213
10607,2017-02-09 00:00:00.000,"quinta-feira",1899-12-30 15:31:00.000,"MG","50",165,"UBERABA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-19.692572,-47.98976
13326,2017-02-19 00:00:00.000,"domingo",1899-12-30 10:30:00.000,"MG","40",606,"CONGONHAS","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-20.4723437,-43.8434267
13345,2017-02-19 00:00:00.000,"domingo",1899-12-30 16:20:00.000,"MG","381",409,"NOVA UNIAO","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Simples","Reta","Rural",1,0,1,0,0,0,1,1,-19.7396,-43.5566
13892,2017-02-21 00:00:00.000,"terça-feira",1899-12-30 16:15:00.000,"MG","262",439,"NOVA SERRANA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-19.8814,-44.9309
13977,2017-02-22 00:00:00.000,"quarta-feira",1899-12-30 08:15:00.000,"MG","50",90,"UBERLANDIA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-19.05904942,-48.19364101
14464,2017-02-23 00:00:00.000,"quinta-feira",1899-12-30 15:10:00.000,"MG","262",439,"NOVA SERRANA","Homem","Falta de Atenção à Condução","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural",1,0,1,0,0,0,1,1,-19.88048039,-44.93362818
