Date,Ano,Trimestre,Mês,Nome mês,Dia
2018-01-01 00:00:00.000,2018,1,1,"January",1
2018-01-02 00:00:00.000,2018,1,1,"January",2
2018-01-03 00:00:00.000,2018,1,1,"January",3
2018-01-04 00:00:00.000,2018,1,1,"January",4
2018-01-05 00:00:00.000,2018,1,1,"January",5
2018-01-06 00:00:00.000,2018,1,1,"January",6
2018-01-07 00:00:00.000,2018,1,1,"January",7
2018-01-08 00:00:00.000,2018,1,1,"January",8
2018-01-09 00:00:00.000,2018,1,1,"January",9
2018-01-10 00:00:00.000,2018,1,1,"January",10
2018-01-11 00:00:00.000,2018,1,1,"January",11
2018-01-12 00:00:00.000,2018,1,1,"January",12
2018-01-13 00:00:00.000,2018,1,1,"January",13
2018-01-14 00:00:00.000,2018,1,1,"January",14
2018-01-15 00:00:00.000,2018,1,1,"January",15
2018-01-16 00:00:00.000,2018,1,1,"January",16
2018-01-17 00:00:00.000,2018,1,1,"January",17
2018-01-18 00:00:00.000,2018,1,1,"January",18
2018-01-19 00:00:00.000,2018,1,1,"January",19
2018-01-20 00:00:00.000,2018,1,1,"January",20
2018-01-21 00:00:00.000,2018,1,1,"January",21
2018-01-22 00:00:00.000,2018,1,1,"January",22
2018-01-23 00:00:00.000,2018,1,1,"January",23
2018-01-24 00:00:00.000,2018,1,1,"January",24
2018-01-25 00:00:00.000,2018,1,1,"January",25
2018-01-26 00:00:00.000,2018,1,1,"January",26
2018-01-27 00:00:00.000,2018,1,1,"January",27
2018-01-28 00:00:00.000,2018,1,1,"January",28
2018-01-29 00:00:00.000,2018,1,1,"January",29
2018-01-30 00:00:00.000,2018,1,1,"January",30
2018-01-31 00:00:00.000,2018,1,1,"January",31
2018-02-01 00:00:00.000,2018,1,2,"February",1
2018-02-02 00:00:00.000,2018,1,2,"February",2
2018-02-03 00:00:00.000,2018,1,2,"February",3
2018-02-04 00:00:00.000,2018,1,2,"February",4
2018-02-05 00:00:00.000,2018,1,2,"February",5
2018-02-06 00:00:00.000,2018,1,2,"February",6
2018-02-07 00:00:00.000,2018,1,2,"February",7
2018-02-08 00:00:00.000,2018,1,2,"February",8
2018-02-09 00:00:00.000,2018,1,2,"February",9
2018-02-10 00:00:00.000,2018,1,2,"February",10
2018-02-11 00:00:00.000,2018,1,2,"February",11
2018-02-12 00:00:00.000,2018,1,2,"February",12
2018-02-13 00:00:00.000,2018,1,2,"February",13
2018-02-14 00:00:00.000,2018,1,2,"February",14
2018-02-15 00:00:00.000,2018,1,2,"February",15
2018-02-16 00:00:00.000,2018,1,2,"February",16
2018-02-17 00:00:00.000,2018,1,2,"February",17
2018-02-18 00:00:00.000,2018,1,2,"February",18
2018-02-19 00:00:00.000,2018,1,2,"February",19
2018-02-20 00:00:00.000,2018,1,2,"February",20
2018-02-21 00:00:00.000,2018,1,2,"February",21
2018-02-22 00:00:00.000,2018,1,2,"February",22
2018-02-23 00:00:00.000,2018,1,2,"February",23
2018-02-24 00:00:00.000,2018,1,2,"February",24
2018-02-25 00:00:00.000,2018,1,2,"February",25
2018-02-26 00:00:00.000,2018,1,2,"February",26
2018-02-27 00:00:00.000,2018,1,2,"February",27
2018-02-28 00:00:00.000,2018,1,2,"February",28
2018-03-01 00:00:00.000,2018,1,3,"March",1
2018-03-02 00:00:00.000,2018,1,3,"March",2
2018-03-03 00:00:00.000,2018,1,3,"March",3
2018-03-04 00:00:00.000,2018,1,3,"March",4
2018-03-05 00:00:00.000,2018,1,3,"March",5
2018-03-06 00:00:00.000,2018,1,3,"March",6
2018-03-07 00:00:00.000,2018,1,3,"March",7
2018-03-08 00:00:00.000,2018,1,3,"March",8
2018-03-09 00:00:00.000,2018,1,3,"March",9
2018-03-10 00:00:00.000,2018,1,3,"March",10
2018-03-11 00:00:00.000,2018,1,3,"March",11
2018-03-12 00:00:00.000,2018,1,3,"March",12
2018-03-13 00:00:00.000,2018,1,3,"March",13
2018-03-14 00:00:00.000,2018,1,3,"March",14
2018-03-15 00:00:00.000,2018,1,3,"March",15
2018-03-16 00:00:00.000,2018,1,3,"March",16
