case_id,from_table,from_col,to_table,to_col,weight
253297541-2,98298,98322,25,116,0.010385692119598389
253297541-2,25,116,97719,97743,0.010385692119598389
253297541-2,72993,72997,77889,77893,0.03671175241470337
253297541-2,77889,77893,38468,38472,0.2024925947189331
253297541-2,10,77,37,160,0.017146646976470947
253297541-2,37,160,73044,73048,0.030091822147369385
253297541-2,37,11892,79956,79960,0.00028246641159057617
253297541-2,97719,97743,10,77,0.015566706657409668
253297541-2,38468,38472,76949,76953,0.28121376037597656
253297541-2,71558,71562,98298,98322,0.06790590286254883
253297541-2,73044,73048,72993,72997,0.10652393102645874
253297541-2,42174,42182,95632,95644,0.05968588590621948
253297541-2,10,77,76949,76953,0
253297541-2,25,116,76949,76953,0
253297541-2,38468,38472,95632,95644,0
253297541-2,72993,72997,76949,76953,0
253297541-2,73044,73048,95632,95644,0
253297541-2,71558,74778,79956,79961,0
