ID,TableID,ExplicitName,InferredName,ExplicitDataType,InferredDataType,DataCategory,Description,IsHidden,State,IsUnique,IsKey,IsNullable,Alignment,TableDetailPosition,IsDefaultLabel,IsDefaultImage,SummarizeBy,ColumnStorageID,Type,SourceColumn,ColumnOriginID,Expression,FormatString,IsAvailableInMDX,SortByColumnID,AttributeHierarchyID,ModifiedTime,StructureModifiedTime,RefreshedTime,SystemFlags,KeepUniqueRows,DisplayOrdinal,ErrorMessage,SourceProviderType,DisplayFolder,EncodingHint,RelatedColumnDetailsID,AlternateOfID,LineageTag,SourceLineageTag
11,10,"RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61","",6,19,"","",True,1,True,True,False,1,-1,False,False,1,55,3,"",,"","",True,,12,2017-06-29 19:25:07.043,2017-06-29 19:25:07.043,1699-12-31 00:00:00.000,2,False,0,"","","",0,,,"",""
13,10,"","Date",1,9,"PaddedDateTableDates","",True,1,False,False,True,1,-1,False,False,2,59,4,"[Date]",,"","",True,,43,2022-08-14 01:19:48.693,2017-06-29 19:25:07.043,1699-12-31 00:00:00.000,2,False,0,"","","",0,,,"b0ad2547-d7fa-44af-b513-8a9023ac7a25",""
14,10,"Year","",1,6,"Years","",True,1,False,False,True,1,-1,False,False,2,63,2,"",,"YEAR([Date])","",True,,44,2022-08-14 01:19:48.693,2017-06-29 19:25:07.043,2017-06-29 19:25:07.103,2,False,0,"","","",0,,,"64ac3359-bd30-48b2-a2dc-1b35830bf6c1",""
15,10,"MonthNo","",1,6,"MonthOfYear","",True,1,False,False,True,1,-1,False,False,2,67,2,"",,"MONTH([Date])","",True,,45,2022-08-14 01:19:48.693,2017-06-29 19:25:07.043,2017-06-29 19:25:07.103,2,False,0,"","","",0,,,"113b6fa7-28ec-46bc-8e8a-a754261b06df",""
16,10,"Month","",1,2,"Months","",True,1,False,False,True,1,-1,False,False,2,71,2,"",,"FORMAT([Date], ""MMMM"")","",True,15,46,2022-08-14 01:19:48.693,2017-06-29 19:25:07.043,2017-06-29 19:25:07.103,2,False,0,"","","",0,,,"97fac4d6-e27f-4346-88d9-8f00a39a50c6",""
17,10,"QuarterNo","",1,6,"QuarterOfYear","",True,1,False,False,True,1,-1,False,False,2,75,2,"",,"INT(([MonthNo] + 2) / 3)","",True,,47,2022-08-14 01:19:48.693,2017-06-29 19:25:07.043,2017-06-29 19:25:07.103,2,False,0,"","","",0,,,"3e96a259-def1-48f7-8b60-683a5377ef27",""
18,10,"Quarter","",1,2,"Quarters","",True,1,False,False,True,1,-1,False,False,2,79,2,"",,"""Qtr "" & [QuarterNo]","",True,17,48,2022-08-14 01:19:48.693,2017-06-29 19:25:07.043,2017-06-29 19:25:07.106,2,False,0,"","","",0,,,"9ec721ea-9d35-4575-88c2-54f4379a849b",""
19,10,"Day","",1,6,"DayOfMonth","",True,1,False,False,True,1,-1,False,False,2,83,2,"",,"DAY([Date])","",True,,49,2022-08-14 01:19:48.693,2017-06-29 19:25:07.043,2017-06-29 19:25:07.103,2,False,0,"","","",0,,,"522ba9ee-2876-4eb3-a6dc-2f916509d567",""
274,273,"RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61","",6,19,"","",True,1,True,True,False,1,-1,False,False,1,286,3,"",,"","",True,,275,2017-06-29 19:26:10.420,2017-06-29 19:26:10.416,1699-12-31 00:00:00.000,0,False,0,"","","",0,,,"",""
277,273,"Student ID","",6,19,"","",False,1,False,False,True,1,-1,False,False,2,290,1,"Student ID",,"","0",True,,280,2022-08-14 01:19:48.693,2017-06-29 19:26:10.416,1699-12-31 00:00:00.000,0,False,0,"","","",0,,,"94a951c1-e0bf-4e9e-90ac-eed685aa08fc",""
