ID,TableID,ExplicitName,InferredName,ExplicitDataType,InferredDataType,DataCategory,Description,IsHidden,State,IsUnique,IsKey,IsNullable,Alignment,TableDetailPosition,IsDefaultLabel,IsDefaultImage,SummarizeBy,ColumnStorageID,Type,SourceColumn,ColumnOriginID,Expression,FormatString,IsAvailableInMDX,SortByColumnID,AttributeHierarchyID,ModifiedTime,StructureModifiedTime,RefreshedTime,SystemFlags,KeepUniqueRows,DisplayOrdinal,ErrorMessage,SourceProviderType,DisplayFolder,EncodingHint,RelatedColumnDetailsID,AlternateOfID,LineageTag,SourceLineageTag
13,12,"RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61","",6,19,"","",True,1,True,True,False,1,-1,False,False,1,68,3,"",,"","",True,,14,2021-06-25 08:40:57.013,2021-06-25 08:40:57.010,1699-12-31 00:00:00.000,0,False,0,"","","",0,,,"",""
114,12,"Fiscal Year","",2,19,"","",False,1,False,False,True,1,-1,False,False,2,180,1,"Fiscal Year",,"","",True,,172,2021-06-25 08:40:57.890,2021-06-25 08:40:57.890,1699-12-31 00:00:00.000,0,False,0,"","","",0,,,"3971ffa9-8a4d-4541-8add-cbbf1c825c12",""
115,12,"Area","",2,19,"","",False,1,False,False,True,1,-1,False,False,2,184,1,"Area",,"","",True,,173,2021-06-25 08:40:57.890,2021-06-25 08:40:57.890,1699-12-31 00:00:00.000,0,False,0,"","","",0,,,"0168fe8c-bd46-44f6-afd0-8aa0497284eb",""
116,12,"Subsidiary","",2,19,"","",False,1,False,False,True,1,-1,False,False,2,188,1,"Subsidiary",,"","",True,,174,2021-06-25 08:40:57.890,2021-06-25 08:40:57.890,1699-12-31 00:00:00.000,0,False,0,"","","",0,,,"7bc3b02c-44ac-4924-8267-a454f4d6c348",""
117,12,"Rev Sum Division","",2,19,"","",False,1,False,False,True,1,-1,False,False,2,192,1,"Rev Sum Division",,"","",True,,175,2021-06-25 08:40:57.890,2021-06-25 08:40:57.890,1699-12-31 00:00:00.000,0,False,0,"","","",0,,,"88288b05-71f0-4351-8204-fdbaa3e132ec",""
118,12,"Std Rptg Mid Reported Subsegment","",2,19,"","",False,1,False,False,True,1,-1,False,False,2,196,1,"Std Rptg Mid Reported Subsegment",,"","",True,,176,2021-06-25 08:40:57.890,2021-06-25 08:40:57.890,1699-12-31 00:00:00.000,0,False,0,"","","",0,,,"3586c2e4-728d-40ce-9393-13da5a471b63",""
119,12,"Forecast Planning Level","",2,19,"","",False,1,False,False,True,1,-1,False,False,2,200,1,"Forecast Planning Level",,"","",True,,177,2021-06-25 08:40:57.890,2021-06-25 08:40:57.890,1699-12-31 00:00:00.000,0,False,0,"","","",0,,,"5b71ae09-5274-4425-aa58-f2c6372e0ee2",""
120,12,"Period","",6,19,"","",False,1,False,False,True,1,-1,False,False,2,204,1,"Period",,"","0",True,,178,2021-06-25 09:03:43.213,2021-06-25 08:40:57.890,1699-12-31 00:00:00.000,0,False,0,"","","",0,,,"da38db6f-4952-49fb-8556-b2f0feac48d3",""
121,12,"Sales","",10,19,"","",False,1,False,False,True,1,-1,False,False,3,208,1,"Sales",,"","\$#,0.###############;-\$#,0.###############;\$#,0.###############",True,,179,2021-06-25 08:40:57.890,2021-06-25 08:40:57.890,1699-12-31 00:00:00.000,0,False,0,"","","",0,,,"31dfc3fd-3c6b-4ced-930f-313b8dac5cf4",""
16,15,"RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61","",6,19,"","",True,1,True,True,False,1,-1,False,False,1,72,3,"",,"","",True,,17,2021-06-25 08:40:57.013,2021-06-25 08:40:57.010,1699-12-31 00:00:00.000,2,False,0,"","","",0,,,"",""
