ID,ModelID,Name,IsActive,Type,CrossFilteringBehavior,JoinOnDateBehavior,RelyOnReferentialIntegrity,FromTableID,FromColumnID,FromCardinality,ToTableID,ToColumnID,ToCardinality,State,RelationshipStorageID,RelationshipStorage2ID,ModifiedTime,RefreshedTime,SecurityFilteringBehavior
4034,1,"61b12590-502b-4f08-b6ef-3171b89e4488",True,1,1,1,False,489,566,2,462,501,1,1,4056,,2022-01-06 11:19:33.750,2022-01-06 11:19:33.750,1
4035,1,"917c7343-a041-4a23-9549-daef4ba9ae7e",True,1,1,1,False,492,571,2,462,501,1,1,4058,,2022-01-06 11:19:33.736,2022-01-06 11:19:33.736,1
4036,1,"31225070-cea9-4252-a69a-a26bcd556657",True,1,1,1,False,495,582,2,462,501,1,1,4060,,2022-01-06 11:19:33.750,2022-01-06 11:19:33.750,1
4037,1,"362c71ae-76a2-4944-ba9c-4d85b64ec7df",True,1,1,1,False,495,584,2,474,536,1,1,4062,,2022-01-06 11:19:33.700,2022-01-06 11:19:33.700,1
4038,1,"d6ce97b9-2dc4-409e-b7f1-7c9fb9783c4c",True,1,1,1,False,492,574,2,477,548,1,1,4064,,2022-01-06 11:19:34.110,2022-01-06 11:19:34.110,1
4039,1,"51995eba-b45c-4fd1-894e-37121e18b7f8",True,1,1,1,False,495,585,2,480,551,1,1,4066,,2022-01-06 11:19:34.110,2022-01-06 11:19:34.110,1
4040,1,"f8594a70-160b-4b48-9ee0-9a90745ddeaa",True,1,1,1,False,489,567,2,483,557,1,1,4068,,2022-01-07 10:56:11.410,2022-01-07 10:56:11.410,1
4041,1,"56b1c88e-f975-49d0-b35e-093c806a2368",True,1,1,1,False,492,572,2,483,557,1,1,4070,,2022-01-07 10:56:11.410,2022-01-07 10:56:11.410,1
4042,1,"69a6d342-51d5-4489-a5ae-7e544d23c0bc",True,1,1,1,False,495,583,2,483,557,1,1,4072,,2022-01-07 10:56:11.406,2022-01-07 10:56:11.406,1
4043,1,"d56fbc81-8330-4a07-846e-91edc26e7c8c",True,1,1,1,False,492,573,2,486,561,1,1,4074,,2022-01-06 11:19:34.110,2022-01-06 11:19:34.110,1
4044,1,"68c00891-b55f-46cf-a82b-2eee4ffd4df1",True,1,1,1,False,489,565,2,12,114,1,1,4076,,2022-01-07 13:40:54.546,2022-01-07 13:40:54.546,1
4622,1,"c684a9df-8178-470c-a19c-4cafccab416e",True,1,1,1,False,492,4559,2,480,551,1,1,4623,,2022-01-07 07:28:32.596,2022-01-07 07:28:32.596,1
