ID,ModelID,Name,IsActive,Type,CrossFilteringBehavior,JoinOnDateBehavior,RelyOnReferentialIntegrity,FromTableID,FromColumnID,FromCardinality,ToTableID,ToColumnID,ToCardinality,State,RelationshipStorageID,RelationshipStorage2ID,ModifiedTime,RefreshedTime,SecurityFilteringBehavior
2355,1,"19d582af-8359-4dd0-a475-ef705e42c88a",True,1,2,1,False,31,105,1,61,125,1,1,2356,2358,2022-04-02 21:41:17.476,2022-04-02 21:41:17.476,1
2388,1,"25f811b1-290a-4007-8b77-2ee2d97e8576",True,1,2,1,False,52,119,1,61,125,1,1,2389,2391,2022-04-02 21:41:21.496,2022-04-02 21:41:21.496,1
2421,1,"92decacd-537f-41ba-ad0d-231333fe7609",True,1,2,1,False,58,123,1,61,125,1,1,2422,2424,2022-04-02 21:41:26.233,2022-04-02 21:41:26.233,1
2454,1,"7d4476ba-6db9-4480-aa8d-a214b9d7f535",True,1,2,1,False,37,109,1,61,125,1,1,2455,2457,2022-04-02 21:41:30.416,2022-04-02 21:41:30.416,1
2487,1,"a944c17b-6827-4e42-bf7e-4111ad8741ef",True,1,2,1,False,34,107,1,61,125,1,1,2488,2490,2022-04-02 21:41:36.990,2022-04-02 21:41:36.990,1
2520,1,"f5a38d62-b824-4482-be5e-2b14b9dd1aa6",True,1,2,1,False,13,92,1,61,125,1,1,2521,2523,2022-04-02 21:41:46.766,2022-04-02 21:41:46.766,1
2553,1,"33d22dd6-96e7-4afe-85c8-6e48002925ba",True,1,2,1,False,16,94,1,61,125,1,1,2554,2556,2022-04-02 21:41:50.296,2022-04-02 21:41:50.296,1
2586,1,"dab415ea-679f-4349-8b67-27d40d994c82",True,1,2,1,False,40,111,1,61,125,1,1,2587,2589,2022-04-02 21:41:53.593,2022-04-02 21:41:53.593,1
2619,1,"7f889675-f77a-4643-9e41-abe37fafdcd5",True,1,2,1,False,46,115,1,61,125,1,1,2620,2622,2022-04-02 21:42:05.333,2022-04-02 21:42:05.333,1
2652,1,"9e8e9c95-db3f-4be6-8744-e0e93c4ef2b7",True,1,2,1,False,28,103,1,61,125,1,1,2653,2655,2022-04-02 21:42:10.840,2022-04-02 21:42:10.840,1
2685,1,"97e7a7b6-c9d0-4d4a-8cad-e35cdc002da9",True,1,2,1,False,10,90,1,61,125,1,1,2686,2688,2022-04-02 21:42:16.073,2022-04-02 21:42:16.073,1
2718,1,"6a8719a9-db83-4706-aa55-1ad7745e122b",True,1,2,1,False,43,113,1,61,125,1,1,2719,2721,2022-04-02 21:42:21.610,2022-04-02 21:42:21.610,1
2751,1,"f0573486-7cc1-4856-bbef-ccae40c5a4b1",True,1,2,1,False,25,101,1,61,125,1,1,2752,2754,2022-04-02 21:42:28.216,2022-04-02 21:42:28.216,1
2784,1,"9f0e01d0-4c63-45d3-8934-28ec5abacb05",True,1,1,1,False,61,130,2,49,117,1,1,2785,,2022-04-02 21:43:40.233,2022-04-02 21:43:40.233,1
2801,1,"7cfb33c8-9a3e-4570-80c2-e0b1571d7196",True,1,1,1,False,61,129,2,55,121,1,1,2802,,2022-04-02 21:43:45.430,2022-04-02 21:43:45.430,1
2818,1,"0b68e5cc-5ab4-47ed-a2d2-3b37adc4e7ef",True,1,1,1,False,61,128,2,19,96,1,1,2819,,2022-04-02 21:43:51.620,2022-04-02 21:43:51.620,1
2856,1,"a2844763-559e-4682-b223-749fea03734e",True,1,1,1,False,64,134,2,22,100,1,1,2857,,2022-04-02 22:10:58.116,2022-04-02 22:10:58.116,1
2945,1,"949797ed-8de6-473a-b15c-97be03b0d284",True,1,2,1,False,22,100,1,67,137,1,1,2946,2948,2022-04-03 23:18:49.540,2022-04-03 23:18:49.540,1
3011,1,"3d80c276-615c-465b-b37b-ad334cd0bef0",False,1,1,1,False,64,134,2,67,137,1,1,3012,,2022-04-03 23:24:12.766,2022-04-03 23:24:12.766,1
3065,1,"831699d9-eaad-433e-8c46-2b2cd4060979",True,1,2,1,False,22,99,2,61,129,2,1,,,2022-04-03 23:45:39.320,1699-12-31 00:00:00.000,1
