Store,variable,value
1,2016-01-01 00:00:00.000,18176000
10,2016-01-01 00:00:00.000,189800
11,2016-01-01 00:00:00.000,151140
12,2016-01-01 00:00:00.000,206500
2,2016-01-01 00:00:00.000,23030000
3,2016-01-01 00:00:00.000,12288000
4,2016-01-01 00:00:00.000,17784000
5,2016-01-01 00:00:00.000,15750000
6,2016-01-01 00:00:00.000,232170
7,2016-01-01 00:00:00.000,161170
8,2016-01-01 00:00:00.000,151840
9,2016-01-01 00:00:00.000,229840
1,2016-02-01 00:00:00.000,121200
10,2016-02-01 00:00:00.000,147950
11,2016-02-01 00:00:00.000,219120
12,2016-02-01 00:00:00.000,142500
2,2016-02-01 00:00:00.000,12352000
3,2016-02-01 00:00:00.000,25795000
4,2016-02-01 00:00:00.000,17352000
5,2016-02-01 00:00:00.000,16920000
6,2016-02-01 00:00:00.000,255020
7,2016-02-01 00:00:00.000,147700
8,2016-02-01 00:00:00.000,218120
9,2016-02-01 00:00:00.000,122200
1,2016-03-01 00:00:00.000,152800
10,2016-03-01 00:00:00.000,217440
11,2016-03-01 00:00:00.000,177590
12,2016-03-01 00:00:00.000,216320
2,2016-03-01 00:00:00.000,17360000
3,2016-03-01 00:00:00.000,14950000
4,2016-03-01 00:00:00.000,21372000
5,2016-03-01 00:00:00.000,14637000
6,2016-03-01 00:00:00.000,246820
7,2016-03-01 00:00:00.000,204600
8,2016-03-01 00:00:00.000,241980
9,2016-03-01 00:00:00.000,266230
1,2016-04-01 00:00:00.000,168270
10,2016-04-01 00:00:00.000,208620
11,2016-04-01 00:00:00.000,160580
12,2016-04-01 00:00:00.000,132840
2,2016-04-01 00:00:00.000,17748000
3,2016-04-01 00:00:00.000,18212000
4,2016-04-01 00:00:00.000,14840000
5,2016-04-01 00:00:00.000,23310000
6,2016-04-01 00:00:00.000,285420
7,2016-04-01 00:00:00.000,143640
8,2016-04-01 00:00:00.000,281400
9,2016-04-01 00:00:00.000,156750
1,2016-05-01 00:00:00.000,157880
10,2016-05-01 00:00:00.000,277020
11,2016-05-01 00:00:00.000,200970
12,2016-05-01 00:00:00.000,225250
2,2016-05-01 00:00:00.000,14012000
3,2016-05-01 00:00:00.000,18984000
4,2016-05-01 00:00:00.000,23800000
5,2016-05-01 00:00:00.000,15704000
6,2016-05-01 00:00:00.000,216410
7,2016-05-01 00:00:00.000,276360
8,2016-05-01 00:00:00.000,215670
9,2016-05-01 00:00:00.000,193120
1,2016-06-01 00:00:00.000,199020
10,2016-06-01 00:00:00.000,229400
11,2016-06-01 00:00:00.000,233600
12,2016-06-01 00:00:00.000,266600
2,2016-06-01 00:00:00.000,17325000
3,2016-06-01 00:00:00.000,22644000
4,2016-06-01 00:00:00.000,16200000
5,2016-06-01 00:00:00.000,15064000
6,2016-06-01 00:00:00.000,248070
7,2016-06-01 00:00:00.000,259560
8,2016-06-01 00:00:00.000,229600
9,2016-06-01 00:00:00.000,183230
1,2016-07-01 00:00:00.000,117180
10,2016-07-01 00:00:00.000,150040
11,2016-07-01 00:00:00.000,177870
12,2016-07-01 00:00:00.000,176860
2,2016-07-01 00:00:00.000,14592000
3,2016-07-01 00:00:00.000,18620000
4,2016-07-01 00:00:00.000,21328000
5,2016-07-01 00:00:00.000,15004000
6,2016-07-01 00:00:00.000,277870
7,2016-07-01 00:00:00.000,268320
8,2016-07-01 00:00:00.000,288150
9,2016-07-01 00:00:00.000,176330
1,2016-08-01 00:00:00.000,141010
10,2016-08-01 00:00:00.000,170940
11,2016-08-01 00:00:00.000,192340
12,2016-08-01 00:00:00.000,167250
2,2016-08-01 00:00:00.000,11285000
3,2016-08-01 00:00:00.000,18816000
4,2016-08-01 00:00:00.000,15028000
5,2016-08-01 00:00:00.000,17690000
6,2016-08-01 00:00:00.000,184440
7,2016-08-01 00:00:00.000,125240
8,2016-08-01 00:00:00.000,187200
9,2016-08-01 00:00:00.000,143480
1,2016-09-01 00:00:00.000,141750
10,2016-09-01 00:00:00.000,181560
11,2016-09-01 00:00:00.000,145550
12,2016-09-01 00:00:00.000,264000
2,2016-09-01 00:00:00.000,17136000
3,2016-09-01 00:00:00.000,19470000
4,2016-09-01 00:00:00.000,12025000
5,2016-09-01 00:00:00.000,16965000
6,2016-09-01 00:00:00.000,187270
7,2016-09-01 00:00:00.000,147420
8,2016-09-01 00:00:00.000,167440
9,2016-09-01 00:00:00.000,219000
1,2016-10-01 00:00:00.000,180750
10,2016-10-01 00:00:00.000,128040
11,2016-10-01 00:00:00.000,194220
12,2016-10-01 00:00:00.000,267190
2,2016-10-01 00:00:00.000,20640000
3,2016-10-01 00:00:00.000,11130000
4,2016-10-01 00:00:00.000,18172000
5,2016-10-01 00:00:00.000,18648000
6,2016-10-01 00:00:00.000,122850
7,2016-10-01 00:00:00.000,188100
8,2016-10-01 00:00:00.000,180180
9,2016-10-01 00:00:00.000,150080
1,2016-11-01 00:00:00.000,177480
10,2016-11-01 00:00:00.000,266630
11,2016-11-01 00:00:00.000,151840
12,2016-11-01 00:00:00.000,162150
2,2016-11-01 00:00:00.000,13671000
3,2016-11-01 00:00:00.000,18270000
4,2016-11-01 00:00:00.000,18850000
5,2016-11-01 00:00:00.000,13886000
6,2016-11-01 00:00:00.000,191100
7,2016-11-01 00:00:00.000,170850
8,2016-11-01 00:00:00.000,180420
9,2016-11-01 00:00:00.000,177450
1,2016-12-01 00:00:00.000,144840
10,2016-12-01 00:00:00.000,230040
11,2016-12-01 00:00:00.000,151200
12,2016-12-01 00:00:00.000,221250
2,2016-12-01 00:00:00.000,15142000
3,2016-12-01 00:00:00.000,10441000
4,2016-12-01 00:00:00.000,23944000
5,2016-12-01 00:00:00.000,20034000
6,2016-12-01 00:00:00.000,137020
7,2016-12-01 00:00:00.000,190450
8,2016-12-01 00:00:00.000,176400
9,2016-12-01 00:00:00.000,168800
1,2017-01-01 00:00:00.000,1051119
10,2017-01-01 00:00:00.000,943079
11,2017-01-01 00:00:00.000,803528
12,2017-01-01 00:00:00.000,803550
2,2017-01-01 00:00:00.000,10057360
3,2017-01-01 00:00:00.000,78304640
4,2017-01-01 00:00:00.000,22717100
5,2017-01-01 00:00:00.000,38818590
6,2017-01-01 00:00:00.000,1052649
7,2017-01-01 00:00:00.000,812226
8,2017-01-01 00:00:00.000,851449
9,2017-01-01 00:00:00.000,953843
1,2017-02-01 00:00:00.000,1077825
10,2017-02-01 00:00:00.000,988588
11,2017-02-01 00:00:00.000,867475
12,2017-02-01 00:00:00.000,852250
2,2017-02-01 00:00:00.000,14897600
3,2017-02-01 00:00:00.000,62635840
4,2017-02-01 00:00:00.000,25648740
5,2017-02-01 00:00:00.000,38909670
6,2017-02-01 00:00:00.000,1000625
7,2017-02-01 00:00:00.000,858688
8,2017-02-01 00:00:00.000,821265
9,2017-02-01 00:00:00.000,917646
1,2017-03-01 00:00:00.000,1043120
10,2017-03-01 00:00:00.000,957420
11,2017-03-01 00:00:00.000,801150
12,2017-03-01 00:00:00.000,892785
2,2017-03-01 00:00:00.000,29595650
3,2017-03-01 00:00:00.000,67051320
4,2017-03-01 00:00:00.000,28791180
5,2017-03-01 00:00:00.000,30720000
6,2017-03-01 00:00:00.000,1027711
7,2017-03-01 00:00:00.000,850423
8,2017-03-01 00:00:00.000,861013
9,2017-03-01 00:00:00.000,999732
1,2017-04-01 00:00:00.000,1068380
10,2017-04-01 00:00:00.000,900048
11,2017-04-01 00:00:00.000,643640
12,2017-04-01 00:00:00.000,640220
2,2017-04-01 00:00:00.000,24735000
3,2017-04-01 00:00:00.000,66307200
4,2017-04-01 00:00:00.000,22096800
5,2017-04-01 00:00:00.000,31985760
6,2017-04-01 00:00:00.000,1047784
7,2017-04-01 00:00:00.000,827398
8,2017-04-01 00:00:00.000,890017
9,2017-04-01 00:00:00.000,946896
1,2017-05-01 00:00:00.000,1061702
10,2017-05-01 00:00:00.000,938145
11,2017-05-01 00:00:00.000,836996
12,2017-05-01 00:00:00.000,625423
2,2017-05-01 00:00:00.000,21084500
3,2017-05-01 00:00:00.000,64229080
4,2017-05-01 00:00:00.000,23105680
5,2017-05-01 00:00:00.000,35838060
6,2017-05-01 00:00:00.000,1047820
7,2017-05-01 00:00:00.000,956164
8,2017-05-01 00:00:00.000,710774
9,2017-05-01 00:00:00.000,985850
1,2017-06-01 00:00:00.000,1008552
10,2017-06-01 00:00:00.000,944995
11,2017-06-01 00:00:00.000,644995
12,2017-06-01 00:00:00.000,691841
2,2017-06-01 00:00:00.000,25268500
3,2017-06-01 00:00:00.000,68265300
4,2017-06-01 00:00:00.000,26339050
5,2017-06-01 00:00:00.000,22259520
6,2017-06-01 00:00:00.000,972040
7,2017-06-01 00:00:00.000,902742
8,2017-06-01 00:00:00.000,787164
9,2017-06-01 00:00:00.000,900776
1,2017-07-01 00:00:00.000,1049537
10,2017-07-01 00:00:00.000,856118
11,2017-07-01 00:00:00.000,636397
12,2017-07-01 00:00:00.000,626854
2,2017-07-01 00:00:00.000,23362560
3,2017-07-01 00:00:00.000,82044160
4,2017-07-01 00:00:00.000,26205280
5,2017-07-01 00:00:00.000,22611160
6,2017-07-01 00:00:00.000,969728
7,2017-07-01 00:00:00.000,917872
8,2017-07-01 00:00:00.000,734404
9,2017-07-01 00:00:00.000,834594
1,2017-08-01 00:00:00.000,1080950
10,2017-08-01 00:00:00.000,870396
11,2017-08-01 00:00:00.000,645755
12,2017-08-01 00:00:00.000,617453
2,2017-08-01 00:00:00.000,27756160
3,2017-08-01 00:00:00.000,67307110
4,2017-08-01 00:00:00.000,25115870
5,2017-08-01 00:00:00.000,24806530
6,2017-08-01 00:00:00.000,904516
7,2017-08-01 00:00:00.000,931168
8,2017-08-01 00:00:00.000,726287
9,2017-08-01 00:00:00.000,884625
1,2017-09-01 00:00:00.000,1046015
10,2017-09-01 00:00:00.000,983562
11,2017-09-01 00:00:00.000,808697
12,2017-09-01 00:00:00.000,885182
2,2017-09-01 00:00:00.000,33309580
3,2017-09-01 00:00:00.000,60420000
4,2017-09-01 00:00:00.000,31728840
5,2017-09-01 00:00:00.000,31166820
6,2017-09-01 00:00:00.000,1021440
7,2017-09-01 00:00:00.000,914561
8,2017-09-01 00:00:00.000,742241
9,2017-09-01 00:00:00.000,929568
1,2017-10-01 00:00:00.000,1020606
10,2017-10-01 00:00:00.000,1000207
11,2017-10-01 00:00:00.000,862440
12,2017-10-01 00:00:00.000,887207
2,2017-10-01 00:00:00.000,35428760
3,2017-10-01 00:00:00.000,84644800
4,2017-10-01 00:00:00.000,37556000
5,2017-10-01 00:00:00.000,32096000
6,2017-10-01 00:00:00.000,1082268
7,2017-10-01 00:00:00.000,1028459
8,2017-10-01 00:00:00.000,787128
9,2017-10-01 00:00:00.000,1014594
1,2017-11-01 00:00:00.000,1033587
10,2017-11-01 00:00:00.000,1000655
11,2017-11-01 00:00:00.000,834707
12,2017-11-01 00:00:00.000,845185
2,2017-11-01 00:00:00.000,37325800
3,2017-11-01 00:00:00.000,83417720
4,2017-11-01 00:00:00.000,33926120
5,2017-11-01 00:00:00.000,48157970
6,2017-11-01 00:00:00.000,1018188
7,2017-11-01 00:00:00.000,1057945
8,2017-11-01 00:00:00.000,747860
9,2017-11-01 00:00:00.000,1075427
1,2017-12-01 00:00:00.000,1052942
10,2017-12-01 00:00:00.000,1050183
11,2017-12-01 00:00:00.000,854836
12,2017-12-01 00:00:00.000,872040
2,2017-12-01 00:00:00.000,33153480
3,2017-12-01 00:00:00.000,82409300
4,2017-12-01 00:00:00.000,38020880
5,2017-12-01 00:00:00.000,43002720
6,2017-12-01 00:00:00.000,1053970
7,2017-12-01 00:00:00.000,1026920
8,2017-12-01 00:00:00.000,709223
9,2017-12-01 00:00:00.000,1043485
