ID,Bins,variable,value
1001,Small,2011,5408.0
1002,Small,2011,4127.0
1003,Small,2011,6007.0
1004,Medium,2011,21256.0
1005,Small,2011,4035.0
1006,Small,2011,2129.0
1007,Small,2011,5661.0
1008,Small,2011,1802.0
1009,Medium,2011,15177.0
1010,Small,2011,8174.0
1011,Large,2011,29230.0
1011,Medium,2011,
1012,Small,2011,7440.0
1013,Small,2011,8823.0
1014,Small,2011,11353.0
1015,Small,2011,1614.0
1016,Small,2011,5073.0
1017,Small,2011,1168.0
1018,Small,2011,4234.0
1019,Small,2011,1584.0
1020,Small,2011,3388.0
1021,Small,2011,5591.0
1022,Large,2011,
1022,Medium,2011,20274.0
1023,Small,2011,7521.0
1024,Small,2011,6259.0
1025,Small,2011,7222.0
1026,Medium,2011,
1026,Small,2011,11456.0
1027,Small,2011,6098.0
1028,Medium,2011,11637.0
1028,Small,2011,
1029,Large,2011,33762.0
1030,Medium,2011,15473.0
1031,Medium,2011,16809.0
1032,Small,2011,890.0
1033,Small,2011,1818.0
1034,Small,2011,4011.0
1035,Small,2011,1172.0
1036,Small,2011,1388.0
1037,Medium,2011,18091.0
1038,Small,2011,323.0
1039,Small,2011,752.0
1040,Small,2011,5324.0
1041,Small,2011,2168.0
1042,Small,2011,2293.0
1043,Small,2011,1127.0
1044,Medium,2011,
1044,Small,2011,11142.0
1045,Small,2011,3846.0
1046,Small,2011,5186.0
1047,Small,2011,1766.0
1048,Medium,2011,11759.0
1048,Small,2011,
1049,Small,2011,2801.0
1050,Medium,2011,17859.0
1051,Small,2011,3633.0
1052,Small,2011,1032.0
1053,Medium,2011,13908.0
1054,Medium,2011,18901.0
1055,Small,2011,1102.0
1056,Small,2011,1060.0
1057,Small,2011,2054.0
1001,Small,2012,5575.0
1002,Small,2012,4043.0
1003,Small,2012,5494.0
1004,Medium,2012,20151.0
1005,Small,2012,3775.0
1006,Small,2012,2082.0
1007,Small,2012,5294.0
1008,Small,2012,1786.0
1009,Medium,2012,15123.0
1010,Small,2012,7642.0
1011,Large,2012,26613.0
1011,Medium,2012,
1012,Small,2012,6681.0
1013,Small,2012,7994.0
1014,Small,2012,10436.0
1015,Small,2012,1502.0
1016,Small,2012,5115.0
1017,Small,2012,1212.0
1018,Small,2012,4651.0
1019,Small,2012,1484.0
1020,Small,2012,3205.0
1021,Small,2012,5417.0
1022,Large,2012,
1022,Medium,2012,20628.0
1023,Small,2012,7645.0
1024,Small,2012,6056.0
1025,Small,2012,6830.0
1026,Medium,2012,11672.0
1026,Small,2012,
1027,Small,2012,6226.0
1028,Medium,2012,11878.0
1028,Small,2012,
1029,Large,2012,34704.0
1030,Medium,2012,15990.0
1031,Medium,2012,16705.0
1032,Small,2012,808.0
1033,Small,2012,1908.0
1034,Small,2012,4237.0
1035,Small,2012,1173.0
1036,Small,2012,1388.0
1037,Medium,2012,17830.0
1038,Small,2012,292.0
