Order ID,variable,value
1,Add-On Beverage Item [Arabic Cold Brew],
10,Add-On Beverage Item [Arabic Cold Brew],
1000,Add-On Beverage Item [Arabic Cold Brew],
1001,Add-On Beverage Item [Arabic Cold Brew],
1008,Add-On Beverage Item [Arabic Cold Brew],
1009,Add-On Beverage Item [Arabic Cold Brew],
1012,Add-On Beverage Item [Arabic Cold Brew],
1017,Add-On Beverage Item [Arabic Cold Brew],
1022,Add-On Beverage Item [Arabic Cold Brew],
1023,Add-On Beverage Item [Arabic Cold Brew],
1026,Add-On Beverage Item [Arabic Cold Brew],
1028,Add-On Beverage Item [Arabic Cold Brew],
1031,Add-On Beverage Item [Arabic Cold Brew],
1032,Add-On Beverage Item [Arabic Cold Brew],
1036,Add-On Beverage Item [Arabic Cold Brew],
1037,Add-On Beverage Item [Arabic Cold Brew],
1038,Add-On Beverage Item [Arabic Cold Brew],
1039,Add-On Beverage Item [Arabic Cold Brew],
1042,Add-On Beverage Item [Arabic Cold Brew],
1049,Add-On Beverage Item [Arabic Cold Brew],
1051,Add-On Beverage Item [Arabic Cold Brew],
1059,Add-On Beverage Item [Arabic Cold Brew],
1063,Add-On Beverage Item [Arabic Cold Brew],2.0
1065,Add-On Beverage Item [Arabic Cold Brew],
1068,Add-On Beverage Item [Arabic Cold Brew],
1069,Add-On Beverage Item [Arabic Cold Brew],
1073,Add-On Beverage Item [Arabic Cold Brew],
1075,Add-On Beverage Item [Arabic Cold Brew],
1080,Add-On Beverage Item [Arabic Cold Brew],
1082,Add-On Beverage Item [Arabic Cold Brew],
1083,Add-On Beverage Item [Arabic Cold Brew],
1084,Add-On Beverage Item [Arabic Cold Brew],
1085,Add-On Beverage Item [Arabic Cold Brew],
11,Add-On Beverage Item [Arabic Cold Brew],
110,Add-On Beverage Item [Arabic Cold Brew],
111,Add-On Beverage Item [Arabic Cold Brew],
112,Add-On Beverage Item [Arabic Cold Brew],
113,Add-On Beverage Item [Arabic Cold Brew],
114,Add-On Beverage Item [Arabic Cold Brew],
115,Add-On Beverage Item [Arabic Cold Brew],
116,Add-On Beverage Item [Arabic Cold Brew],
117,Add-On Beverage Item [Arabic Cold Brew],
12,Add-On Beverage Item [Arabic Cold Brew],
123,Add-On Beverage Item [Arabic Cold Brew],
126,Add-On Beverage Item [Arabic Cold Brew],
13,Add-On Beverage Item [Arabic Cold Brew],
136,Add-On Beverage Item [Arabic Cold Brew],
14,Add-On Beverage Item [Arabic Cold Brew],
144,Add-On Beverage Item [Arabic Cold Brew],
145,Add-On Beverage Item [Arabic Cold Brew],
146,Add-On Beverage Item [Arabic Cold Brew],
147,Add-On Beverage Item [Arabic Cold Brew],
148,Add-On Beverage Item [Arabic Cold Brew],
150,Add-On Beverage Item [Arabic Cold Brew],
151,Add-On Beverage Item [Arabic Cold Brew],
152,Add-On Beverage Item [Arabic Cold Brew],
153,Add-On Beverage Item [Arabic Cold Brew],
154,Add-On Beverage Item [Arabic Cold Brew],
156,Add-On Beverage Item [Arabic Cold Brew],
161,Add-On Beverage Item [Arabic Cold Brew],
165,Add-On Beverage Item [Arabic Cold Brew],
169,Add-On Beverage Item [Arabic Cold Brew],
17,Add-On Beverage Item [Arabic Cold Brew],
171,Add-On Beverage Item [Arabic Cold Brew],
173,Add-On Beverage Item [Arabic Cold Brew],
177,Add-On Beverage Item [Arabic Cold Brew],
178,Add-On Beverage Item [Arabic Cold Brew],
179,Add-On Beverage Item [Arabic Cold Brew],
180,Add-On Beverage Item [Arabic Cold Brew],
185,Add-On Beverage Item [Arabic Cold Brew],
192,Add-On Beverage Item [Arabic Cold Brew],
195,Add-On Beverage Item [Arabic Cold Brew],
197,Add-On Beverage Item [Arabic Cold Brew],
198,Add-On Beverage Item [Arabic Cold Brew],
2,Add-On Beverage Item [Arabic Cold Brew],4.0
20,Add-On Beverage Item [Arabic Cold Brew],
202,Add-On Beverage Item [Arabic Cold Brew],
203,Add-On Beverage Item [Arabic Cold Brew],
204,Add-On Beverage Item [Arabic Cold Brew],
206,Add-On Beverage Item [Arabic Cold Brew],
214,Add-On Beverage Item [Arabic Cold Brew],
215,Add-On Beverage Item [Arabic Cold Brew],
217,Add-On Beverage Item [Arabic Cold Brew],
218,Add-On Beverage Item [Arabic Cold Brew],
219,Add-On Beverage Item [Arabic Cold Brew],
22,Add-On Beverage Item [Arabic Cold Brew],
226,Add-On Beverage Item [Arabic Cold Brew],
23,Add-On Beverage Item [Arabic Cold Brew],
230,Add-On Beverage Item [Arabic Cold Brew],
231,Add-On Beverage Item [Arabic Cold Brew],
237,Add-On Beverage Item [Arabic Cold Brew],
239,Add-On Beverage Item [Arabic Cold Brew],
24,Add-On Beverage Item [Arabic Cold Brew],
240,Add-On Beverage Item [Arabic Cold Brew],
241,Add-On Beverage Item [Arabic Cold Brew],
243,Add-On Beverage Item [Arabic Cold Brew],
244,Add-On Beverage Item [Arabic Cold Brew],
245,Add-On Beverage Item [Arabic Cold Brew],
246,Add-On Beverage Item [Arabic Cold Brew],
249,Add-On Beverage Item [Arabic Cold Brew],
252,Add-On Beverage Item [Arabic Cold Brew],
254,Add-On Beverage Item [Arabic Cold Brew],
255,Add-On Beverage Item [Arabic Cold Brew],
256,Add-On Beverage Item [Arabic Cold Brew],
258,Add-On Beverage Item [Arabic Cold Brew],
26,Add-On Beverage Item [Arabic Cold Brew],
260,Add-On Beverage Item [Arabic Cold Brew],
268,Add-On Beverage Item [Arabic Cold Brew],
269,Add-On Beverage Item [Arabic Cold Brew],
277,Add-On Beverage Item [Arabic Cold Brew],
283,Add-On Beverage Item [Arabic Cold Brew],
288,Add-On Beverage Item [Arabic Cold Brew],
290,Add-On Beverage Item [Arabic Cold Brew],
291,Add-On Beverage Item [Arabic Cold Brew],
292,Add-On Beverage Item [Arabic Cold Brew],
294,Add-On Beverage Item [Arabic Cold Brew],
295,Add-On Beverage Item [Arabic Cold Brew],
296,Add-On Beverage Item [Arabic Cold Brew],
297,Add-On Beverage Item [Arabic Cold Brew],
298,Add-On Beverage Item [Arabic Cold Brew],
300,Add-On Beverage Item [Arabic Cold Brew],
302,Add-On Beverage Item [Arabic Cold Brew],
304,Add-On Beverage Item [Arabic Cold Brew],
305,Add-On Beverage Item [Arabic Cold Brew],
307,Add-On Beverage Item [Arabic Cold Brew],
309,Add-On Beverage Item [Arabic Cold Brew],
310,Add-On Beverage Item [Arabic Cold Brew],
311,Add-On Beverage Item [Arabic Cold Brew],
312,Add-On Beverage Item [Arabic Cold Brew],
313,Add-On Beverage Item [Arabic Cold Brew],
315,Add-On Beverage Item [Arabic Cold Brew],
316,Add-On Beverage Item [Arabic Cold Brew],
317,Add-On Beverage Item [Arabic Cold Brew],
318,Add-On Beverage Item [Arabic Cold Brew],
326,Add-On Beverage Item [Arabic Cold Brew],
327,Add-On Beverage Item [Arabic Cold Brew],
328,Add-On Beverage Item [Arabic Cold Brew],
329,Add-On Beverage Item [Arabic Cold Brew],
33,Add-On Beverage Item [Arabic Cold Brew],
330,Add-On Beverage Item [Arabic Cold Brew],
331,Add-On Beverage Item [Arabic Cold Brew],
332,Add-On Beverage Item [Arabic Cold Brew],
333,Add-On Beverage Item [Arabic Cold Brew],
335,Add-On Beverage Item [Arabic Cold Brew],
337,Add-On Beverage Item [Arabic Cold Brew],
339,Add-On Beverage Item [Arabic Cold Brew],
340,Add-On Beverage Item [Arabic Cold Brew],
341,Add-On Beverage Item [Arabic Cold Brew],
342,Add-On Beverage Item [Arabic Cold Brew],
344,Add-On Beverage Item [Arabic Cold Brew],
345,Add-On Beverage Item [Arabic Cold Brew],
349,Add-On Beverage Item [Arabic Cold Brew],
35,Add-On Beverage Item [Arabic Cold Brew],
350,Add-On Beverage Item [Arabic Cold Brew],
351,Add-On Beverage Item [Arabic Cold Brew],
353,Add-On Beverage Item [Arabic Cold Brew],
36,Add-On Beverage Item [Arabic Cold Brew],
360,Add-On Beverage Item [Arabic Cold Brew],
361,Add-On Beverage Item [Arabic Cold Brew],
362,Add-On Beverage Item [Arabic Cold Brew],
363,Add-On Beverage Item [Arabic Cold Brew],
364,Add-On Beverage Item [Arabic Cold Brew],
365,Add-On Beverage Item [Arabic Cold Brew],
366,Add-On Beverage Item [Arabic Cold Brew],
368,Add-On Beverage Item [Arabic Cold Brew],
37,Add-On Beverage Item [Arabic Cold Brew],
374,Add-On Beverage Item [Arabic Cold Brew],
375,Add-On Beverage Item [Arabic Cold Brew],
376,Add-On Beverage Item [Arabic Cold Brew],
377,Add-On Beverage Item [Arabic Cold Brew],
378,Add-On Beverage Item [Arabic Cold Brew],
379,Add-On Beverage Item [Arabic Cold Brew],
38,Add-On Beverage Item [Arabic Cold Brew],
383,Add-On Beverage Item [Arabic Cold Brew],
384,Add-On Beverage Item [Arabic Cold Brew],
389,Add-On Beverage Item [Arabic Cold Brew],
39,Add-On Beverage Item [Arabic Cold Brew],
393,Add-On Beverage Item [Arabic Cold Brew],
395,Add-On Beverage Item [Arabic Cold Brew],
396,Add-On Beverage Item [Arabic Cold Brew],
40,Add-On Beverage Item [Arabic Cold Brew],
400,Add-On Beverage Item [Arabic Cold Brew],
401,Add-On Beverage Item [Arabic Cold Brew],
402,Add-On Beverage Item [Arabic Cold Brew],
403,Add-On Beverage Item [Arabic Cold Brew],
404,Add-On Beverage Item [Arabic Cold Brew],
