Year,variable,value
1900,AK,
1901,AK,
1902,AK,
1903,AK,
1904,AK,
1905,AK,
1906,AK,
1907,AK,
1908,AK,
1909,AK,
1910,AK,
1911,AK,
1912,AK,
1913,AK,
1914,AK,
1915,AK,
1916,AK,
1917,AK,
1918,AK,
1919,AK,
1920,AK,
1921,AK,
1922,AK,
1923,AK,
1924,AK,
1925,AK,
1926,AK,
1927,AK,
1928,AK,
1929,AK,
1930,AK,
1931,AK,
1932,AK,
1933,AK,
1934,AK,
1935,AK,
1936,AK,
1937,AK,
1938,AK,
1939,AK,
1940,AK,
1941,AK,
1942,AK,
1943,AK,
1944,AK,
1945,AK,
1946,AK,
1947,AK,
1948,AK,
1949,AK,
1950,AK,135000.0
1951,AK,158000.0
1952,AK,189000.0
1953,AK,205000.0
1954,AK,215000.0
1955,AK,222000.0
1956,AK,224000.0
1957,AK,231000.0
1958,AK,224000.0
1959,AK,224000.0
1960,AK,229000.0
1961,AK,238000.0
1962,AK,246000.0
1963,AK,256000.0
1964,AK,263000.0
1965,AK,271000.0
1966,AK,271000.0
1967,AK,278000.0
1968,AK,285000.0
1969,AK,296000.0
1970,AK,302583.0
1971,AK,315510.0
1972,AK,324464.0
1973,AK,330543.0
1974,AK,341063.0
1975,AK,376170.0
1976,AK,400969.0
1977,AK,403436.0
1978,AK,404766.0
1979,AK,402753.0
1980,AK,405315.0
1981,AK,418491.0
1982,AK,449606.0
1983,AK,488417.0
1984,AK,513702.0
1985,AK,532495.0
1986,AK,544268.0
1987,AK,539309.0
1988,AK,541983.0
1989,AK,547159.0
1990,AK,553120.0
1991,AK,569273.0
1992,AK,587073.0
1993,AK,596993.0
1994,AK,600624.0
1995,AK,601345.0
1996,AK,604918.0
1997,AK,608846.0
1998,AK,615205.0
1999,AK,619500.0
2000,AK,627963.0
2001,AK,633714.0
2002,AK,642337.0
2003,AK,648414.0
2004,AK,659286.0
2005,AK,666946.0
2006,AK,675302.0
2007,AK,680300.0
2008,AK,687455.0
2009,AK,698895.0
2010,AK,713856.0
2011,AK,722572.0
2012,AK,731081.0
2013,AK,737259.0
2014,AK,736732.0
2015,AK,738432.0
1900,AL,1830000.0
1901,AL,1907000.0
1902,AL,1935000.0
1903,AL,1957000.0
1904,AL,1978000.0
1905,AL,2012000.0
1906,AL,2045000.0
1907,AL,2058000.0
1908,AL,2070000.0
1909,AL,2108000.0
1910,AL,2150000.0
1911,AL,2185000.0
1912,AL,2217000.0
1913,AL,2279000.0
1914,AL,2336000.0
1915,AL,2345000.0
