ManufacturerID,Manufacturer,Logo,Manufacturer (groups)
1,Abbas,https://raw.githubusercontent.com/CharlesSterling/DiadManu/master/Abbas.png,Other
2,Aliqui,https://raw.githubusercontent.com/CharlesSterling/DiadManu/master/Aliqui.png,Top Competitors
3,Barba,https://raw.githubusercontent.com/CharlesSterling/DiadManu/master/Barba.png,Other
4,Currus,https://raw.githubusercontent.com/CharlesSterling/DiadManu/master/Currus.png,Top Competitors
5,Fama,https://raw.githubusercontent.com/CharlesSterling/DiadManu/master/Fama.png,Other
6,Leo,https://raw.githubusercontent.com/CharlesSterling/DiadManu/master/Leo.png,Other
7,VanArsdel,https://raw.githubusercontent.com/CharlesSterling/DiadManu/master/Vanarsdel.png,VanArsdel
8,Natura,https://raw.githubusercontent.com/CharlesSterling/DiadManu/master/Natura.png,Top Competitors
9,Palma,https://raw.githubusercontent.com/CharlesSterling/DiadManu/master/Palma.png,Other
10,Pirum,https://raw.githubusercontent.com/CharlesSterling/DiadManu/master/Pirum.png,Top Competitors
11,Pomum,https://raw.githubusercontent.com/CharlesSterling/DiadManu/master/Pomum.png,Other
12,Quibus,https://raw.githubusercontent.com/CharlesSterling/DiadManu/master/Quibus.png,Other
13,Salvus,https://raw.githubusercontent.com/CharlesSterling/DiadManu/master/Salvus.png,Other
14,Victoria,https://raw.githubusercontent.com/CharlesSterling/DiadManu/master/Victoria.png,Other
