Proffessor ID,variable,value
T001,B.Tech,Yes
T002,B.Tech,Yes
T003,B.Tech,Yes
T004,B.Tech,Yes
T005,B.Tech,Yes
T006,B.Tech,Yes
T007,B.Tech,No
T008,B.Tech,No
T009,B.Tech,No
T001,B.Sc,No
T002,B.Sc,No
T003,B.Sc,No
T004,B.Sc,No
T005,B.Sc,No
T006,B.Sc,No
T007,B.Sc,Yes
T008,B.Sc,Yes
T009,B.Sc,Yes
T001,M.Tech,No
T002,M.Tech,No
T003,M.Tech,Yes
T004,M.Tech,Yes
T005,M.Tech,Yes
T006,M.Tech,No
T007,M.Tech,No
T008,M.Tech,No
T009,M.Tech,No
T001,M.Sc,No
T002,M.Sc,No
T003,M.Sc,No
T004,M.Sc,No
T005,M.Sc,No
T006,M.Sc,Yes
T007,M.Sc,Yes
T008,M.Sc,Yes
T009,M.Sc,Yes
T001,Ph.D,Yes
T002,Ph.D,Yes
T003,Ph.D,Yes
T004,Ph.D,Yes
T005,Ph.D,No
T006,Ph.D,No
T007,Ph.D,No
T008,Ph.D,Yes
T009,Ph.D,No
