id,calc_latest_project_status.end_date,calc_latest_project_status.project_status_metadata.status_name,calc_latest_project_status.project_status_metadata.status_order,calc_latest_project_status.start_date,calc_latest_project_status.top_level_status,is_da,years_in_status
001e30af-518b-429b-a61b-a02f9957a878,,Under entitlement review,0,2019-05-22 00:00:00.000,under_entitlement_review,FALSE,3
0032474b-1727-41fa-931d-57cbc2f67cae,,Under construction,3,2019-07-19 00:00:00.000,under_construction,FALSE,3
0044b881-381c-4060-b07a-55cd3b3065a0,,"Entitled, not yet filed for permits",1,2019-03-06 00:00:00.000,entitled,FALSE,3
00527b1c-3afa-4750-a878-3b23989ab20d,,Completed,4,2009-11-16 00:00:00.000,completed_construction,FALSE,13
0059432f-68de-45be-9928-d1c8ae967de2,,Completed,4,2001-10-26 00:00:00.000,completed_construction,FALSE,21
006133b9-9da1-4814-947c-c3eb3d2b6ac3,,Under construction,3,2019-12-12 00:00:00.000,under_construction,FALSE,3
006252d4-60ba-40df-bfd5-a56d4e86db2f,,Under construction,3,2004-04-28 00:00:00.000,under_construction,FALSE,18
00717d57-8d45-44c4-b678-ac160a54bf4e,,"Entitled, filed for permits",2,2016-05-04 00:00:00.000,filed_for_permits,FALSE,6
007432cb-ba48-4254-9256-4a376d7049f8,,Completed,4,1993-06-01 00:00:00.000,completed_construction,FALSE,29
0079b2ea-778d-492d-92dc-3507b221c12e,,"Entitled, filed for permits",2,2016-12-27 00:00:00.000,filed_for_permits,FALSE,6
00879d7d-b2c3-4351-919c-4a43a8ea599f,,Under construction,3,2017-11-30 00:00:00.000,under_construction,FALSE,5
009118d6-eded-4020-a351-b9192b956c41,,Under construction,3,2019-08-08 00:00:00.000,under_construction,FALSE,3
0092b50c-5fda-4112-8bdd-aa4ab56aea02,,Under construction,3,2001-11-06 00:00:00.000,under_construction,FALSE,21
00934fab-7c9e-44da-ba62-380fb551573d,,"Entitled, filed for permits",2,2017-06-05 00:00:00.000,filed_for_permits,FALSE,5
0096da8f-90bd-49af-a0bc-6e0713b91c7d,,Under construction,3,2001-12-17 00:00:00.000,under_construction,FALSE,21
009dd0ed-6903-43ea-baca-147a19920c32,,Completed,4,2018-06-25 00:00:00.000,completed_construction,FALSE,4
00b8b515-516c-450a-b325-c391c3e82264,,Completed,4,2004-02-17 00:00:00.000,completed_construction,FALSE,18
00c868af-0daf-4734-be9c-c1a53552f5c6,,Completed,4,2015-07-24 00:00:00.000,completed_construction,FALSE,7
00cb75ef-cd76-4019-b3bf-6ac4b762a635,,Completed,4,2019-10-09 00:00:00.000,completed_construction,FALSE,3
00deb217-532e-427c-8172-f0cc5a526c57,,"Entitled, not yet filed for permits",1,1993-07-19 00:00:00.000,entitled,FALSE,29
00df3eb3-83ea-4e96-95f6-c1d87a17228d,,"Entitled, not yet filed for permits",1,2008-10-03 00:00:00.000,entitled,FALSE,14
00e22267-5311-4334-89fc-9f2121c62216,,"Entitled, filed for permits",2,2019-05-16 00:00:00.000,filed_for_permits,FALSE,3
00e4e210-1bbb-406b-8d4d-4b568a7efb9b,,"Entitled, not yet filed for permits",1,2017-05-16 00:00:00.000,entitled,FALSE,5
00e6d81d-6289-4809-81b4-a5ed8fd6b74a,,Completed,4,2018-06-27 00:00:00.000,completed_construction,FALSE,4
00e806c6-3b1a-4ae5-b68f-c44f0557f80f,,"Entitled, not yet filed for permits",1,2006-08-23 00:00:00.000,entitled,FALSE,16
00ebf0c1-f48f-4b0c-a524-102725a65429,,Under construction,3,2019-08-12 00:00:00.000,under_construction,FALSE,3
00f05e08-abb8-4b03-83ba-43f4c3c4cb1e,,"Entitled, filed for permits",2,2015-03-03 00:00:00.000,filed_for_permits,FALSE,7
00f4ff2f-9cc4-4295-a6d1-8485a2b5d1c8,,"Entitled, filed for permits",2,2020-02-05 00:00:00.000,filed_for_permits,FALSE,2
00fc8921-2650-4592-aca3-5f38a315a649,,"Entitled, not yet filed for permits",1,2005-05-24 00:00:00.000,entitled,FALSE,17
010d12c7-e369-4350-af5c-28140f2ea48f,,"Entitled, filed for permits",2,2019-03-08 00:00:00.000,filed_for_permits,FALSE,3
010ef089-6445-4053-8d64-ceba82954b8b,,"Entitled, not yet filed for permits",1,2015-08-04 00:00:00.000,entitled,FALSE,7
0113aacc-67b2-4a2a-bec1-c6061f860475,,Under construction,3,2018-06-04 00:00:00.000,under_construction,FALSE,4
011f1b69-c290-4cce-934b-fbbeb9654072,,Completed,4,1994-01-25 00:00:00.000,completed_construction,FALSE,28
0126d7c7-8a6b-4d10-b2af-ee5a90ea56f2,,Completed,4,1993-12-03 00:00:00.000,completed_construction,FALSE,29
012c0426-1e86-4088-9018-70385061710a,,"Entitled, not yet filed for permits",1,2006-05-04 00:00:00.000,entitled,FALSE,16
012c3580-9b13-452d-be3e-52a77fd01dc0,,"Entitled, not yet filed for permits",1,2006-10-18 00:00:00.000,entitled,FALSE,16
0133a68f-f7ef-4d06-a8be-c848a058050a,,Completed,4,2002-02-13 00:00:00.000,completed_construction,FALSE,20
01389e9d-f828-46ab-a344-5c95f67e988d,,"Entitled, not yet filed for permits",1,2005-01-28 00:00:00.000,entitled,FALSE,17
0138b4af-2549-4705-85c7-78b7cafe1672,,Completed,4,2004-12-13 00:00:00.000,completed_construction,FALSE,18
013ad76e-038c-442d-8234-3f1bb756be7d,,"Entitled, not yet filed for permits",1,2005-12-14 00:00:00.000,entitled,FALSE,17
013b5cb0-a323-440a-847d-59e5aa8d64a5,,"Entitled, not yet filed for permits",1,2011-05-19 00:00:00.000,entitled,FALSE,11
016b38fb-4a35-4bdb-a852-a9182b0f7840,,Completed,4,2008-01-07 00:00:00.000,completed_construction,FALSE,14
0170f9cc-0fac-430c-8e84-5b9573faf72c,2018-01-22 00:00:00.000,"Entitled, not yet filed for permits",1,2018-01-22 00:00:00.000,entitled,FALSE,4
01716a84-dce5-4643-b94c-e270e470f11a,,"Entitled, filed for permits",2,2017-02-17 00:00:00.000,filed_for_permits,FALSE,5
