Title,Date,Average Salary,Salary
Business Analyst,2020-02-01 00:00:00.000,204.0,204000.0
Business Analyst,2020-05-01 00:00:00.000,130.5,130500.0
Business Analyst,2020-06-01 00:00:00.000,137.5,137500.0
Business Analyst,2020-07-01 00:00:00.000,120.391,120391.0
Business Analyst,2020-08-01 00:00:00.000,117.617,117617.0
Business Analyst,2020-09-01 00:00:00.000,112.213,112213.0
Business Analyst,2020-10-01 00:00:00.000,141.784,141784.0
Business Analyst,2020-11-01 00:00:00.000,113.889,113889.0
Business Analyst,2020-12-01 00:00:00.000,102.85,102850.0
Data Scientist,2020-01-01 00:00:00.000,221.568,221568.0
Data Scientist,2020-02-01 00:00:00.000,221.028,221028.0
Data Scientist,2020-03-01 00:00:00.000,206.086,206086.0
Data Scientist,2020-04-01 00:00:00.000,218.125,218125.0
Data Scientist,2020-05-01 00:00:00.000,191.511,191511.0
Data Scientist,2020-06-01 00:00:00.000,196.944,196944.0
Data Scientist,2020-07-01 00:00:00.000,163.915,163915.0
Data Scientist,2020-08-01 00:00:00.000,207.978,207978.0
Data Scientist,2020-09-01 00:00:00.000,183.714,183714.0
Data Scientist,2020-10-01 00:00:00.000,193.926,193926.0
Data Scientist,2020-11-01 00:00:00.000,186.656,186656.0
Data Scientist,2020-12-01 00:00:00.000,197.633,197633.0
Hardware Engineer,2020-01-01 00:00:00.000,256.667,256667.0
Hardware Engineer,2020-02-01 00:00:00.000,228.294,228294.0
Hardware Engineer,2020-03-01 00:00:00.000,207.867,207867.0
Hardware Engineer,2020-04-01 00:00:00.000,237.44,237440.0
Hardware Engineer,2020-05-01 00:00:00.000,207.897,207897.0
Hardware Engineer,2020-06-01 00:00:00.000,244.588,244588.0
Hardware Engineer,2020-07-01 00:00:00.000,203.27,203270.0
Hardware Engineer,2020-08-01 00:00:00.000,191.383,191383.0
Hardware Engineer,2020-09-01 00:00:00.000,204.772,204772.0
Hardware Engineer,2020-10-01 00:00:00.000,199.672,199672.0
Hardware Engineer,2020-11-01 00:00:00.000,202.097,202097.0
Hardware Engineer,2020-12-01 00:00:00.000,201.891,201891.0
Human Resources,2020-07-01 00:00:00.000,162.75,162750.0
Human Resources,2020-08-01 00:00:00.000,170.15,170150.0
Human Resources,2020-09-01 00:00:00.000,218.15,218150.0
Human Resources,2020-10-01 00:00:00.000,174.0,174000.0
Human Resources,2020-11-01 00:00:00.000,219.818,219818.0
Human Resources,2020-12-01 00:00:00.000,216.571,216571.0
Management Consultant,2020-03-01 00:00:00.000,138.167,138167.0
Management Consultant,2020-04-01 00:00:00.000,181.353,181353.0
Management Consultant,2020-05-01 00:00:00.000,174.188,174188.0
Management Consultant,2020-06-01 00:00:00.000,171.167,171167.0
Management Consultant,2020-07-01 00:00:00.000,157.5,157500.0
Management Consultant,2020-08-01 00:00:00.000,142.848,142848.0
Management Consultant,2020-09-01 00:00:00.000,161.723,161723.0
Management Consultant,2020-10-01 00:00:00.000,168.559,168559.0
Management Consultant,2020-11-01 00:00:00.000,133.63,133630.0
Management Consultant,2020-12-01 00:00:00.000,140.0,140000.0
Marketing,2020-01-01 00:00:00.000,275.0,275000.0
Marketing,2020-07-01 00:00:00.000,153.053,153053.0
Marketing,2020-08-01 00:00:00.000,173.355,173355.0
Marketing,2020-09-01 00:00:00.000,220.176,220176.0
Marketing,2020-10-01 00:00:00.000,187.595,187595.0
Marketing,2020-11-01 00:00:00.000,198.238,198238.0
