Year,County and Region,Disposable Income per Person,Disposable Income per Person (excluding Rent),Inter-annual variation,Total Income per Person
2000,Carlow,11617.0,10800.0,0.0,16034.0
2000,Cavan,10994.0,10335.0,0.0,14981.0
2000,Clare,12171.0,11371.0,0.0,17022.0
2000,Cork,12172.0,11234.0,0.0,16946.0
2000,Donegal,10217.0,9600.0,0.0,13410.0
2000,Dublin,14533.0,13144.0,0.0,21451.0
2000,Galway,11865.0,10810.0,0.0,15962.0
2000,Kerry,10774.0,10061.0,0.0,14296.0
2000,Kildare,13360.0,12282.0,0.0,19854.0
2000,Kilkenny,11080.0,10333.0,0.0,15050.0
2000,Laois,11257.0,10523.0,0.0,15733.0
2000,Leitrim,11071.0,10329.0,0.0,14772.0
2000,Limerick,12576.0,11664.0,0.0,17443.0
2000,Longford,11518.0,10836.0,0.0,15313.0
2000,Louth,12518.0,11619.0,0.0,18245.0
2000,Mayo,11572.0,10835.0,0.0,15483.0
2000,Meath,12421.0,11449.0,0.0,18043.0
2000,Midland,11500.0,10743.0,0.0,15941.0
2000,Monaghan,10981.0,10331.0,0.0,14868.0
2000,Offaly,11063.0,10360.0,0.0,15202.0
2000,Roscommon,11558.0,10826.0,0.0,15300.0
2000,Sligo,11202.0,10396.0,0.0,14983.0
2000,Tipperary,11407.0,10699.0,0.0,15361.0
2000,Waterford,12334.0,11530.0,0.0,17530.0
2000,Westmeath,12097.0,11235.0,0.0,17082.0
2000,Wexford,11461.0,10712.0,0.0,15508.0
2000,Wicklow,12467.0,11445.0,0.0,17717.0
2001,Carlow,12945.0,12192.0,0.1288888888888888,17487.0
2001,Cavan,12420.0,11850.0,0.1465892597968069,16518.0
2001,Clare,13469.0,12762.0,0.1223287309823234,18382.0
2001,Cork,13773.0,12892.0,0.1475876802563646,18811.0
2001,Donegal,11374.0,10812.0,0.12625,14585.0
2001,Dublin,16625.0,15272.0,0.1618989653073645,23946.0
2001,Galway,13245.0,12216.0,0.1300647548566142,17526.0
2001,Kerry,12166.0,11523.0,0.1453135871185766,15996.0
2001,Kildare,15120.0,14141.0,0.1513597134017261,21798.0
2001,Kilkenny,12278.0,11603.0,0.122907190554534,16316.0
2001,Laois,12537.0,11886.0,0.1295258006271975,17074.0
2001,Leitrim,12256.0,11564.0,0.1195662697260141,15861.0
2001,Limerick,14298.0,13473.0,0.1550925925925925,19728.0
2001,Longford,12932.0,12331.0,0.1379660391288298,16907.0
2001,Louth,14463.0,13642.0,0.1741113693088906,20466.0
2001,Mayo,12865.0,12197.0,0.125703737886479,16842.0
2001,Meath,14046.0,13168.0,0.150144117390165,19875.0
2001,Midland,12920.0,12248.0,0.1400912221911942,17552.0
2001,Monaghan,12315.0,11747.0,0.1370632078211208,16229.0
2001,Offaly,12423.0,11804.0,0.1393822393822393,16758.0
2001,Roscommon,12916.0,12262.0,0.1326436356918529,16829.0
2001,Sligo,12634.0,11889.0,0.1436129280492497,16601.0
2001,Tipperary,12963.0,12344.0,0.1537526871670249,17343.0
2001,Waterford,13718.0,13009.0,0.1282740676496097,18889.0
2001,Westmeath,13686.0,12916.0,0.1496217178460169,18967.0
2001,Wexford,12928.0,12247.0,0.1432972367438386,17272.0
2001,Wicklow,14288.0,13324.0,0.164176496286588,19867.0
2002,Carlow,13398.0,12840.0,0.0531496062992126,17555.0
2002,Cavan,13219.0,12882.0,0.0870886075949367,17484.0
2002,Clare,14170.0,13719.0,0.0749882463563704,19146.0
2002,Cork,14723.0,14072.0,0.0915296307787775,20200.0
2002,Donegal,12155.0,11760.0,0.0876803551609323,15318.0
2002,Dublin,17110.0,15770.0,0.0326086956521739,24457.0
2002,Galway,14136.0,13303.0,0.0889816633922724,18481.0
2002,Kerry,12974.0,12522.0,0.086696172871648,16811.0
2002,Kildare,15785.0,15079.0,0.0663319425783183,22814.0
2002,Kilkenny,13487.0,13014.0,0.1216064810824786,17647.0
2002,Laois,13569.0,13165.0,0.1076055864041729,18376.0
2002,Leitrim,13467.0,12948.0,0.1196817710134901,17257.0
2002,Limerick,14919.0,14293.0,0.0608624656720849,19868.0
2002,Longford,14367.0,13985.0,0.1341334847133241,18492.0
2002,Louth,14777.0,14232.0,0.0432487904999267,20997.0
2002,Mayo,13580.0,13129.0,0.0764122325161925,17513.0
2002,Meath,14606.0,13977.0,0.0614368165249088,20556.0
2002,Midland,13979.0,13543.0,0.105731548007838,18742.0
2002,Monaghan,13412.0,13038.0,0.1099004001021537,17355.0
2002,Offaly,13635.0,13230.0,0.1208065062690613,18093.0
2002,Roscommon,13878.0,13460.0,0.097700212037188,17872.0
2002,Sligo,13950.0,13422.0,0.1289427201614938,18373.0
2002,Tipperary,14203.0,13798.0,0.1177900194426441,18682.0
2002,Waterford,14938.0,14480.0,0.1130755630717195,20451.0
2002,Westmeath,14453.0,13938.0,0.0791266646020439,19723.0
