Revenue Category,Revenue Item,variable,value
Taxation Revenue,Personal Income Tax,2013–14,26929
Taxation Revenue,Sales Tax1,2013–14,20481
Taxation Revenue,Corporations Tax,2013–14,11423
Taxation Revenue,Education Property Tax2,2013–14,5457
Taxation Revenue,Employer Health Tax,2013–14,5283
Taxation Revenue,Ontario Health Premium,2013–14,3128
Taxation Revenue,Gasoline Tax,2013–14,2363
Taxation Revenue,Land Transfer Tax,2013–14,1614
Taxation Revenue,Tobacco Tax,2013–14,1110
Taxation Revenue,Fuel Tax,2013–14,718
Taxation Revenue,Beer and Wine Tax,2013–14,557
Taxation Revenue,Electricity Payments in Lieu of    Taxes,2013–14,543
Taxation Revenue,Other Taxes,2013–14,360
Total Taxation Revenue,,2013–14,79966
Government of Canada,Canada Health Transfer,2013–14,11940
Government of Canada,Canada Social Transfer,2013–14,4689
Government of Canada,Equalization,2013–14,3169
Government of Canada,Infrastructure Programs,2013–14,123
Government of Canada,Labour Market Programs,2013–14,909
Government of Canada,Social Housing,2013–14,474
Government of Canada,Wait Times Reduction Fund,2013–14,96
Government of Canada,Other Federal Payments,2013–14,877
Total Government of Canada,,2013–14,22277
Government Business Enterprises,Ontario Lottery and Gaming Corporation,2013–14,2009
Government Business Enterprises,Liquor Control Board of Ontario,2013–14,1723
Government Business Enterprises,Ontario Power Generation    Inc./Hydro One Ltd./Brampton Distribution Holdco Inc.,2013–14,1605
Total Government Business Enterprises,,2013–14,5337
Other Non-Tax Revenue,Reimbursements,2013–14,962
Other Non-Tax Revenue,Vehicle and Driver Registration    Fees,2013–14,1248
Other Non-Tax Revenue,Electricity Debt Retirement    Charge,2013–14,954
Other Non-Tax Revenue,Power Supply Contract Recoveries,2013–14,1296
Other Non-Tax Revenue,Sales and Rentals,2013–14,1160
Other Non-Tax Revenue,Cap-and-Trade Proceeds,2013–14,0
Other Non-Tax Revenue,Other Fees and Licences,2013–14,759
Other Non-Tax Revenue,Net Reduction of Power Purchase    Contract Liability,2013–14,243
Other Non-Tax Revenue,Royalties,2013–14,242
Other Non-Tax Revenue,Miscellaneous Other Non-Tax    Revenue3,2013–14,1467
Total Other Non-Tax Revenue,,2013–14,8331
Total Revenue,,2013–14,115911
Taxation Revenue,Personal Income Tax,Actual 2014–15,29313
Taxation Revenue,Sales Tax1,Actual 2014–15,21689
Taxation Revenue,Corporations Tax,Actual 2014–15,9557
Taxation Revenue,Education Property Tax2,Actual 2014–15,5561
Taxation Revenue,Employer Health Tax,Actual 2014–15,5415
Taxation Revenue,Ontario Health Premium,Actual 2014–15,3366
Taxation Revenue,Gasoline Tax,Actual 2014–15,2447
Taxation Revenue,Land Transfer Tax,Actual 2014–15,1778
Taxation Revenue,Tobacco Tax,Actual 2014–15,1163
Taxation Revenue,Fuel Tax,Actual 2014–15,739
Taxation Revenue,Beer and Wine Tax,Actual 2014–15,560
Taxation Revenue,Electricity Payments in Lieu of    Taxes,Actual 2014–15,180
Taxation Revenue,Other Taxes,Actual 2014–15,507
Total Taxation Revenue,,Actual 2014–15,82275
Government of Canada,Canada Health Transfer,Actual 2014–15,12408
Government of Canada,Canada Social Transfer,Actual 2014–15,4847
Government of Canada,Equalization,Actual 2014–15,1988
Government of Canada,Infrastructure Programs,Actual 2014–15,137
Government of Canada,Labour Market Programs,Actual 2014–15,896
Government of Canada,Social Housing,Actual 2014–15,465
Government of Canada,Wait Times Reduction Fund,Actual 2014–15,0
Government of Canada,Other Federal Payments,Actual 2014–15,874
Total Government of Canada,,Actual 2014–15,21615
Government Business Enterprises,Ontario Lottery and Gaming Corporation,Actual 2014–15,1995
Government Business Enterprises,Liquor Control Board of Ontario,Actual 2014–15,1831
Government Business Enterprises,Ontario Power Generation    Inc./Hydro One Ltd./Brampton Distribution Holdco Inc.,Actual 2014–15,1789
Total Government Business Enterprises,,Actual 2014–15,5615
Other Non-Tax Revenue,Reimbursements,Actual 2014–15,985
Other Non-Tax Revenue,Vehicle and Driver Registration    Fees,Actual 2014–15,1433
Other Non-Tax Revenue,Electricity Debt Retirement    Charge,Actual 2014–15,956
Other Non-Tax Revenue,Power Supply Contract Recoveries,Actual 2014–15,950
Other Non-Tax Revenue,Sales and Rentals,Actual 2014–15,2336
Other Non-Tax Revenue,Cap-and-Trade Proceeds,Actual 2014–15,0
Other Non-Tax Revenue,Other Fees and Licences,Actual 2014–15,693
Other Non-Tax Revenue,Net Reduction of Power Purchase    Contract Liability,Actual 2014–15,217
Other Non-Tax Revenue,Royalties,Actual 2014–15,275
Other Non-Tax Revenue,Miscellaneous Other Non-Tax    Revenue3,Actual 2014–15,1196
Total Other Non-Tax Revenue,,Actual 2014–15,9041
Total Revenue,,Actual 2014–15,118546
Taxation Revenue,Personal Income Tax,Interim 2015–16,30265
Taxation Revenue,Sales Tax1,Interim 2015–16,23486
Taxation Revenue,Corporations Tax,Interim 2015–16,11368
Taxation Revenue,Education Property Tax2,Interim 2015–16,5666
Taxation Revenue,Employer Health Tax,Interim 2015–16,5742
Taxation Revenue,Ontario Health Premium,Interim 2015–16,3451
Taxation Revenue,Gasoline Tax,Interim 2015–16,2468
Taxation Revenue,Land Transfer Tax,Interim 2015–16,2093
Taxation Revenue,Tobacco Tax,Interim 2015–16,1208
Taxation Revenue,Fuel Tax,Interim 2015–16,751
Taxation Revenue,Beer and Wine Tax,Interim 2015–16,579
Taxation Revenue,Electricity Payments in Lieu of    Taxes,Interim 2015–16,3232
Taxation Revenue,Other Taxes,Interim 2015–16,457
Total Taxation Revenue,,Interim 2015–16,90766
Government of Canada,Canada Health Transfer,Interim 2015–16,13084
