Category,SubCategory,variable,value
Accessibility Directorate of Ontario (Total),,2014–15,15
Advanced Education and Skills Development (Total),,2014–15,7683
"Agriculture, Food and Rural Affairs","Agriculture, Food and Rural Affairs (Base)",2014–15,805
"Agriculture, Food and Rural Affairs",Time-Limited Assistance,2014–15,7
"Agriculture, Food and Rural Affairs",Time-Limited Investments in Infrastructure,2014–15,36
"Agriculture, Food and Rural Affairs (Total)",,2014–15,847
Attorney General (Total),,2014–15,1782
Board of Internal Economy1 (Total),,2014–15,264
"Children, Community and Social Services",,2014–15,4166
Citizenship and Immigration (Total),,2014–15,103
"Children, Community and Social Services",Community and Social Services (Base),2014–15,10550
"Children, Community and Social Services",Time-Limited Investments in Affordable and Supportive Housing,2014–15,0
"Children, Community and Social Services (Total)",,2014–15,10550
Community Safety and Correctional Services,Community Safety and Correctional  Services (Base),2014–15,2523
Community Safety and Correctional Services,Time-Limited Support for 2015 Pan/Parapan American Games Security,2014–15,44
Community Safety and Correctional Services (Total),,2014–15,2567
"Economic Development and Growth / Research, Innovation and Science","Economic Development and Growth / Research, Innovation and Science (Base)",2014–15,834
"Economic Development and Growth / Research, Innovation and Science",Green Investment Fund Initiatives,2014–15,0
"Economic Development and Growth / Research, Innovation and Science (Total)",,2014–15,834
Education,Education (Base),2014–15,24629
Education,Teachers’ Pension Plan2,2014–15,564
Education (Total),,2014–15,25194
"Energy, Northern Development and Mines",Energy (Base),2014–15,326
"Energy, Northern Development and Mines",Electricity Cost Relief Programs,2014–15,0
"Energy, Northern Development and Mines",Green Investment Fund Initiatives,2014–15,0
"Energy, Northern Development and Mines",Ontario Clean Energy Benefit,2014–15,1078
"Energy, Northern Development and Mines",Strategic Asset Management and Transformation Related to Hydro One,2014–15,0
"Energy, Northern Development and Mines (Total)",,2014–15,1404
Environment and Climate Change,Environment and Climate Change (Base),2014–15,486
Environment and Climate Change,Green Investment Fund Initiatives,2014–15,0
Environment and Climate Change (Total),,2014–15,486
Executive Offices,Executive Offices (Base),2014–15,36
Executive Offices,Time-Limited Assistance,2014–15,0
Executive Offices (Total),,2014–15,36
Finance,Finance (Base),2014–15,930
Finance,Ontario Municipal Partnership Fund,2014–15,542
Finance,Power Supply Contract Costs,2014–15,950
Finance (Total),,2014–15,2422
"Francophone Affairs, Office of (Total)",,2014–15,5
Government and Consumer Services (Total),,2014–15,567
