Category,Subcategory,variable,value
"Agriculture, Food and Rural Affairs (Base)",,Actual                 2018–19,328
"Agriculture, Food and Rural Affairs", Federal–Provincial Infrastructure Programs3,Actual                 2018–19,96
"Agriculture, Food and Rural Affairs", Municipal Infrastructure Program Investments4,Actual                 2018–19,257
"Agriculture, Food and Rural Affairs", Demand-Driven Risk Management and    Time-Limited Programs5,Actual                 2018–19,383
"Agriculture, Food and Rural Affairs", COVID‑19 Time-Limited Funding6,Actual                 2018–19,0
"Agriculture, Food and Rural Affairs (Total)",,Actual                 2018–19,1064
Attorney General (Base),,Actual                 2018–19,1757
Attorney General," Statutory Appropriations – Crown Liability and Proceedings Act, 2019",Actual                 2018–19,17
Attorney General, COVID‑19 Time-Limited Funding7,Actual                 2018–19,0
Attorney General (Total),,Actual                 2018–19,1774
Board of Internal Economy (Total),,Actual                 2018–19,371
"Children, Community and Social Services    (Base)",,Actual                 2018–19,16782
"Children, Community and Social Services", COVID‑19 Time-Limited Funding8,Actual                 2018–19,0
"Children, Community and Social Services    (Total)",,Actual                 2018–19,16782
Colleges and Universities (Base),,Actual                 2018–19,9029
Colleges and Universities, Student Financial Assistance,Actual                 2018–19,2043
Colleges and Universities, Time-Limited Infrastructure Funding under    the Strategic Investment Fund,Actual                 2018–19,119
Colleges and Universities, COVID‑19 Time-Limited Funding9,Actual                 2018–19,0
Colleges and Universities (Total),,Actual                 2018–19,11191
"Economic Development, Job Creation and Trade    (Base)",,Actual                 2018–19,354
"Economic Development, Job Creation and Trade", Time-Limited Investments,Actual                 2018–19,430
"Economic Development, Job Creation and Trade", COVID‑19 Time-Limited Funding10,Actual                 2018–19,0
"Economic Development, Job Creation and Trade    (Total)",,Actual                 2018–19,783
Education (Base),,Actual                 2018–19,28742
Education, Teachers’ Pension Plan,Actual                 2018–19,1678
Education, COVID‑19 Time-Limited Funding12,Actual                 2018–19,0
Education (Total),,Actual                 2018–19,30420
"Energy, Northern Development and Mines    (Base)13",,Actual                 2018–19,1361
"Energy, Northern Development and Mines", Electricity Cost Relief Programs,Actual                 2018–19,4243
"Energy, Northern Development and Mines", COVID‑19 Time-Limited Funding14,Actual                 2018–19,0
"Energy, Northern Development and Mines    (Total)",,Actual                 2018–19,5604
"Environment, Conservation and Parks (Base)",,Actual                 2018–19,459
"Environment, Conservation and Parks", Time-Limited Investments,Actual                 2018–19,223
"Environment, Conservation and Parks", COVID‑19 Time-Limited Funding15,Actual                 2018–19,0
"Environment, Conservation and Parks (Total)",,Actual                 2018–19,682
Executive Offices (Base),,Actual                 2018–19,33
Executive Offices, Time-Limited Assistance,Actual                 2018–19,0
Executive Offices (Total),,Actual                 2018–19,33
Finance    (Base),,Actual                 2018–19,883
Finance, Investment Management Corporation of    Ontario16,Actual                 2018–19,67
Finance, Ontario Municipal Partnership Fund,Actual                 2018–19,510
Finance, Power Supply Contract Costs,Actual                 2018–19,173
Finance, COVID‑19 Response: Support for People    and Jobs Fund,Actual                 2018–19,0
Finance, COVID‑19 Time-Limited Funding17,Actual                 2018–19,0
Finance    (Total),,Actual                 2018–19,1633
Francophone Affairs (Base),,Actual                 2018–19,6
Francophone Affairs, COVID‑19 Time-Limited Funding18,Actual                 2018–19,0
Francophone Affairs (Total),,Actual                 2018–19,6
Government    and Consumer Services (Base),,Actual                 2018–19,706
Government    and Consumer Services, Realty,Actual                 2018–19,1012
